id,item,C108_disposition,owner,effect_or_reason
LE-01,Exact torus covariance,CORE-CLOSED,C092,unchanged canonical model
LE-02,Local/far periodization transfer,CORE-CLOSED-IN-DECLARED-SCOPE,C092,unchanged
LE-03,Fixed-L rate theorem,CORE-CLOSED-AT-PROGRAM-GRADE,C102,qualitative root strengthened; no core invalidation
LE-04,Qualitative q0=1 theorem,CORE-CLOSED,C102,new referee-converted roots
LE-05,R0/SARD-G internal dependency,CORE-CLOSED-INTERNAL,C102,external status separated
LE-06,Independent SARD-G review,EXTERNAL-REVIEW-TRACK,Q0-REFEREE,named external dependency remains
LE-07,Source-level marked ND audit,SUPERSEDED-CLOSED-BY-STRONGER-THEOREM,C102,finite-jet Fourier and Palm-normalizer proofs
LE-08,Interval replacement of GRID moduli,SUPERSEDED-NON-LOAD-BEARING,C102/C106,old decimal root killed; analytic chart atlas used
LE-09,Full-radius analytic nine-pin atlas,SUPERSEDED-BY-13-ROW-CHART-ATLAS,C102,qualitative proof coverage closed
LE-10,C089 finite lower 0.8501,KILLED-AS-FINITE-THEOREM,C106,no AO/Bonferroni loss-free root
LE-11,C089 upper 0.97 through r=.05,KILLED,C091/C106,endpoint 0.9850
LE-12,H4 q_step^n product,KILLED; QUALITATIVE-ROLE-SUPERSEDED,C091/C105/C106,selected-set Campbell replaces mechanism
LE-13,First-interceptor sharpened upper,KILLED-AS-NUMERICAL-TARGET; QUALITATIVE-CLOSED,C105/C106,no certified decimal
LE-14,Infinite-volume and critical-height scaling,SUCCESSOR-ROOT-ACHIEVED,C105,separate thermodynamic theorem
LE-15,Persistence-density Theorem B,SUCCESSOR-ROOT-ACHIEVED,C104,separate Theorem B root and held-out gate
LE-16,LLM empirical deployment,BLOCKED-EXTERNAL,C107,named capabilities unavailable
LE-17,Production LLM guarantee,NOT-CLAIMED,C107,synthetic-to-real promotion prohibited
LE-18,Scale-free alias TRUTH_CONST,KILLED-RETIRED,C093/C106,rung-tagged measurement only
LE-19,Absolute output paths,RELEASE-CLOSED,C093/C108,portable release artifacts
LE-20,Exact software environment,RELEASE-CLOSED,C093/C108,versioned environment record
LE-21,Standalone builder/verifier,RELEASE-CLOSED,C093/C108,C108 verifier included
LE-22,Declared-file versus ZIP-entry count,RELEASE-CLOSED,C093/C108,self-excluded manifest explicit
LE-23,Exact ZIP attestation,RELEASE-CLOSED,C093/C108,detached C108 attestation
LE-24,Fresh-extraction execution,RELEASE-CLOSED,C093/C108,empty-directory test required and executed
LE-25,Unowned items,CLOSED-ZERO,C108,portfolio semantic completion
