RESEARCH HOME · R17,Purpose / rule,Open / exact range,Status,Scope,Owner / updater,Updated UTC,Notes
Entry,Use this compact view; full policy only when needed,https://drive.google.com/file/d/1hBph5Fpxd5dVrolNkvzU8nb7xpxUiUdc/view,ACTIVE,Operations,Any worker,2026-09-17T16:25:48.473074Z,R17 supersedes R16 entry overhead; exact scientific gates retained
Review work,Pick oldest eligible nonauthor review; reconcile prior verdicts first,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit#gid=2026091702,LIVE QUEUE,MATH / COMPUTE / OPS,Claimed reviewer,2026-09-17T16:25:48.473074Z,Same-provider technical review allowed; org independence remains separate
Find a file,"Search title or ID, then read exact source",https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit#gid=2026091703,METADATA SNAPSHOT,Active-tree baseline + bounded updates,Maintenance,2026-09-17T16:25:48.473074Z,Catalog presence or omission does not prove mathematical truth or global completeness
Quarantine,Check exclusions and restoration tests before consumption,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit#gid=2026091704,ACTIVE,Duplicates / defective scopes / unverified,Any worker,2026-09-17T16:25:48.473074Z,Frozen members are excluded by carrier+path+hash; keep bytes intact
Claims and handoff,Append unique event; read contenders; verify source/head before commit,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit#gid=2026091705,COOPERATIVE,One exact target per claim,Each session,2026-09-17T16:25:48.473074Z,Not compare-and-swap; conflicting publication heads require reconciliation
Claim expiry,120 minutes after valid heartbeat,Work Events; legacy Active Work Claims,ACTIVE,Exact object + role,Each session,2026-09-17T16:25:48.473074Z,No resurrection by late heartbeat; use a new claim
Cold entry,This view plus needed queue/events in one multi-range read,Start Here!A1:H24; Review Queue!A1:S50; Work Events!A1:N100,BOUND READ,Control/navigation only,Incoming worker,2026-09-17T16:25:48.473074Z,"Actual source read, discovery if needed, writes and verification are additional calls"
Cached continuation,"Check live policy, claim, source identity and output head",https://drive.google.com/file/d/1fRS3BP82tCJC_K-hFCSm26Lbfv3EFoxq/view,SCOPED REVALIDATION,Changed dependencies only,Incoming worker,2026-09-17T16:25:48.473074Z,Bad/missing/stale handoff expands scoped reads; no automatic whole-Drive crawl
Review ladder,7 days prioritize; 14 decompose; 30 escalate,Review Queue age/action columns,ACTIVE,"Age is prioritization, never approval",Daily pickup + session entry,2026-09-17T16:25:48.473074Z,Old date basis is explicit; metadata refresh does not reset substantive age
Review credit,Nonauthor same-provider technical pass is permitted,PASS_TECHNICAL and independence are separate,ACTIVE,Author/coauthor checks are internal,Reviewer,2026-09-17T16:25:48.473074Z,Different provider can still be dependent; disclose exposure and coauthorship
Publish states,DRAFT → CANDIDATE_VERIFIED → READY_FOR_REVIEW → REVIEWED/AMEND,One delivery manifest; immutable candidates,ACTIVE,Task completion is scoped,Publisher,2026-09-17T16:25:48.473074Z,Do not mark theorem complete merely because registration succeeded
Research packages,Current research destinations,https://drive.google.com/drive/folders/1cOnYpeU3Fdt06jJ8Np9wmNmJ8F4KWzzm,ACTIVE,Source packages,Project,2026-09-17T16:25:48.473074Z,Read project-specific exact scope
Draft space,Expensive checkpoints and exploratory work,https://drive.google.com/drive/folders/1NehvnoZCiqRWXSVGRdfHFOccB7HXaF8q,NONCANONICAL,No per-edit global registration,Worker,2026-09-17T16:25:48.473074Z,A draft must pass certification/promotion gates before consumption
Quarantine directory,Single visible triage destination,https://drive.google.com/drive/folders/1VvBQrv1M0E51socyGY-fjzlypEkc9IPz,NONAUTHORITATIVE,Linked existing local quarantines,Maintenance,2026-09-17T16:25:48.473074Z,Reversible moves; no deletion
Research state,Detailed scientific dashboard,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit#gid=1066913305,UNCHANGED SCIENTIFIC GATES,P01 / P02 / Theorem B / UPPER2D / PRIZE,Package owners,2026-09-17T16:25:48.473074Z,"R17 changes workflow, not theorem truth"
RN overlap,Compare exact laws and kappa definitions before merging,RV-RN-ALIGN in Review Queue,OPEN CROSSWALK,RN3 and CL-RNU-003,Nonauthor reviewer,2026-09-17T16:25:48.473074Z,Different bounds may measure different objects
P15,Current author-candidate structural results,https://drive.google.com/file/d/1r8weyHObFfHAp-_PfI8mlSXPZQC8Zoh1/view,AUTHOR CANDIDATE,No unrestricted prize closure,Reviewer,2026-09-17T16:25:48.473074Z,Packet https://drive.google.com/file/d/1mLizXdV8guLCJoJGa7iyvjDc3C1XElxr/view
H5,Do not consume affected numerical certification before replay,Q-R17-H5-01..11,SCOPED HOLD,11 frozen archive members,COMPUTE reviewer,2026-09-17T16:25:48.473074Z,Counterexample/repair source remains preserved
Release / rollback,"R17 policy, tests, before snapshots and move log",https://drive.google.com/drive/folders/1wPVf5p6Tz_4jy4NgRzrKJgUjEqM7MD3f,INSTALLED / VERIFIED,Operations only,OPS4,2026-09-17T16:38:39.757Z,Report https://drive.google.com/file/d/19SrKwqCEh9v4HoDRFmAUrWCrCs12-SlM/view
Automatic pickup,Daily bounded review/reconciliation,Daily Drive Review Pickup; receipt in release bundle,ENABLED,One bounded overdue review or reconciliation per run,Scheduled session,2026-09-17T16:28:44.968Z,Does not summon another provider; only substantive results/blockers notify owner
Inventory refresh,Use modified-time deltas + targeted parent reads,File Catalog; periodic maintenance,BEST EFFORT,No changes API exposed in connector,Maintenance,2026-09-17T16:25:48.473074Z,Deletion/access loss may be missed by modified-time search
Operator precedence,Current direct user instruction controls operations,Research Home / R17 policy,ACTIVE,No legacy budget or provider deadlock,Owner,2026-09-17T16:25:48.473074Z,No fabricated review or mathematical closure
Audit coverage,2943 catalog entries; 24 review routes; 17 exclusions/containers,R17 release report,BOUNDED AUDIT,Not every proof re-reviewed,OPS4,2026-09-17T16:25:48.473074Z,Source dates and scope retained
