Gate ID,Dispatch ID,Origin / Intake ID,Gate Policy Version,Task Class,Input Binding State,Load-Bearing Inputs / Binding Classes,Coverage Evidence / Current Baseline,Claim Gate,Output Registration Gate,Package / Manifest Impact,Release Gate,Last Checked UTC,Checker,Required Repair / HOLD,Status
PROTOCOL,Every live Dispatch task and every task promoted after OP-PROT-014 activation must have exactly one row,Create atomically with every post-activation Task Intake/Dispatch promotion; legacy live tasks receive a gate row or JIT migration,OP-PROT-014 / R12,ADMISSION / CLAIM / OUTPUT / PACKAGE / RELEASE,PASS only after every load-bearing input is classified and bound,A=metadata-only; B=marker body; C=native export; D=raw binary; E=embedded payload,Use current same-run manifest or object-level watch; never superseded baseline,No claim when missing or HOLD; legacy tasks require JIT audit,"Index outputs, lineage, exact IDs; content-bound outputs need Frozen+Watch",Determine package before creation; membership/binding change requires numbered manifest successor,"No COMPLETE/RELEASED until all gates PASS, root sweep passes, and lease/claim is released",ISO-8601 UTC,Exact session/provider,Missing capability creates CLWO; contradictory evidence returns HOLD,ACTIVE CONTROL
TIG-DQ-005,DQ-005,TI-001,OP-PROT-014 / R12,REVIEW / RESEARCH,LEGACY TASK — INPUT BINDING NOT YET PROVEN COMPLETE,Exact task sources named in Dispatch; load-bearing versus routing-only roles not fully classified in Task Integrity Gate,Legacy Dispatch row; current packet/manifest evidence may exist but has not been normalized here,HOLD UNTIL CLAIMANT COMPLETES JIT INPUT-BINDING AUDIT AND UPDATES THIS ROW,REQUIRED BEFORE RELEASE: Artifact Index + Evidence Lineage + output IDs; Frozen/Watch for content-bound outputs,Determine exact package before output creation; NONE is allowed only with written justification,"HOLD UNTIL OUTPUT REGISTRATION, PACKAGE-IMPACT CHECK, ROOT SWEEP, AND CLAIM RELEASE PASS",2026-07-26T22:45:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,"Classify every source as content-bound, raw binary, embedded payload, or metadata-only; register load-bearing inputs and current baseline",HOLD — JIT INPUT AUDIT REQUIRED
TIG-DQ-002,DQ-002,LEGACY / DIRECT DISPATCH,OP-PROT-014 / R12,FORMALIZATION,LEGACY TASK — INPUT BINDING NOT YET PROVEN COMPLETE,Exact task sources named in Dispatch; load-bearing versus routing-only roles not fully classified in Task Integrity Gate,Legacy Dispatch row; current packet/manifest evidence may exist but has not been normalized here,HOLD UNTIL CLAIMANT COMPLETES JIT INPUT-BINDING AUDIT AND UPDATES THIS ROW,REQUIRED BEFORE RELEASE: Artifact Index + Evidence Lineage + output IDs; Frozen/Watch for content-bound outputs,Determine exact package before output creation; NONE is allowed only with written justification,"HOLD UNTIL OUTPUT REGISTRATION, PACKAGE-IMPACT CHECK, ROOT SWEEP, AND CLAIM RELEASE PASS",2026-07-26T22:45:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,"Classify every source as content-bound, raw binary, embedded payload, or metadata-only; register load-bearing inputs and current baseline",HOLD — JIT INPUT AUDIT REQUIRED
TIG-DQ-010,DQ-010,LEGACY / DIRECT DISPATCH,OP-PROT-014 / R12,P0.2 / EXTERNAL REVIEW,LEGACY TASK — INPUT BINDING NOT YET PROVEN COMPLETE,Exact task sources named in Dispatch; load-bearing versus routing-only roles not fully classified in Task Integrity Gate,Legacy Dispatch row; current packet/manifest evidence may exist but has not been normalized here,HOLD UNTIL CLAIMANT COMPLETES JIT INPUT-BINDING AUDIT AND UPDATES THIS ROW,"PASS — CL-AUD-S2DER010 indexed, lineage-bound, frozen, and watched",PASS — review output included in current package reconciliation,PASS — exact-object review complete / root-XLSX-package reconciliation pending globally,2026-07-27T18:00:00Z,Anthropic review integrated by OpenAI,No repair required; preserve clarification-only verdict and one-lineage accounting,COMPLETE / RELEASED
TIG-DQ-CONTINUITY,DQ-CONTINUITY,LEGACY / DIRECT DISPATCH,OP-PROT-014 / R12,CONTINUITY / TASK GENERATION,PASS — METADATA-ONLY CONTROL TASK,Dispatch Queue; Active Work Claims; Task Intake; no frozen scientific input,Current registry bounded read; Task Integrity Gate itself controls successors,PASS WHEN LOW-WATER OR MODE-RECOVERY TRIGGER IS TRUE,REQUIRED BEFORE RELEASE: Artifact Index + Evidence Lineage + output IDs; Frozen/Watch for content-bound outputs,PER PROMOTED SUCCESSOR; each successor receives its own gate row,"HOLD UNTIL OUTPUT REGISTRATION, PACKAGE-IMPACT CHECK, ROOT SWEEP, AND CLAIM RELEASE PASS",2026-07-26T22:45:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,None while standby; create gate rows atomically with any promoted tasks,PASS / STANDBY / RELEASE-GATED
TIG-DQ-012,DQ-012,LEGACY / DIRECT DISPATCH,OP-PROT-014 / R12,THEOREM B / EXTERNAL REVIEW,PASS — CURRENT LOAD-BEARING INPUT COVERAGE,"S2-DER-010 body B; CL-AUD-S2DER010 review B; CL-DER-MEAS, LS-DER-037, and LS-REQ-031 candidate C1/C2 outputs; last completed package baseline LS-MAN-045; current membership HOLD",LS-MAN-045 last completed 72-child replay; current membership HOLD after later additions; active registered watch inventory 63 rows / 62 PASS / 1 contained HOLD / 0 silent skips; DQ-051 outputs explicitly excluded until registered,PASS — RETROACTIVE REVIEW RECORD; NO LIVE CLAIM OR RESERVATION,"PASS for CL-AUD-S2DER010; HOLD for exact registration and watch coverage of CL-DER-MEAS, LS-DER-037, and LS-REQ-031",LAST COMPLETED PACKAGE BASELINE LS-MAN-045 / 72 CHILDREN / ROOT NONE / SEALED NO; CURRENT MEMBERSHIP HOLD,"HOLD — C1/C2 CANDIDATE PROOF COMPANIONS EXIST, BUT EXACT REGISTRATION, FORMALIZATION/REVIEW ROUTING, CURRENT PACKAGE REPLAY, ROOT/XLSX, CLAIM, AND LEASE GATES REMAIN",2026-07-27T21:40:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,"Register and watch the three DQ-051 outputs, reconcile their scopes without multiplying provider-family credit, and publish a numbered same-run package successor before release",EXTERNAL VERDICT RECEIVED / C1-C2 CANDIDATE DISCHARGE / PACKAGE-REPLAY HOLD
TIG-DQ-014,DQ-014,LEGACY / DIRECT DISPATCH,OP-PROT-014 / R12,P0.2 / EXTERNAL REVIEW,LEGACY TASK — INPUT BINDING NOT YET PROVEN COMPLETE,Exact task sources named in Dispatch; load-bearing versus routing-only roles not fully classified in Task Integrity Gate,Legacy Dispatch row; current packet/manifest evidence may exist but has not been normalized here,HOLD UNTIL CLAIMANT COMPLETES JIT INPUT-BINDING AUDIT AND UPDATES THIS ROW,REQUIRED BEFORE RELEASE: Artifact Index + Evidence Lineage + output IDs; Frozen/Watch for content-bound outputs,Determine exact package before output creation; NONE is allowed only with written justification,"HOLD UNTIL OUTPUT REGISTRATION, PACKAGE-IMPACT CHECK, ROOT SWEEP, AND CLAIM RELEASE PASS",2026-07-26T22:45:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,"Classify every source as content-bound, raw binary, embedded payload, or metadata-only; register load-bearing inputs and current baseline",HOLD — JIT INPUT AUDIT REQUIRED
TIG-DQ-015,DQ-015,LEGACY / DIRECT DISPATCH,OP-PROT-014 / R12,P0.1 / EXTERNAL REVIEW,PARTIAL PASS — CURRENT v1.9 CORE WATCHED; TASK-SPECIFIC CARRIERS NEED JIT COVERAGE,"P0.1 v1.9, GP-DATA-236, LCR-DER-061, GP-DER-197 are watched; GP-DATA-214 and remaining task-specific packets must be classified",Frozen Objects/Identity Drift Watch current P0.1 rows,HOLD UNTIL CLAIMANT COMPLETES JIT INPUT-BINDING AUDIT AND UPDATES THIS ROW,REQUIRED BEFORE RELEASE: Artifact Index + Evidence Lineage + output IDs; Frozen/Watch for content-bound outputs,P0.1 review/candidate package; successor and review packets must be registered before release,"HOLD UNTIL OUTPUT REGISTRATION, PACKAGE-IMPACT CHECK, ROOT SWEEP, AND CLAIM RELEASE PASS",2026-07-26T22:45:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,Resolve every load-bearing source to binding class A/B/C/D/E; add missing Frozen/Watch entries or justify metadata-only,HOLD — JIT INPUT AUDIT REQUIRED
TIG-DQ-016,DQ-016,LEGACY / DIRECT DISPATCH,OP-PROT-014 / R12,P0.1 / EXTERNAL REVIEW,PARTIAL PASS — CURRENT v1.9 CORE WATCHED; TASK-SPECIFIC CARRIERS NEED JIT COVERAGE,"P0.1 v1.9, GP-DATA-236, LCR-DER-061, GP-DER-197 are watched; GP-DATA-214 and remaining task-specific packets must be classified",Frozen Objects/Identity Drift Watch current P0.1 rows,HOLD UNTIL CLAIMANT COMPLETES JIT INPUT-BINDING AUDIT AND UPDATES THIS ROW,REQUIRED BEFORE RELEASE: Artifact Index + Evidence Lineage + output IDs; Frozen/Watch for content-bound outputs,P0.1 review/candidate package; successor and review packets must be registered before release,"HOLD UNTIL OUTPUT REGISTRATION, PACKAGE-IMPACT CHECK, ROOT SWEEP, AND CLAIM RELEASE PASS",2026-07-26T22:45:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,Resolve every load-bearing source to binding class A/B/C/D/E; add missing Frozen/Watch entries or justify metadata-only,HOLD — JIT INPUT AUDIT REQUIRED
TIG-DQ-017,DQ-017,LEGACY / DIRECT DISPATCH,OP-PROT-014 / R12,IMPLEMENTATION / EXTERNAL REVIEW,LEGACY TASK — INPUT BINDING NOT YET PROVEN COMPLETE,Exact task sources named in Dispatch; load-bearing versus routing-only roles not fully classified in Task Integrity Gate,Legacy Dispatch row; current packet/manifest evidence may exist but has not been normalized here,HOLD UNTIL CLAIMANT COMPLETES JIT INPUT-BINDING AUDIT AND UPDATES THIS ROW,REQUIRED BEFORE RELEASE: Artifact Index + Evidence Lineage + output IDs; Frozen/Watch for content-bound outputs,Determine exact package before output creation; NONE is allowed only with written justification,"HOLD UNTIL OUTPUT REGISTRATION, PACKAGE-IMPACT CHECK, ROOT SWEEP, AND CLAIM RELEASE PASS",2026-07-26T22:45:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,"Classify every source as content-bound, raw binary, embedded payload, or metadata-only; register load-bearing inputs and current baseline",HOLD — JIT INPUT AUDIT REQUIRED
