Event ID,UTC,Session ID,Provider,Target key,Event type,Claim reference,Lease until UTC,Source SHA-256,Expected old head,Proposed new head / artifact,Status,Notes,Domain
OPS4-INSTALL-20260917,2026-09-17T16:25:48.473074Z,OPS4-20260917-b9c2,OpenAI,AI-DRIVE-CONTROL-R17,CLAIM,OPS4-INSTALL-20260917,2026-09-17T18:25:48.528725Z,04987ba47b58be623a3b2a5a8a21236f43d4393cc04009e87f4a62b59a787390,R16,R17,ACTIVE,Owner-authorized overhaul; legacy claim CLAIM-OPS4-20260917-b9c2,OPS
OPS4-LM009-REVIEW-20260917,2026-09-17T16:25:48.473074Z,OPS4-20260917-b9c2,OpenAI,LM009-MAIN@ccc07d959428519733c7fdf6c72f1bce63a40d0b0dc956ce0fe9f2ec459eb0b1,RECORD_REVIEW,,,ccc07d959428519733c7fdf6c72f1bce63a40d0b0dc956ce0fe9f2ec459eb0b1,,https://drive.google.com/file/d/1cDFrsYx8l6jfGzQzYi0RemAw8Tv4d2qk/view,PASS_TECHNICAL,"Exposed nonauthor session; same provider, zero organizational independence; exact abstract scope",MATH
OPS4-PUBLISH-R17-20260917,2026-09-17T16:38:39.757Z,OPS4-20260917-b9c2,OpenAI,AI-DRIVE-CONTROL-R17,PUBLISH,OPS4-INSTALL-20260917,,04987ba47b58be623a3b2a5a8a21236f43d4393cc04009e87f4a62b59a787390,R16,R17 / https://drive.google.com/file/d/1XRecEnh5HxbJtZHmBYYfw1DeqVjG6SYs/view,VERIFIED,Owner-authorized installation; guarded Docs writes; exact bundle readback,OPS
OPS4-RELEASE-R17-20260917,2026-09-17T16:38:39.757Z,OPS4-20260917-b9c2,OpenAI,AI-DRIVE-CONTROL-R17,RELEASE,OPS4-INSTALL-20260917,,04987ba47b58be623a3b2a5a8a21236f43d4393cc04009e87f4a62b59a787390,R17,R17,COMPLETE,Legacy claim and structural lease released in same batch,OPS
OPS4-CUSTODY-R17-20260917,2026-09-17T16:46:24.367Z,OPS4-20260917-b9c2,OpenAI,AI-DRIVE-CONTROL-R17,RECORD_CUSTODY,OPS4-INSTALL-20260917,,db26726a30d45debe9eb0da8b3a01924c6835aae7fa1054e6526130a10bd2ad8,R17,https://drive.google.com/file/d/1avbw3oP2wgQ21bTpNV6h7YaGJOw8OCQO/view,VERIFIED,Final verification bundle https://drive.google.com/file/d/1HUr4xXmcX-vsRt8s5uzie-2LTwpaj5fl/view SHA256 723f38d467aff6df61c5f1687ce32a05424ca075bbea7a60f4ad5556185409b7; install claim remains released,OPS
CLAIM-AUTO-RV-LM004-20260917165201,2026-09-17T16:52:01.051Z,AUTO-RV-LM004-20260917165201,OpenAI / Codex,LCR-DER-016-v1.1@d43179f3abfd7e93f988725f3b89a5826cc71e0fa04840f65c7f93f3359d0f87,CLAIM,AUTO-RV-LM004-20260917165201,2026-09-17T18:52:01.051Z,d43179f3abfd7e93f988725f3b89a5826cc71e0fa04840f65c7f93f3359d0f87,REV-S2-AUD006-SAME,PENDING RECONCILIATION,ACTIVE,Oldest eligible queue item; exposed nonauthor same-provider reconciliation; zero organizational-independence credit,MATH
PUBLISH-AUTO-RV-LM004-20260917165201,2026-09-17T16:55:40.169Z,AUTO-RV-LM004-20260917165201,OpenAI / Codex,LCR-DER-016-v1.1@d43179f3abfd7e93f988725f3b89a5826cc71e0fa04840f65c7f93f3359d0f87,PUBLISH,AUTO-RV-LM004-20260917165201,,d43179f3abfd7e93f988725f3b89a5826cc71e0fa04840f65c7f93f3359d0f87,REV-S2-AUD006-SAME,https://drive.google.com/file/d/1CHErajW7G2y8y7Mr0bKYMy2lJbA2HIAt/view,PASS_TECHNICAL_RECONCILED,Fresh exact body; prior verdict reconciled; raw artifact 5093 bytes SHA256 c0571b7affc23c0d44e3479cb7ebafafbcfd49001a43097d43f00553f1d75f81; zero org independence,MATH
RELEASE-AUTO-RV-LM004-20260917165201,2026-09-17T16:55:40.169Z,AUTO-RV-LM004-20260917165201,OpenAI / Codex,LCR-DER-016-v1.1@d43179f3abfd7e93f988725f3b89a5826cc71e0fa04840f65c7f93f3359d0f87,RELEASE,AUTO-RV-LM004-20260917165201,,d43179f3abfd7e93f988725f3b89a5826cc71e0fa04840f65c7f93f3359d0f87,https://drive.google.com/file/d/1CHErajW7G2y8y7Mr0bKYMy2lJbA2HIAt/view,https://drive.google.com/file/d/1CHErajW7G2y8y7Mr0bKYMy2lJbA2HIAt/view,COMPLETE,Claim released; remaining obligation is an organizationally distinct accepted exact-object verdict,MATH
CLAIM-ROUND5-RN5-ALIGN-NEAR,2026-09-17T17:00:27.766Z,ROUND5-20260917-b9c2,OpenAI,RN-UNIF/r=1/20/SIDE24,CLAIM,CLAIM-ROUND5-RN5-ALIGN-NEAR,2026-09-17T19:00:27.766Z,0c9446b7cb49e6e1e45e43f84bb72ce680f022882e225fdff61c8e6edede1373,RN3 + CL-RNU-003,PENDING,ACTIVE,Compare exact-object definitions; derive and test stable near-annulus enclosure. Author-side / same lineage.,MATH
CLAIM-ROUND5-LM004-REVIEW-ERRATUM,2026-09-17T17:00:27.766Z,ROUND5-20260917-b9c2,OpenAI,REV-AUTO-RV-LM004-20260917165201,CLAIM,CLAIM-ROUND5-LM004-REVIEW-ERRATUM,2026-09-17T19:00:27.766Z,c0571b7affc23c0d44e3479cb7ebafafbcfd49001a43097d43f00553f1d75f81,1CHErajW7G2y8y7Mr0bKYMy2lJbA2HIAt,PENDING,ACTIVE,Correct display-induced duplicate-term finding; preserve exact target science. Same-provider exposed audit.,OPS
