Definition ID,Canonical term,Exact operational definition,Scope,Explicit exclusions,Aliases / search terms,Hyper-tag,Object tags,Authority source,Authority effect,Status,Last reviewed,Source URL
DEF-001,Drive object identity,The immutable Google Drive file ID identifies the stored file. A declared artifact ID identifies the authored research object. Colliding artifact IDs never merge distinct Drive files.,All indexed artifacts,"Same title, same artifact ID, or byte-matched content does not create a single file object or independent evidence.",drive_id; file ID; artifact identity; collision,[[DEF:DRIVE_OBJECT_IDENTITY]],object_identity; provenance; collision_control,OP-CNS-001-R0.2; Metadata Schema,Definition only; no promotion or evidentiary weight,ACTIVE,2026-07-21,https://docs.google.com/document/d/1FwkOa06pccL_RmK63oI0oXBgGtFFRcN-MY63arzEeAA/edit
DEF-002,Exact numbered revision,"A proposal text identified by the same proposal ID and the same numbered revision. Votes on earlier drafts, summaries, implementations, or later specifications do not count as votes on that exact revision.",Consensus ballots,"Silence, general support, operator relays, and non-ballot technical reviews are excluded.",same revision; exact text; numbered revision,[[DEF:EXACT_REVISION]],governance; ballot; revision,OP-PROT-003; OP-CNS-001-R0.2,Controls vote comparability only,ACTIVE,2026-07-21,https://docs.google.com/document/d/1FwkOa06pccL_RmK63oI0oXBgGtFFRcN-MY63arzEeAA/edit
DEF-003,Affirmative vote,"An explicit AGREE or equivalent affirmative disposition filed by an eligible voting line on the exact numbered revision, without a blocking objection that changes the text being accepted.",Consensus Ballot,"Observer comments, specification acceptance, implementation review, operator summaries, and silence are not affirmative votes.",affirmative; agree; ballot,[[DEF:AFFIRMATIVE_VOTE]],vote; eligible_line; exact_revision,OP-PROT-003,Counts only when roster and revision conditions are met,ACTIVE,2026-07-21,https://docs.google.com/document/d/1WfgeRPzBlp6YCg_yNjY1GGhSOW3KcqqcMvykRcBz9tw/edit
DEF-004,Eligible voting line,"One of GP, CL, AO48, or CW/C047R for the current governance roster. Three affirmative votes on the same numbered revision pass a proposal.",Current governance cycle,Grok is nonparticipating and nonvoting. Gemini is nonvoting unless Dylan M. Roy explicitly activates Gemini for a specified ballot.,roster; eligible voter; 3 of 4,[[DEF:ELIGIBLE_VOTING_LINE]],governance_roster; majority,OP-PROT-003,Defines ballot eligibility only,ACTIVE,2026-07-21,https://docs.google.com/document/d/1WfgeRPzBlp6YCg_yNjY1GGhSOW3KcqqcMvykRcBz9tw/edit
DEF-005,Closure-ready,"The exact target, evidence, independent review, dependency effects, terminal label, required ledger updates, and human-approval requirement are all identified, with no unresolved mathematical step being relabeled as proven.",Easy Closure Queue,"Low estimated effort alone is insufficient; incomplete mathematics, ambiguous scope, or missing independent review blocks closure-ready status.",easy closure; proof-ready; terminal packet,[[DEF:CLOSURE_READY]],closure; exact_scope; review_complete,OP-PROT-004,Queue eligibility only; human approval remains separate where required,ACTIVE,2026-07-21,https://docs.google.com/document/d/199LbHqlLg1QRli85E7hVKTYdXbchHC4SPQ5wau_yjiY/edit
DEF-006,Terminal closure,"An additive final record that retires only the exact declared object or statement, preserves all provenance, states affected and unaffected dependencies, and removes the closed item from active attention queues without deleting its record.",Closure Log and active queues,"Does not widen to neighboring claims, imply theorem promotion, erase failed paths, or authorize destructive file operations.",closed exact; terminal label; retire,[[DEF:TERMINAL_CLOSURE]],terminal_record; provenance_preserved; queue_retirement,OP-PROT-004; Closure Log,Terminal only after applicable approval,ACTIVE,2026-07-21,https://docs.google.com/document/d/199LbHqlLg1QRli85E7hVKTYdXbchHC4SPQ5wau_yjiY/edit
DEF-007,Independent review,"A non-author review that reconstructs or re-executes the decisive object, verifies its object definition and scope, and does not merely repeat a shared derivation, summary, fixture, or code lineage.",Mathematical and computational qualification,"Model-count agreement, copied code execution, and author self-tests are not independent review by themselves.",outside review; non-author; reconstruction,[[DEF:INDEPENDENT_REVIEW]],review_independence; reconstruction; lineage,Review Independence; Metadata Schema,Evidence-grade control; does not self-promote an object,ACTIVE,2026-07-21,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit
DEF-008,Primary evidence,"The direct proof, computation, source, raw receipt, or exact observation needed to support a state transition. Ballots, summaries, navigation aids, and consensus text cannot substitute for it.",Evidence Lineage and transitions,Secondary descriptions and governance outcomes are excluded from the primary-evidence role.,direct evidence; proof object; raw receipt,[[DEF:PRIMARY_EVIDENCE]],evidence_lineage; source; receipt,GP-AUTO-034-v1.2 architecture contract; Metadata Schema,Supports transitions only within recorded scope,ACTIVE,2026-07-21,https://docs.google.com/document/d/18-txtvK94bt2ImmuomKVM5fbUMlpccoQZajTV00xot0/edit
DEF-009,Reviewable source mirror,"A readable Drive representation of source code suitable for line-by-line inspection, while explicitly not serving as the byte-identity authority when Google Docs normalization changes spacing or line endings.",GP-DATA-054 and similar native-Docs mirrors,"Cannot establish the frozen raw-file hash, installed hash, or exact reconstruction by itself.",source mirror; readable code; Docs mirror,[[DEF:REVIEWABLE_SOURCE_MIRROR]],source_review; normalized_export; noncanonical,GP-DATA-054-v1.0 mirror notice,Inspection aid only,ACTIVE,2026-07-21,https://docs.google.com/document/d/1n5rmtvI8Xn5GIX1TUGI4KLOcYg4cC91lI6gjPQOSjdE/edit
DEF-010,Byte-exact source,"The raw source preimage whose bytes hash to the preregistered SHA-256 value. For GP-DATA-054 the declared target is 30,606 bytes and SHA-256 7f061dd71032c76e785e259a115d3dad50e6adf5274dc8b3cf7104b9c2bd4c22.",Reproducible source qualification,"A Google Docs transcription, screenshot, excerpt, or independently rewritten implementation is not the byte-exact source.",raw source; source preimage; exact hash,[[DEF:BYTE_EXACT_SOURCE]],sha256; reproducibility; raw_bytes,GP-DATA-054-v1.0; GP-AUD-055-v1.0,Required for hash-based reconstruction claims,ACTIVE,2026-07-21,https://docs.google.com/document/d/1cCI1xdvZ7sm3KwuMHmyoZmaZEbdPxohSkefuG1fXx20/edit
DEF-011,Hyper-tag,"A stable, machine-searchable token of the form [[KIND:VALUE]] used to connect definitions, objects, revisions, gates, closures, and relations across files.",Navigation and retrieval,"A hyper-tag never changes status, authority, canonical impact, ballot count, closure state, or evidence grade.",tag; backlink; semantic link,[[DEF:HYPER_TAG]],navigation; retrieval; relation_layer,Definition Registry,NONE,ACTIVE,2026-07-21,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit
DEF-012,Typed relation edge,"A directed source-to-target link with a controlled relation type, exact scope, provenance source, and explicit statement of evidentiary effect.",Relation Index,"Untyped proximity, folder co-location, title similarity, or reciprocal links do not establish dependency, support, contradiction, or supersession.",edge; link type; source-target relation,[[DEF:TYPED_RELATION_EDGE]],dependency_graph; provenance; backlinks,Relation Index,Normally NONE unless underlying authoritative source establishes otherwise,ACTIVE,2026-07-21,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit
DEF-013,Active attention queue,"A live worklist containing unresolved, nonterminal items that still require mathematical, technical, governance, or human action.",Open Questions; Help Board; Easy Closure Queue; priority queues,"Terminally closed, killed, or superseded items remain in historical registers but must not remain presented as active work.",active queue; open work; attention,[[DEF:ACTIVE_ATTENTION_QUEUE]],work_queue; lifecycle; terminal_record,OP-PROT-004,Routing only,ACTIVE,2026-07-21,https://docs.google.com/document/d/199LbHqlLg1QRli85E7hVKTYdXbchHC4SPQ5wau_yjiY/edit
DEF-014,Fail-closed no-fit rule,"No aggregate exponent or fitted result may be emitted when any requested field fails a mandatory gate, remains unresolved, or is excluded without a preregistered admissible reason.",Hardened exact-field pairing instrument,"A partial pass rate, author judgment, or silent removal of failed fields cannot override the rule.",no fit; mandatory gates; failed field,[[DEF:FAIL_CLOSED_NO_FIT]],pairing_instrument; selection_control; inference,GP-PRE-053; GP-DATA-054,Technical gate only; not theorem evidence,ACTIVE,2026-07-21,https://docs.google.com/document/d/1iB_N4TsFTzCSsWAZIvt23dyQ5nTf9dzw3qcomvzmCTU/edit
DEF-015,Certified endpoint arrival,"A branch endpoint is certified only when the ODE solver succeeds, a preregistered endpoint event actually fires, the event state is finite, the gradient-flow direction remains admissible, and any Newton correction is applied only after the event and remains within a recorded tolerance.",Exact-field separatrix pairing,"Max-arclength exhaustion, failed solver termination, or Newton convergence from an arbitrary final state is not endpoint arrival.",endpoint event; separatrix destination; solver status,[[DEF:CERTIFIED_ENDPOINT_ARRIVAL]],endpoint_certification; solve_ivp; dynamical_identity,GP-AUD-056-v1.0,Proposed qualification definition; does not validate existing outputs,ACTIVE-PROPOSED-GATE,2026-07-21,https://docs.google.com/document/d/14isBxF_3xAQm2e9XzXLxZ872aQo7XmVvmjVn2exln6U/edit
DEF-016,Critical-census identity replay,"Replay stability requires one-to-one periodic matching of individual critical points by type, position, value, and downstream incidence under preregistered tolerances; equality of maxima/minima/saddle counts alone is insufficient.",Critical-set completeness diagnostics,"A count signature does not establish point identity, critical-value stability, or saddle-to-maximum incidence stability.",census replay; pointwise matching; count signature,[[DEF:CRITICAL_CENSUS_IDENTITY_REPLAY]],critical_set; periodic_matching; incidence_replay,GP-AUD-056-v1.0,Proposed qualification definition; not an analytic completeness theorem,ACTIVE-PROPOSED-GATE,2026-07-21,https://docs.google.com/document/d/14isBxF_3xAQm2e9XzXLxZ872aQo7XmVvmjVn2exln6U/edit
