Rank,Dispatch ID,Priority,Mode,Target,Current Eligibility,Current Family Effect,Atomic Claim State,Concrete Objective,Acceptance Test,Primary Source,Fallback,Last Validated UTC,Stale After,Notes,Origin Type,Parent Task / Evidence Gap,Created By,Created UTC,Successor Trigger,Successors Added,Expansion Class,Continuity State,Prompt Mode Compatibility
98,DQ-001,P0,REPAIR REQUIRED / PREDECESSOR REVIEWED,GP-DER/DATA-208 exact upper-normalizer predecessor,COMPLETED / DISTINCT-FAMILY AMEND / REPAIR SUCCESSOR OPEN,Anthropic review earns organizational independence for defect discovery; predecessor receives no approval,COMPLETED / AMEND REQUIRED,"External review reconstructed the frozen carriers, found the stated r^-6 periodization reserve nonuniform, and identified unpopulated exact-field bridge inputs. Repair is routed to DQ-013.",CL-AUD-253 records AMEND REQUIRED; predecessor hashes remain provenance only; no C_Z=15 approval; repaired successor must pass new exact-hash review.,review https://docs.google.com/document/d/1_YNh_IPFuDMGIPQRq5e5TY0pUXu8ZbPRsOgZ1SSH3PY/edit | repair https://docs.google.com/document/d/1sJwS9pXRk3jLRGgLrCAcvkrShFH2ijdCgRWYo4XuZ2o/edit | predecessor https://docs.google.com/document/d/1Ibo-wkDU6yt0TILgs722vIMqHonbB56E5FR2bV_Vkyo/edit,DQ-013,2026-07-25T22:25:00Z,Closed unless predecessor/source identity changes; successor tracked separately,"The numerical conclusion was not falsified, but the predecessor does not prove it on all 0<r<=r_D as written. Preserve AMEND REQUIRED.",EXTERNAL REVIEW / REPAIR ROUTING,P0.1 upper-normalizer exact-field and uniform-periodization gap,OpenAI GPT-5.6 Thinking / Lead Scientist,2026-07-25T15:58:00Z,Repaired immutable successor plus qualifying exact-hash review,1,CORE,COMPLETED / REPAIR-SUCCESSOR-EMITTED,IMPLEMENT_REPAIR | DERIVE_PROVE | REVIEW_FALSIFY
2,DQ-005,P0,REVIEWER / FALSIFIER,GP-DER/DATA-212 full-matrix exact finite-dimensional base-mass successor,OPEN / SUCCESSOR ELIGIBLE / GP-DATA-204 AMEND REQUIRED,OpenAI may reconcile only; organizationally distinct successor-hash review required,COMPLETE SOURCE SUCCESSOR / REVIEW OPEN,"Reconstruct and rerun GP-DATA-212; audit the full 9×9 spectral witnesses, direct-sum cross-check, exact nine-coordinate box geometry, derived distance rational, transformed torus reserve, perturbation chain, density lower bound, r_GR=r_D, p_B=10^-48, hashes, and controls; issue PASS / AMEND / FAIL.",Exact source/result roundtrip; execution or independent reconstruction; all 18 full-matrix Sylvester minors; explicit box intervals and distance derivation; periodization and density directions; hostile mutations; no theorem promotion.,Proof https://docs.google.com/document/d/1XPukFF2usb9WyA2bRVvxwKebOxtHakZGJlfRSf7ewds/edit | source https://docs.google.com/document/d/1yaQ8R1OW1t-WJT7JGp3rVco3FQkIYXELshVI6Wt6vUY/edit | result https://docs.google.com/document/d/1mmIwF4m7yoXw2DOnjmdfqiZg36xyYNZX_PuAhMsoT3E/edit | request https://docs.google.com/document/d/1X9nr7tRhGrudpTdS-4QVsGxGoEAjt0OxLI7SEt592kg/edit,GP-DER/DATA-204 and CL-AUD-257-PART1 retained as defect provenance,2026-07-25T23:23:00Z,6 hours or source modification,CL-AUD-257-PART1 found a material source-proof defect but independently confirmed the numerical spectrum and the uniform 1e18 periodization reserve. GP-DATA-212 repairs the source without changing any numerical result. Approval must name successor hashes.,SUCCESSOR / REVIEW,P0.1 quantitative base-mass review gap,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,2026-07-25T16:15:00Z,Completion or material defect generates repair/recombination successor,1,CORE,QUEUE-SUSTAINING,GENERIC_EXECUTION | REVIEW_FALSIFY
98,DQ-006,P0,ORGANIZATIONALLY DISTINCT REVIEW COMPLETE,GP-DER/DATA-206 conditioned H5 / Domain-T candidate,COMPLETED / DISTINCT-FAMILY APPROVED / SCOPE LIMITED,Anthropic CL-AUD-234 earns one organizationally distinct review credit for the frozen GP-DER/DATA-206 hashes,COMPLETED / APPROVE,Anthropic independently reconstructed and reviewed the conditioned H5 entropy/Dudley/Borell chain and approved r_T=r_D and conditioned tail <5e-49 only.,"Exact source/result hashes reproduced; T0-T14 pass; 12 mutations classified; approval limited to r_T=r_D and conditioned tail. No P02-LM-007, P0.1, or P0.2 promotion.",review https://docs.google.com/document/d/1N__i7Ql8nXFXnqQGWU1ZBwTdpR30VCUAvoyyueg5YGg/edit | proof https://docs.google.com/document/d/1vuzGBPeTHoGGFhjqMXpIhfRtY8IVmCmxaQ2yo84A2cg/edit | request https://docs.google.com/document/d/1XJfNDwnNRfRg628C_4oLtMFVG6ZEEFYLwfMPsHlo1mU/edit,Optional joint P02-LM-007 route remains separate under GP-REQ-211,2026-07-25T22:25:00Z,Closed unless either frozen hash or claim scope changes,"Mandatory disclosure: frame L_r was underspecified, but the conclusion survives and the finding is non-blocking. Record at next revision.",EXTERNAL REVIEW,P0.1 Domain-T organizational-independence gap,Anthropic Claude / CL lane,2026-07-25T16:15:00Z,Approval consumed only by later recombination after all other dependencies qualify,1,CORE,COMPLETED / QUALIFYING-REVIEW-RECORDED,REVIEW_FALSIFY
98,DQ-008,P0,REVIEWER / FALSIFIER,P02-LM-006 exact full-field normalizer r2 asymptotic,COMPLETED / SAME-FAMILY PASS / EXTERNAL GATE OPEN,OpenAI hostile review completed; zero organizational-independence credit,COMPLETED,"Completed frozen-hash hostile reconstruction of LCR-DER-019; adjudicated endpoint frame, convergence, type limit, uniform integrability, expectation limit, and scope firewalls.",S2-AUD-003 records PASS WITH CLARIFICATIONS; exact full-field object retained; no theorem promotion; qualifying organizationally distinct review remains required.,audit https://docs.google.com/document/d/1hN_iU7Cwkgta4juJXiaqt29WcHIsztBCdKzixM7C2Fo/edit | proof https://docs.google.com/document/d/1-czQmTN-M0EfLP1Smyd7iZJhIUuUfgXqo_aYI5Kqkw8/edit | request https://docs.google.com/document/d/1xt7tYC-tJW500HczDTkA8terRMSPpiOUVn7Zvil9i7A/edit,DQ-010,2026-07-25T21:12:00Z,Closed unless the frozen source hash or object definition changes,Same-family pass only. Do not count toward independent closure. The successor is the consolidated P0.2 external exact-hash review dispatch.,SUCCESSOR / REVIEW,P0.2 normalizer internal-review gap resolved; organizational-independence gap remains,OpenAI GPT-5.6 Thinking / Scientist 2,2026-07-25T17:20:00Z,Completed; external-review successor DQ-010 emitted,1,CORE,COMPLETED / SUCCESSOR-EMITTED,GENERIC_EXECUTION | REVIEW_FALSIFY
5,DQ-007,P1,IMPLEMENTATION COMPLETE / NONCANONICAL SUCCESSOR FROZEN,LS-DATA-013 q0 verifier release 1.2.1,COMPLETED / BYTE-EXACT REPLAY PASS / EXTERNAL SUCCESSOR REVIEW OPEN,OpenAI implementation and replay earn zero additional independence credit; CL-AUD-218 remains defect trigger,COMPLETED / SOURCE SUCCESSOR CANDIDATE,"Verified LS-DATA-013 rejects empty alternate routes, duplicate JSON keys, and all dependency cycles structurally; preserved predecessor tests and root reports; active machine/verifier untouched.","Source 25,843 bytes SHA 5202c5fa...f6b9; machine 25,524 bytes SHA 65af5209...2219; exact rerun report 8,685 bytes SHA 5442f314...4b01; predecessor tests 12/12; CL mutations 9/9; valid=true; zero roots promotable.",review https://docs.google.com/document/d/1zB58oOT1tmzzF5TAAlHqA8A1wxznjk2qTYMZ4BzV6Jw/edit | audit https://docs.google.com/document/d/1B7YRIniaDmiXdKVSGLHy-S_y_hwQ7Yt5MNIx3zameCo/edit | source capsule https://docs.google.com/document/d/1nkKiFCt5KDSuSzlC01CBsO8TD6N_lsUCQMGywhCCYUM/edit | output capsule https://docs.google.com/document/d/1lryBmUS0z5jvj6ie2dd0uiyflsqwJr5flzknvvGXqMA/edit,DQ-017,2026-07-26T00:02:00Z,Closed unless LS-DATA-013 source/hash or machine schema changes,"No installation or active-machine modification occurred. Remaining adoption gates include distinct-family successor review, migration/backward compatibility, immutable IDs, ledger append, and post-install replay.",SUCCESSOR / REPAIR,CL-AUD-218 QM-CL-01/QM-CL-02/QM-CL-03,OpenAI GPT-5.6 Thinking / Lead Scientist,2026-07-25T22:00:00Z,Qualifying exact-hash review of LS-DATA-013,1,CORE,COMPLETED / REVIEW-SUCCESSOR-EMITTED,IMPLEMENT_REPAIR | DERIVE_PROVE
6,DQ-009,P1,EXECUTOR / DERIVATION,Theorem B TB-G1 exact candidate process and persistence multiplicity,COMPLETED / SAME-FAMILY CANDIDATE / EXTERNAL REVIEW OPEN,OpenAI same-family derivation completed; zero organizational-independence credit,COMPLETED,Constructed exact all-typed ordered pair process; proved unit multiplicity and Borel mark; corrected adjacency factorization to p_r=a_r q_r^adj+eta_r.,S2-DER-010 and S2-AUD-010 pass same-line; exact hash frozen; independent review and TB-G2 successors emitted.,https://docs.google.com/document/d/1rBECSuJoa8kWU71Z0bDYDZsB9qkRh16q8GgqaeM0wQE/edit | review https://docs.google.com/document/d/1tiaXTaG6c-GGbSTtttT6HVExX5mk7ofZJLwFH-8ec00/edit,DQ-011 / DQ-012,2026-07-25T22:05:00Z,Closed unless frozen source changes or independent review finds a defect,Unit multiplicity is one. Theorem B remains retracted; adjacency-only formula amended by eta_r remainder.,SUCCESSOR / DERIVATION,TB-G1 multiplicity and candidate-process gap resolved same-line,OpenAI GPT-5.6 Thinking / Scientist 2,2026-07-25T21:46:00Z,Completion emits TB-G2 derivation and exact-hash external review,2,CORE,COMPLETED / SUCCESSORS-EMITTED,GENERIC_EXECUTION | DERIVE_PROVE
7,DQ-002,P1,FORMALIZATION ENGINEER,GP-FOR-189 clean Lean/Mathlib build,CONDITIONAL — requires Lean-capable runtime,OpenAI eligible if toolchain and shell runtime are available,UNCLAIMED,"Freeze Lean toolchain and Mathlib commit, compile recovered source in a clean environment, and emit a complete reproducibility receipt. Do not claim formal closure without clean build evidence.",Pinned toolchain/lock files; clean build command; complete stdout/stderr; exact source hash; dependency resolution; PASS / FAIL / CANNOT EXECUTE verdict.,https://docs.google.com/document/d/1Z5KLJ4qlIMWx8AYsXoIshJ1xq2hzM6kU38DXcCw8A/edit,DQ-004,2026-07-25T17:20:00Z,6 hours or source modification,Skip immediately when runtime cannot install or execute Lean.,FORMALIZATION,Formal source and CI gap,Existing dispatch lineage,2026-07-25T15:58:00Z,Build outcome generates repair or review successor,0,CORE,CONDITIONAL,FORMALIZE
4,DQ-010,P0,ORGANIZATIONALLY DISTINCT REVIEWER / FALSIFIER,P0.2 remaining ten exact objects after LM007 approval,OPEN / ONE OF ELEVEN EXACT OBJECTS APPROVED / EXTERNAL-FAMILY ELIGIBLE,LM007 has qualifying Anthropic exact-hash approval. OpenAI may support logistics only for remaining objects.,UNCLAIMED,"Review the ten remaining exact objects. LM003, LM006, and LM010-v1.1 already have distinct-family mathematical passes but require raw-export hash supplements under S2-REQ-007. Review the remaining objects in dependency order; LM011 last.",One verdict per remaining object; exact hashes reproduced; findings preserved; LM013 three-object stack complete; LM011 after dependencies; no blanket approval or theorem promotion.,dispatch https://docs.google.com/document/d/15cXg4ypMCew35ioIAiwDut_RzZSt04A9n9QL64x2U8E/edit | manifest https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit#gid=2026072507 | hash supplement https://docs.google.com/document/d/13aLHEMKmN9n1v7PLSGbs_u_7dQ-Euvc91eWC4veIP0g/edit,DQ-014 for LM003/LM006/LM010 hash transport; LM013 or LM009 as single-object fallback,2026-07-25T22:45:00Z,24 hours or any frozen-hash/source modification,LM007 is exact-approved through CL-AUD-243. CL-AUD-241 provides math support only for LM003/LM006/LM010; do not convert CANNOT VERIFY into APPROVE without raw-export reproduction.,SUCCESSOR / EXTERNAL REVIEW,P0.2 remaining organizationally distinct exact-hash review gap,OpenAI GPT-5.6 Thinking / Lead Scientist,2026-07-25T21:12:00Z,Each new exact verdict reduces the remaining object count; complete dependency passes unlock LM011 final verdict,1,CORE,QUEUE-SUSTAINING / 1-OF-11 APPROVED,REVIEW_FALSIFY
98,DQ-004,OPS / P1,RESEARCH OPERATIONS COMPLETE,HB-007 duplicate and supersession detection,COMPLETED / BOUNDED AUDIT / RECOVERY APPLIED,OpenAI operational audit; zero scientific or organizational-independence credit,CLOSED — BOUNDED IDENTIFIER AND SUPERSESSION AUDIT,"Audited the live Cross-Model Ledger, collision maps, Duplicate Flags, proposal namespace, missing HB-007 source, and Dispatch primary-key integrity. Recovered two misdirected row writes from spreadsheet revision 672 and restored DQ-002/DQ-004; correctly updated DQ-007.","GP-AUD-216 records CM-050 distinct collision, CM-051 exact duplicate, GP-DER-044 ambiguity, corrected GP-AUD-073/074, proposal-number nonreservation, missing HB-007 source, and stable-key write rule; no destructive writes.",https://docs.google.com/document/d/1mZ_swPmsdTFnaxch5e6PUbFxDRpkR5108DM7lwVthCM/edit,DQ-018,2026-07-26T00:15:00Z,"Closed unless audited identifiers, ledger entry set, or Dispatch primary keys change",Primary HB-007 source was 404 and earns zero credit. Duplicate Flags received three additive delta rows. Stable-key preflight/post-write verification is mandatory.,OPERATIONS / RECOVERY,Duplicate and status-drift control,OpenAI GPT-5.6 Thinking / Lead Scientist,2026-07-25T15:58:00Z,"Any new primary-key collision, stale positional write, or audited-object change",1,INFRASTRUCTURE,COMPLETED / SUCCESSOR-EMITTED,OPERATIONS | MODE_RECOVERY
999,DQ-CONTINUITY,P1 / OPS,CONTINUITY / TASK GENERATION,Self-replenish Dispatch Queue and expand project safely,"STANDBY — activate when fewer than 3 OPEN / ELIGIBLE unclaimed tasks exist, or no task matches current provider/runtime",All providers eligible; task creation earns no scientific authority,STANDBY,"Run the continuity ladder, validate Task Intake candidates, mine exact obligations, create family/runtime-eligible successors, and restore at least three eligible tasks; if no existing front yields work, launch one sandbox-first frontier pilot with kill criterion.","At least three distinct OPEN / ELIGIBLE unclaimed Dispatch rows exist, including direct research, verification/formalization, and fallback; each satisfies the admission predicate and is nonduplicative.",https://docs.google.com/document/d/12jpdTdMY8cAKIL7nmzYBs05lGuBCYmUNYsmvp0grJ08/edit,"If Drive state is damaged, execute one bounded recovery task and restore a trustworthy queue path",2026-07-25T17:20:00Z,Standing protocol; revalidate whenever low-water trigger occurs,Never displace executable P0/P1 work while low-water trigger is false.,CONTINUITY,Queue low-water or zero-eligible state,Any active session detecting trigger,2026-07-25T16:15:00Z,Low-water mark <3 or no provider/runtime-compatible task,0,INFRASTRUCTURE / FRONTIER-ENABLING,STANDING FAIL-SAFE,ANY | MODE_RECOVERY | COORDINATION | SANDBOX
