PRIMARY FOCUS — VERIFIED RESEARCH PROGRESS,ACTIVE,"Resume own unfinished scope; then exact target, requested mode, constraints, eligibility and rank.",https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit#gid=2026072503
Start here,Start Here — R17,"Use Start Here A1:H24, then Review Queue / File Catalog. Research Home at root; technical review is available to any nonauthor session; organizational independence remains separate.",https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit#gid=2026091701
Historical closure snapshot,20 objects in the earlier snapshot,Historical list retained in NAVIGATION_BEFORE.json; not a current global count. Use Closure Log for object-specific terminal records.,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit#gid=200012
Live queue,Dispatch Queue,"Rank-sorted, provider/runtime-aware, atomically claimed task board. Easy Closure Queue is a secondary evidence surface, not the generic entry.",https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit#gid=2026072503
Terminal record,Closure Log,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit#gid=200012,
Current dispatch,Resume own scope → exact target → requested mode → constraints → eligibility → rank,PAUSED_CHECKPOINTED and RECOVERED_PRECONTROL own work outrank new-task selection. Reserved paused scopes are unavailable to other threads until transfer-ready.,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit#gid=2026072503
GP-REG-032-v1.2 — COUPLED RESEARCH REGISTERS,,,
Current routing links controlling evidence; historical counts are retired. Navigation changes grant no theorem closure or independent-review credit.,,,
Generic Drive prompt entry,R16 BOUNDED ENTRY / OWN-SCOPE CONTINUITY,"Use Cold Start Control View; open full Dispatch, Claims or Gates only to resolve a named contradiction. Source and review gates remain binding.",https://docs.google.com/document/d/180yfvocozAaFRxf7tY8CDrobnpi17Sv-UkQGBBWCiD8/edit
Queue continuity and expansion,SELF-REPLENISHING / LOW-WATER MARK 3 / DQ-CONTINUITY STANDBY,"Every completed or blocked task is checked for successors. Fully specified tasks are promoted to Dispatch Queue; incomplete discoveries stay in Task Intake & Expansion. If fewer than three eligible tasks remain, any active session runs the continuity ladder. If all current fronts are exhausted, one evidence-grounded sandbox-first frontier pilot may be launched with a kill criterion and no canonical authority.",https://docs.google.com/document/d/12jpdTdMY8cAKIL7nmzYBs05lGuBCYmUNYsmvp0grJ08/edit
Metric,Value,Interpretation,Direct source
Open questions,Use current row states,Earlier 9/13 count retired. OQ-005 and OQ-012 were reconciled in round 2; OQ-009 now routes to the v1.10 control overlay.,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit#gid=200001
Priority work,Use eligible Dispatch rows,"Earlier hard-coded 14-item count retired. Filter by exact target, provider, mode, source integrity and live claims.",https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit#gid=2026072503
Autonomous decision record,38 USED / 12 REMAIN — existing control record,Decision 38 already executed AD-009 for EC-019 at fixed r=1/20. This navigation repair consumes no new autonomous decision; current user explicitly authorized it.,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit#gid=2026072501
Independent-review state,Object-specific evidence required,"The old universal zero-reviewer snapshot is historical. P0.1 FOUNDATION/APPLICATION are TRUE, but INDEPENDENCE/INTEGRITY remain FALSE; new RN work earns zero independence.",https://drive.google.com/file/d/1W0Ta8KGdUmvNfzbm0S-8gzXON_cVawuQ/view
Help requests,Use current Help Board rows,Earlier 41-item count retired; availability and exact-object eligibility must be checked when claiming.,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit#gid=200002
Research outputs,Live Artifact Index,"Use exact artifact IDs, hashes, binding classes and source links; the earlier 112+ snapshot is historical.",https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit#gid=200004
Last bounded reconciliation,2026-09-17 · RN3,"R16 navigation and P0.1 routing repaired; RN far-region proof linked. This is a bounded update, not a full re-audit of every historical page.",https://drive.google.com/file/d/1f0EBsq6UIZ0jDCABT251TTNEWYCVA0FO/view?usp=drivesdk
Historical pilot folder,Retained for provenance,Current work follows the existing research-package and HOLD destinations.,https://drive.google.com/drive/folders/1z-SmhXwz6RKdN94txwO_UttoPu2CF1Dm
Rules of engagement,https://docs.google.com/document/d/1E_RDxvBcd-htroiRqNTjmbDrhKVI4MygrGSYYMjgFKA,"Re-execution, decisive tests, separate response files",
Cross-model ledger,https://docs.google.com/document/d/1rwfvL3sJUmRVpwf3AHx2FnduUrtoIi-9pA8C9Rbku7o,Append-only collaboration record,
Live governance,OP-PROT-012 — AUTONOMOUS EVIDENCE-GATED GOVERNANCE,No normal human-approval gate. PASS implements; named defect returns NO/AMEND; incomplete or contradictory evidence returns HOLD. OP-PROT-011 is retained only as evidence-lineage guidance where not superseded.,https://docs.google.com/document/d/1hBQR7Pa10DpVeOxTCLv1qIozLT-bU_hgZKo6ksODCuo/edit
Current records-integrity decision,OP-RES-001 — OPERATOR-APPROVED / SETTLED WITHIN DECLARED SCOPE,"CM hash-qualified aliases, GP-DATA-114 corrupt/clean split, TRC R0.2 adoption, and v0.4 sole-successor routing are settled. This accepts no package root, seal, theorem, or external release.",https://docs.google.com/document/d/1FF1u9WarpRd1RxG2XKS0qbYzHI2FocrPZ0vkG-KgAqM/edit
Automation state,R0.4 CURRENT DEVELOPMENT CANDIDATE / STATIC T1–T35 + 4 FIXTURES PASS / ALL WRITE TARGETS EXPLICIT / ISOLATED SANDBOX PREPARED / RUNTIME NOT EXECUTED / DO NOT INSTALL,"R0.4 removes all known implicit live registry, navigation, and manifest fallbacks. Exact raw source and static qualification pass; the isolated sandbox and recovery handoff are updated. Apps Script runtime, explicit target checks, normal refresh, hard-kill recovery, installed-source equality, exact-byte distinct-family review, trigger inspection/teardown, and production activation remain open.",https://docs.google.com/document/d/1gZum-OCx4IhdhDS3CyLJ1jajJHK1Ik9Orph4NAELiic/edit
CURRENT RESEARCH SNAPSHOT,2026-09-17,Scope and remaining gates,Controlling source
RN far region,AUTHOR-SIDE CERTIFIED · fixed r=1/20,"Complete joint comparison: kappa<0.12058; I_far<2.83312 r^3. All 13,604 boxes and full mark window; 294 audit checks. Zero new independence.",https://drive.google.com/file/d/1f0EBsq6UIZ0jDCABT251TTNEWYCVA0FO/view?usp=drivesdk
RN next mathematical gap,NEAR ANNULUS / ALL-SMALL-r OPEN,Certify 0.1<=|y|<=5 with cancellation-preserving covariance and outward quadrature. The displayed 17.6804 r^3 near bound remains unverified here.,https://drive.google.com/file/d/1f0EBsq6UIZ0jDCABT251TTNEWYCVA0FO/view?usp=drivesdk
H5 chart,KERNEL REPAIRED; FULL COVER OPEN,"Round 2 repaired two kernel defects, replayed 7 witnesses and one consumer. Finish certified chart coverage/stitching; no parent theorem promotion.",https://drive.google.com/file/d/1qtuFKUR0SsX3aeB_uI08b2sJw0DX2EOL/view
q0 verifier,1.2.2 CANDIDATE; ACCEPTANCE OPEN,Round 2 repaired eight malformed-shape crashes; 21 original +13 shape +2 CLI cases pass. Distinct-provider review and adoption gates remain.,https://drive.google.com/file/d/1N0jfi1mo1jbEKUaslc2glytZ_x-NjRzr/view
P0.1 current control,v1.10 / LS-CTL-003-v1.3 / HOLD,FOUNDATION=APPLICATION=TRUE. INDEPENDENCE=INTEGRITY=FALSE. B0 evidence satisfied but state unchanged/fold-ready. Do not repeat obsolete E0/E2 or D0/I0 requests.,https://drive.google.com/file/d/1W0Ta8KGdUmvNfzbm0S-8gzXON_cVawuQ/view
Combinatorial research,P14 AUTHOR CANDIDATES; P15 NEW WORK OBSERVED,P14 routing inspected; independent acceptance and unrestricted problem remain open. Concurrent P15 files observed; this RN round does not review or edit that lane.,https://drive.google.com/file/d/1Gc1ep25x1y3IS_9GDtQMQ1iZQsXELqfx/view
P0.1 routing correction,ADDITIVE ERRATUM TO ROUND 2 SNAPSHOT,The previous round's v1.9 / D-I-PZ review-open summary was stale. The existing v1.10/v1.3 control record governs; no new Boolean transition executed.,https://drive.google.com/file/d/1W0Ta8KGdUmvNfzbm0S-8gzXON_cVawuQ/view
