Claim ID,Session / Model ID,Provider / Family,Claimed UTC,Expires UTC,Last Heartbeat UTC,Role / Mode,Priority,Target / Object,Target Drive IDs / Hashes,Concrete Objective,Acceptance Test,Status,Output IDs / URLs,Independence Credit,Fallback Task,Notes / Relationship,Dispatch ID,Claim Slot,User Constraints / Hard Limits,Resume State,Checkpoint UTC,Completed / Verified Through,Next Exact Action,Working Artifact IDs / Drafts,Resume Owner / Transfer Rule,Checkpoint Source Revision / Hash
PROTOCOL,One primary + one fallback per session,Disclose actual provider,ISO-8601 UTC,Default 120 minutes after heartbeat,Refresh on material progress,EXECUTOR / REVIEWER / OPS / FORMALIZER / SANDBOX / RESPONDER,P0 / P1 / P2 / OPS,Exact named task,Stable IDs or frozen hashes,One session-sized advancement,Observable completion criterion,CLAIMED / ACTIVE / PAUSED / COMPLETE / BLOCKED / RELEASED / EXPIRED,Populate before release,Same OpenAI family = zero organizational independence,Use only if primary is blocked,Claim and release through one atomic spreadsheet transaction; join only by Dispatch ID,Required exact queue key,PRIMARY / FALLBACK,"Preserve exact current-user limits: READ ONLY, STOP, NO NEW FILES, NO STRUCTURAL, NO STATUS CHANGE, SANDBOX ONLY, NONCANONICAL ONLY, ABORT ON CONFLICT, exact excluded objects, or NONE",NONE / ACTIVE / PAUSED_CHECKPOINTED / FORCED_PAUSE_UNCHECKPOINTED / RECOVERED_PRECONTROL / REVALIDATION_REQUIRED / TRANSFER_READY / RESUMING / ORPHANED_UNCHECKPOINTED / COMPLETE,ISO-8601 UTC,Exact verified boundary; no inflated completion,First unverified executable step,"Stable Drive IDs, URLs, hashes, or explicit NONE",Exact thread/lineage owner; PAUSED_RESERVED 72h; transfer conditions,"Revision ID, frozen hash, or exact source snapshot identity"
SIM-CLAIM-A1,COLDSTART-COLLISION-A,OpenAI / GPT-5.6 Thinking,2026-07-25T16:55:00Z,2026-07-25T18:55:00Z,2026-07-25T16:55:00Z,REVIEWER / FALSIFIER,P0,GP-DER/DATA-208 exact upper-normalizer candidate,1Ibo-wkDU6yt0TILgs722vIMqHonbB56E5FR2bV_Vkyo,Collision simulation only — reserve the rank-1 task,Atomic queue/claim join visible by Dispatch ID,RELEASED,CST-034,ZERO — same OpenAI family,DQ-005,Collision simulation completed and released; no research performed,DQ-001,PRIMARY,,,,,,,,
SIM-CLAIM-A2,COLDSTART-COLLISION-A,OpenAI / GPT-5.6 Thinking,2026-07-25T16:55:00Z,2026-07-25T18:55:00Z,2026-07-25T16:55:00Z,REVIEWER / FALSIFIER,P0,GP-DER/DATA-204 exact finite-dimensional base-mass candidate,1Vom-SmByypl4jPBVGOI0xSqOV01Gyk01z5rCFBl7qVk,Collision simulation only — reserve the fallback,Atomic queue/claim join visible by Dispatch ID,RELEASED,CST-034,ZERO — same OpenAI family,,Collision simulation completed and released; no research performed,DQ-005,FALLBACK,,,,,,,,
SIM-CLAIM-B1,COLDSTART-COLLISION-B,OpenAI / GPT-5.6 Thinking,2026-07-25T16:57:00Z,2026-07-25T18:57:00Z,2026-07-25T16:57:00Z,REVIEWER / FALSIFIER,P0,GP-DER/DATA-206 conditioned H5 / Domain-T candidate,1vuzGBPeTHoGGFhjqMXpIhfRtY8IVmCmxaQ2yo84A2cg,Collision simulation only — reserve the next eligible task,Atomic queue/claim join visible by Dispatch ID,RELEASED,CST-035,ZERO — same OpenAI family,DQ-007,Collision simulation completed and released; no research performed,DQ-006,PRIMARY,,,,,,,,
SIM-CLAIM-B2,COLDSTART-COLLISION-B,OpenAI / GPT-5.6 Thinking,2026-07-25T16:57:00Z,2026-07-25T18:57:00Z,2026-07-25T16:57:00Z,EXECUTOR / IMPLEMENTATION,P1,q0-law-specific/1.2.1 verifier hardening,1COFvunwQWUWxET6AB0j0kYd-SfUO0BSU;1imoUIXgOFrLI9I35WNidr_gCcRzASpOzF6nux2d7-dg,Collision simulation only — reserve direct implementation fallback,Atomic queue/claim join visible by Dispatch ID,RELEASED,CST-035,ZERO — implementation does not create review independence,,Collision simulation completed and released; no research performed,DQ-007,FALLBACK,,,,,,,,
SIM-CLAIM-C1,COLDSTART-COLLISION-C,OpenAI / GPT-5.6 Thinking,2026-07-25T16:59:00Z,2026-07-25T18:59:00Z,2026-07-25T16:59:00Z,CONTINUITY / TASK GENERATION,P1 / OPS,Self-replenish Dispatch Queue and expand project safely,12jpdTdMY8cAKIL7nmzYBs05lGuBCYmUNYsmvp0grJ08,Collision simulation only — activate low-water continuity,Restore at least three eligible tasks under admission predicate,RELEASED,CST-036,NONE — task creation has no scientific authority,DQ-004,Low-water continuity simulation completed and released; row-index defect caught and corrected by readback,DQ-CONTINUITY,PRIMARY,,,,,,,,
SIM-CLAIM-C2,COLDSTART-COLLISION-C,OpenAI / GPT-5.6 Thinking,2026-07-25T16:59:00Z,2026-07-25T18:59:00Z,2026-07-25T16:59:00Z,RESEARCH OPERATIONS,OPS / P1,HB-007 duplicate and supersession detection,1WKaEAFNHR0aK7bOeurR0XtAQ6dINZrF72nlvw19Z0uI,Collision simulation only — reserve operations fallback,Atomic queue/claim join visible by Dispatch ID,RELEASED,CST-036,NONE,,Low-water continuity simulation completed and released; no operations work performed,DQ-004,FALLBACK,,,,,,,,
SIM-RESUME-A,CLAUDE-EXISTING-THREAD-A,Anthropic / Claude,2026-07-25T18:20:00Z,2026-07-25T20:25:00Z,2026-07-25T18:25:00Z,REVIEWER / FALSIFIER,P0,GP-DER/DATA-208 exact upper-normalizer candidate,1Ibo-wkDU6yt0TILgs722vIMqHonbB56E5FR2bV_Vkyo,Usage-limit pause/resume simulation only; no research performed,Resume exact scope from checkpoint without repeating completed steps,RELEASED,CST-056,ZERO — same provider lineage; no independent-review credit,,Final release-readiness simulation; same-thread ownership; checkpoint revalidated and resumed without selecting a new task,DQ-001,PRIMARY,NO RESEARCH / TEST ONLY,COMPLETE,2026-07-25T18:20:00Z,Routing and source identity verified; no mathematical review executed,"Revalidate source identity, atomically resume, then release simulation",1Ibo-wkDU6yt0TILgs722vIMqHonbB56E5FR2bV_Vkyo,Exact conversation lineage CLAUDE-EXISTING-THREAD-A reserved until 2026-07-28T18:20:00Z; then TRANSFER_READY,Source Drive ID 1Ibo-wkDU6yt0TILgs722vIMqHonbB56E5FR2bV_Vkyo; simulated checkpoint snapshot
SIM-RESUME-B-OLD,CLAUDE-OLD-THREAD-B,Anthropic / Claude,2026-07-22T18:30:00Z,2026-07-25T18:30:00Z,2026-07-22T18:30:00Z,REVIEWER / FALSIFIER,P0,GP-DER/DATA-204 exact finite-dimensional base-mass candidate,1Vom-SmByypl4jPBVGOI0xSqOV01Gyk01z5rCFBl7qVk,Transfer-ready takeover simulation only; no research performed,Preserve checkpoint and lineage during new-thread takeover,RELEASED,CST-057,ZERO — provider-family takeover is not independent review,,Historical transfer-ready simulation completed; checkpoint lineage preserved in CST-057; not live or resumable,DQ-005,PRIMARY,NO RESEARCH / TEST ONLY,COMPLETE,2026-07-22T18:30:00Z,Scope identity and simulated completed boundary recorded,New session revalidates source and atomically acquires exact scope,1Vom-SmByypl4jPBVGOI0xSqOV01Gyk01z5rCFBl7qVk,Former owner CLAUDE-OLD-THREAD-B; transfer permitted after reservation expiry,Source Drive ID 1Vom-SmByypl4jPBVGOI0xSqOV01Gyk01z5rCFBl7qVk; simulated unchanged snapshot
SIM-RESUME-B-NEW,OPENAI-NEW-THREAD-B,OpenAI / GPT-5.6 Thinking,2026-07-25T18:32:00Z,2026-07-25T20:32:00Z,2026-07-25T18:32:00Z,REVIEWER / FALSIFIER,P0,GP-DER/DATA-204 exact finite-dimensional base-mass candidate,1Vom-SmByypl4jPBVGOI0xSqOV01Gyk01z5rCFBl7qVk,Transfer-ready takeover simulation only; no research performed,Acquire exact checkpointed scope without losing lineage or creating independence credit,RELEASED,CST-057,ZERO — takeover does not create organizational independence,,Successor claim to SIM-RESUME-B-OLD after checkpoint revalidation,DQ-005,PRIMARY,NO RESEARCH / TEST ONLY,COMPLETE,2026-07-25T18:32:00Z,Inherited verified boundary from SIM-RESUME-B-OLD; source identity revalidated,"Continue from inherited next exact action, then release simulation",1Vom-SmByypl4jPBVGOI0xSqOV01Gyk01z5rCFBl7qVk,New owner OPENAI-NEW-THREAD-B; lineage preserved from CLAUDE-OLD-THREAD-B,Source Drive ID 1Vom-SmByypl4jPBVGOI0xSqOV01Gyk01z5rCFBl7qVk; unchanged simulated snapshot
