Closure ID,Item,Exact object,Evidence,Independent review,Dependencies affected,Dependencies unaffected,Terminal label,Human approval,Closure artifact,Closed at,Closed by,Correction path
GP-CLS-001-v1.0,GP-DER-044 identifier collision,Distinct files 1dn8BVsmScu690vX4Z_ewNgl0QRvMDBXcyzWiTtyJeho and 1y6ub28wyn_OH7uqV8qj86x38CHbdee7pJ6l1yi14OXw share declared ID GP-DER-044-v1.0.,CM-042 exact Drive-ID reconciliation; AO48-CNS-015 collision-test fixture.,Cross-model provenance record already established; registry verification executed in closure package.,"Registry, manifests, P0.2 dependency edges, extraction assembly, duplicate detection.","Mathematical content, theorem grades, P0.2 status, active machine, Q0_MASTER/Q0_LEDGER.",CLOSED — IDENTIFIER COLLISION REGISTERED,Not required,https://docs.google.com/document/d/1M1MnQR6wbGPEWtYMHk5QsJ9UPJ9IM94FH2fyhRTOtt0/edit,2026-07-21 02:05 CDT,OpenAI GPT-5.6 Thinking,Additive erratum only; never silently rename historical files.
GP-CLS-002-v1.0,OQ-002 stale package-absence claim,"00_READ_ME_FIRST.md, 04_THERMODYNAMIC_AND_PERCOLATION_EXTENSION.md, 05_RELIABILITY_AND_EVIDENCE.md, and 06_REVIEW_RESPONSE_FORM.md are present in Drive at the recorded IDs and sizes.",AO48 independent four-ID metadata resolution plus OpenAI independent re-resolution.,Two model lines independently resolved all four exact IDs and matching byte counts.,"OQ-002, stale charter/navigation absence statements, re-upload action items, coverage manifests.","Mathematical contents/grades, attachment-hash identity, canonical theorem state, specific subfolder membership.",CLOSED — STALE ABSENCE CLAIM SUPERSEDED,Not required for factual correction,https://docs.google.com/document/d/1xQKjBbJFGHdfLOqMSP6u_xBG3FV91QKpNOidlpGzEzY/edit,2026-07-21 02:12 CDT,OpenAI GPT-5.6 Thinking,Open a new scoped item for package-folder membership or attachment-hash identity; do not reopen Drive presence.
GP-CLS-003-v1.0,OQ-001 preservation / deletion contradiction,"Five exact-title 03_NEAR_DIAGONAL_LIFETIME_LAW.md copies: four byte-identical 15,874-byte files and one terminal-newline-short 15,873-byte variant.",Independent raw fetch/hash of all five copies; common SHA-256 50dd5b9d4a90b243395316ca05249ecfbe10b64bd6aa5085a4cd4438f76f5bd6; newline-short SHA-256 d123fd4d72f646cd896bddc09665023ad7dc8348756f16c5d0f828c25cd2fa7a.,AO48 identified the fifth copy; GP independently enumerated and hashed all five; preservation passed 3-of-4 governance.,OQ-001 model conflict; deletion instructions; duplicate lineage; cold-start routing; manifests.,Mathematical content and grades; Q0 canon; P0.2/P1.2; Dylan physical-deletion authority.,CLOSED-FOR-MODELS — PRESERVE; DELETION INSTRUCTIONS SUPERSEDED,No further model approval; future physical deletion remains Dylan-only.,https://docs.google.com/document/d/1UHZLVZYEDMPEhEjUc4I7MmGs0x7agJcgsDjODOKERo8/edit,2026-07-21 02:59 CDT,OpenAI GPT-5.6 Thinking,Additive erratum with exact Drive ID and hash only; never silently edit or delete provenance.
GP-CLS-004-v1.0,GP-DATA-048 instrument certification,"Behavior of the fail-closed degree-five capture-certificate checker on its declared schema, strict inequalities, and frozen control battery.",GP-AUD-049: 9/9 controls pass; CL-AUD-028 independent reconstruction: 9/9 match plus exact-boundary probes.,Independent OpenAI and Claude executions on separate stacks; CW deterministic-formula audit provides additional interface review.,"Instrument registry, regression suite, executable-specification manifests, repeated checker-credibility reviews.",P0.2 mathematics; exact-field remainder; Gaussian/Palm layer; object identity; theorem or machine promotion.,CLOSED — INSTRUMENT VERIFIED FOR DECLARED DOMAIN,Not required for narrow instrument status; theorem promotion remains human-gated.,https://docs.google.com/document/d/1Ki5nRWqSgld82tUxhM4KHUCv0JrPdk5FqFxYerGYUcE/edit,2026-07-21 02:59 CDT,OpenAI GPT-5.6 Thinking,New source version or demonstrated bypass requires a new battery and independent receipt.
GP-CLS-005-v1.0,OQ-004 navigation-companion conflict,Two distinct same-title EXTERNAL REVIEW PACKAGE — NAVIGATION COMPANION files are historical noncanonical derivatives; neither is the current route.,"CM-014 exact reconciliation; fresh resolution of _AI COLLABORATION EXCHANGE — READ FIRST, GP-AUD-004, and the singular CM ledger.",Claude/CW accepted the reconciliation; _CHARTER_G0_v2 independently repeats the route; OpenAI rechecked current artifact availability.,"OQ-004, cold-start routing, stale deletion/absence instructions, recurring same-title companion comparison.","Mathematical content and grades, q0 canon, preserved companion files, Dylan external-facing entry-point authority, GP-AUTO-034 status.",CLOSED — HISTORICAL NAVIGATION FORKS; CURRENT ROUTE DESIGNATED,Not required for factual internal routing closure; future external-facing route changes remain Dylan-only.,https://docs.google.com/document/d/1lr8PcOq5Wna6CGVLcBbnbPTLbm0BceMNS8kc7sI1yKs/edit,2026-07-21 03:55 CDT,OpenAI GPT-5.6 Thinking,Additive successor route only; preserve both historical companions and reopen only on new operator routing evidence.
GP-CLS-006-v1.0,EC-009 full planar coalesced conditional nine-jet law,"PLANAR_COALESCED_BF_CONDITIONAL_NINE_JET with P=(f,f_x,f_y,f_xx,f_xy,f_xxx)=(b,0,0,0,0,2) and J=(f_yy,f_xxy,f_xyy,f_yyy,f_xxxx,f_xxxy,f_xxyy,f_xyyy,f_yyyy).","Exact Gaussian Schur complement; GP-DER-019 primary derivation; fresh OpenAI primitive-kernel reconstruction; CW-CLS-023 direct-kernel symbolic reconstruction and executable receipt reproduced Σ_PP, the full mean, and all 81 covariance entries.","AO48-DER-007 strong cross-organization dependent verification with corrected disclosure; CW-CLS-023 used a methodologically distinct direct-kernel route performed before GP-DER-019 exposure, with final sighted comparison. Deterministic v1.2 scores remain pending validator execution.","Retires repeated full-matrix reconstruction; fixes the exact planar object card, conditioning order, jet order, mean vector, covariance matrix, and scope boundary.",Exact-torus and finite-r laws; Palm and adjacency objects; P0.2; Theorem B; canonical theorem status; active machine state.,CLOSED — EXACT PLANAR COALESCED CONDITIONAL NINE-JET LAW,Approved by Dylan M. Roy in connected chat on 2026-07-21: “Approved. Continue.”,https://docs.google.com/document/d/1rnt44lHgDDF2wz7M6k1zcocGlcitjhNoGTN9VvJyVR4/edit,2026-07-21 10:15 CDT,Dylan M. Roy / recorded by OpenAI GPT-5.6 Thinking,"Additive reopening only with contradictory evidence tied to the exact object card, conditioning convention, derivative order, or matrix entry; preserve all sources and reopen only EC-009 unless broader dependency failure is demonstrated."
GP-CLS-017-A,EC-005 canonical A₂ fold gap identity,"f_λ(x)=-x³/3+λx, r=2√λ, ℓ=f(√λ)-f(-√λ)=r³/6 under canonical normalization.",GP-CLS-PROP-006; AO48-AUD-021; CL-DATA-032 C1; CL-AUD-036 item A.,AO48 and CL independent recomputation; HA-006 condition satisfied.,Retires exact canonical A₂ algebra and repeated coefficient checks.,Physical-field κ; finite-r laws; adjacency; P0.2; Theorem B; machines.,CLOSED — EXACT CANONICAL NORMAL-FORM IDENTITY,HA-006 approved conditionally; CL-AUD-036 APPROVE discharges condition.,https://docs.google.com/document/d/1Zm65j9BZe__z3P_8qP7rfZukRU-IWUE8h8bDqXdDsIQ/edit,2026-07-21 15:05 CDT,Dylan M. Roy / CL condition / recorded by GP,Reopen only on contradiction under exact canonical normalization or orientation.
GP-CLS-017-B,EC-006 planar z₀(6/5) normalizer,"For Q~N(-b,2), z₀(b)=E[Q²1{Q<0}]=(b²+2)Φ(b/√2)+√2bφ(b/√2); z₀(6/5)≈3.230978535287005 to independently reproduced precision.",GP-CLS-PROP-007; CL-DATA-026; CW review; AO48 census; CL-AUD-036 item B.,"Independent formula derivation, quadrature and Monte Carlo; precision caveat incorporated.",Retires planar formula derivation and supported decimal checks.,"Exact-torus z₀,L; finite-r corrections; adjacency; P0.2; Theorem B.",CLOSED — EXACT PLANAR TRUNCATED-NORMAL SECOND-MOMENT IDENTITY,HA-006 + CL-AUD-036 APPROVE; longer decimal tail not independently promoted.,https://docs.google.com/document/d/1Zm65j9BZe__z3P_8qP7rfZukRU-IWUE8h8bDqXdDsIQ/edit,2026-07-21 15:05 CDT,Dylan M. Roy / CL condition / recorded by GP,Reopen on contradiction in exact planar formula or supported decimal.
GP-CLS-017-C,EC-007 planar coalesced six-pin conditional jet law,"P=(f,f_x,f_y,f_xx,f_xy,f_xxx)=(b,0,0,0,0,2), J=(f_yy,f_xxy,f_xyy,f_yyy); E[J|P]=(-b,0,0,0), Cov=diag(2,2,2,6).",GP-CLS-PROP-008; AO48 Schur reconstruction; CL-DATA-032 C3; CL-AUD-036 item C.,Multiple independent exact matrix routes.,Retires repeated exact planar Schur-complement reconstruction.,Exact-torus/finite-r laws; nine-jet object; Palm; P0.2; Theorem B.,CLOSED — EXACT PLANAR COALESCED SIX-PIN CONDITIONAL JET LAW,HA-006 + CL-AUD-036 APPROVE.,https://docs.google.com/document/d/1Zm65j9BZe__z3P_8qP7rfZukRU-IWUE8h8bDqXdDsIQ/edit,2026-07-21 15:05 CDT,Dylan M. Roy / CL condition / recorded by GP,"Reopen only under exact conditioning, order, kernel or covariance contradiction."
GP-CLS-017-D,EC-008 planar collision-Gram covariance identity,"Under declared jets, covariance, Y-map and c,s convention, det M=s⁸(c²+s²)(3c²+s²)/24.",GP-CLS-PROP-009; GP/AO48 determinant checks; planted mutation; CL-DATA-032 C4; CL-AUD-036 item D.,Independent exact determinant routes and sensitivity witness.,Retires exact declared matrix/determinant rechecks.,Torus/finite-r transfers; other orderings; Palm; P0.2; Theorem B.,CLOSED — EXACT PLANAR COLLISION-GRAM COVARIANCE IDENTITY,HA-006 + CL-AUD-036 APPROVE.,https://docs.google.com/document/d/1Zm65j9BZe__z3P_8qP7rfZukRU-IWUE8h8bDqXdDsIQ/edit,2026-07-21 15:05 CDT,Dylan M. Roy / CL condition / recorded by GP,"Reopen on exact object-card, covariance, Y-map or convention contradiction."
GP-CLS-017-E,EC-010 declared convex-combination identities,The two displayed polynomial equalities hold identically; convex-combination/nonnegativity interpretation only for 0≤α≤1.,GP-CLS-PROP-013; GP expansion; AO48-REG-018 S4; CL-AUD-036 item E.,New independent CL exact-rational route.,Retires repeated bracket expansion.,Fold theorem; nondegeneracy; regional counting; P0.2; Theorem B; machines.,CLOSED — EXACT DECLARED CONVEX-COMBINATION IDENTITIES,HA-006 + CL-AUD-036 APPROVE.,https://docs.google.com/document/d/1Zm65j9BZe__z3P_8qP7rfZukRU-IWUE8h8bDqXdDsIQ/edit,2026-07-21 15:05 CDT,Dylan M. Roy / CL condition / recorded by GP,Reopen on equality or α-scope contradiction.
GP-CLS-017-F,EC-011 adjoint-orbit conservation / normalization identity,"For γ̇=∇f and ẇ=-H_fw with symmetric H_f, d/dt[w·∇f(γ)]=0; zero throughout follows only from declared terminal normalization.",GP-CLS-PROP-014; source equations; AO48-REG-018 S5; CL-AUD-036 item F.,New independent CL cancellation route.,Retires local identity and normalization-consequence rechecks.,Global transversality; Morse–Smale/R0; charting; P0.2; Theorem B; machines.,CLOSED — EXACT ADJOINT-ORBIT CONSERVATION / SECTION-NORMALIZATION IDENTITY,HA-006 + CL-AUD-036 APPROVE.,https://docs.google.com/document/d/1Zm65j9BZe__z3P_8qP7rfZukRU-IWUE8h8bDqXdDsIQ/edit,2026-07-21 15:05 CDT,Dylan M. Roy / CL condition / recorded by GP,"Reopen on differential-equation, symmetry or normalization contradiction."
GP-CLS-017-G,EC-012 closed strip-threshold majorant,"For C(μ)=β+μ+A/μ+B/μ² and μ̂=√A+(2B)^(1/3), the declared majorant, factor-two-after-subtracting-β bound, endpoint exactness and A=B=0 bypass hold.",GP-CLS-PROP-015; AO48-DER-011; GP-DER-037; CL-AUD-036 item G.,New independent CL random/endpoint route.,Retires scalar minimization and endpoint handling rechecks.,Dynamical strip proof; transit/capture; Palm; P0.2; Theorem B; machines.,CLOSED — EXACT CLOSED STRIP-THRESHOLD MAJORANT,HA-006 + CL-AUD-036 APPROVE.,https://docs.google.com/document/d/1Zm65j9BZe__z3P_8qP7rfZukRU-IWUE8h8bDqXdDsIQ/edit,2026-07-21 15:05 CDT,Dylan M. Roy / CL condition / recorded by GP,"Reopen on scalar inequality, factor-two scope, endpoint or bypass contradiction."
CL-EC020-001,EC-020,EXACT UNIFORM-r FIXED-q FULL-DIMENSIONAL DEGREE-FOUR CAPTURE CORRIDOR ON 0<r<=1/20 for P01-UNIFORMQ-D4-BOX-001; deterministic interval-and-monotonicity certificate only.,GP-CLS-PROP-024-v1.0; GP-DER-114; GP-AUD-115; verified GP-DATA-114-v1.1; CL-AUD-073-v1.0; EC-020 WORKFLOW DIRECTIVE — DYLAN ROY,"CL-AUD-073-v1.0 PASS C1-C11 with independent source reconstruction, outward-rounded interval execution, nineteen positive margins, and 5/5 planted controls.",EC-021 finite-Q4 proof may use EC-020 only as the reviewed deterministic corridor dependency.,"No mass statement, finite-Q4 probability, exact full-field object, P0.1, numerical Palm constant, machine, ballot, or release is closed by EC-020.",CLOSED — EXACT UNIFORM-r FIXED-q FULL-DIMENSIONAL DEGREE-FOUR CAPTURE CORRIDOR ON 0<r<=1/20,Approved explicitly by Dylan M. Roy in EC-020 WORKFLOW DIRECTIVE dated 2026-07-22.,https://docs.google.com/document/d/1cbLqX5vrhhtrRA4fvESVySoCIc2Vm6XltUqbRTsAFC8/edit,2026-07-22T21:42:17-05:00,Dylan M. Roy / GP terminal incorporation,"Reopen only upon contradictory source/hash evidence, a demonstrated interval or monotonicity defect, or explicit operator revocation. Scope expansion requires a new item and new approval."
