object,recovery_class,source,status,sha256_or_identity,status_limit
SIDE24_PRE_REVIEW_2026-07-31_R2_EXACT_14eaf7d4.zip,byte-exact,Google Drive ID 19ThSFctrr7lz0B7YNuaqLFOQaGx8E_UR,RECOVERED,14eaf7d403cd8c103576807719e8ee031cad1fc5bba58f1c37574a790849e44b,historical R2 package
OKComputer_Project_Gap_Closure_1_OPERATOR_CARRIER.zip,byte-exact,operator attachment,RECOVERED,119ffbfae2d11cc2d3de60f15c06a653c48b17d06ab0a2e125260ab0f1458c5a,V5 carrier
SIDE24_GAP_FILL_SUPPLEMENT.md,byte-exact,operator V5 carrier,RECOVERED,05967f14a8b8d6a9e2637210807872ba4f30810987cb7f3017e10b186d07f6da,historical G.9 keeps RP-C/RP-S open
verifier/v8/verify.py,byte-exact,operator V5 carrier,RECOVERED,c95a86504e8b62ade4bd7d20956415db2cfe95cc5897815dae3411c12af709c5,historical packaging verifier only
verifier/v8/criteria.md,byte-exact,operator V5 carrier,RECOVERED,9862c1f3cf73613ae8ce4975da90ff808341d096649afb5066c335674c69e6ee,historical criteria
verifier/v8 transcripts,byte-exact,operator V5 carrier,RECOVERED,dc1efe4502708d5c5bdcde48e2ec8528f127b8250474373b747a3cc9197a4e22,normal and optimized identical
later sandbox G.9.1 excerpt,semantic reconstruction,AO48-AUD-033 plus first-principles derivation,RECONSTRUCTED,not applicable,original bytes wording and hash unavailable
corrected G.9.1 theorem,new derived artifact,independent Hermite and Schur derivation,VERIFIED,see 02_SHA256SUMS.txt,planar local theorem only
C030/C031 ten-file set,Drive recovery,Drive folder 1RvyeNGThLxtGsnTLREhgw_bT5NEpw8XM,RECOVERED_AND_CHECKED,see provenance report,six JSONs parse and four MD predecessors byte-match
V3.4 RP-C/RP-S closure,successor,local checkpoint plus Drive relays,AUDIT_PENDING,ba2a296b6a9c438eaf9f30aeaa40d4162195b256a9b2516259cd30a2468dd480,package remains HOLD

