file_id,title,mime,current_parent_id,current_path,document_group,branch,deposited,size_bytes,classification,fs2_status,evidentiary_authority,action_taken,blocker
1riI_sT5mMqhMWd2Rq9AOsGwr8IA7fNkU,Text2.docx,docx,18ZB54uvzeW5ePBj-Wk883MXuiIMeftYI,03_PERSONAL_AND_EARLIER_RESEARCH/00_IMPORTED_TEXT_CORPUS/01_DOCX_SOURCE_FILES,D1 Text2 - Eigenmodes in fractional-fractional PDEs with fractal measures,RUFT,2026-01-05,468349,LEGACY_PRIMARY,QUARANTINED_LEGACY,ZERO,REGISTERED_IN_MANIFEST,B1_NO_UPDATE_OR_MOVE_API
1-hIszDDWnQ1MMTZ2ZgUkX415Z68kQ_qqVmpgzJpgewA,Text2,gdoc,1YWHK1O0OK3b7Fl4JrIRAkWk-oFlU4jCd,03_PERSONAL_AND_EARLIER_RESEARCH/00_IMPORTED_TEXT_CORPUS/00_NATIVE_GOOGLE_DOCS,D1 Text2 - Eigenmodes in fractional-fractional PDEs with fractal measures,RUFT,2026-01-05,337143,LEGACY_PRIMARY,QUARANTINED_LEGACY,ZERO,REGISTERED_IN_MANIFEST,B1_NO_UPDATE_OR_MOVE_API
1vD2odTaHdc0L97HYxGYK_2BHYgDtU01M,Text3.docx,docx,18ZB54uvzeW5ePBj-Wk883MXuiIMeftYI,03_PERSONAL_AND_EARLIER_RESEARCH/00_IMPORTED_TEXT_CORPUS/01_DOCX_SOURCE_FILES,D2 Text3 - RUFL Vault: novel equations,RUFL,2026-01-05,1840507,LEGACY_PRIMARY,QUARANTINED_LEGACY,ZERO,REGISTERED_IN_MANIFEST; HIGHEST_RISK_OBJECT,B1_NO_UPDATE_OR_MOVE_API
12PnxMu0Cr3oqPlV1fAr8hZ3jBdFgl1XA_Jp2NNbiXmQ,Text3,gdoc,1YWHK1O0OK3b7Fl4JrIRAkWk-oFlU4jCd,03_PERSONAL_AND_EARLIER_RESEARCH/00_IMPORTED_TEXT_CORPUS/00_NATIVE_GOOGLE_DOCS,D2 Text3 - RUFL Vault: novel equations,RUFL,2026-01-05,453489,LEGACY_PRIMARY,QUARANTINED_LEGACY,ZERO,REGISTERED_IN_MANIFEST; PAIR_UNRECONCILED,B1_NO_UPDATE_OR_MOVE_API
1-taYy6fRaZV1eg-gU9_fU0rJyWn6oGRT0y46bU-mqYc,Text3,gdoc,1YWHK1O0OK3b7Fl4JrIRAkWk-oFlU4jCd,03_PERSONAL_AND_EARLIER_RESEARCH/00_IMPORTED_TEXT_CORPUS/00_NATIVE_GOOGLE_DOCS,D2 Text3 - RUFL Vault: novel equations,RUFL,2026-01-05,441502,LEGACY_PRIMARY,QUARANTINED_LEGACY,ZERO,REGISTERED_IN_MANIFEST; PAIR_UNRECONCILED,B1_NO_UPDATE_OR_MOVE_API
1EMfkX4RmXvsAjRd8xl2DTgBDpM7Fjhr4,Texts.docx,docx,18ZB54uvzeW5ePBj-Wk883MXuiIMeftYI,03_PERSONAL_AND_EARLIER_RESEARCH/00_IMPORTED_TEXT_CORPUS/01_DOCX_SOURCE_FILES,D3 Texts - HPC parameter-space sweeps and PINNs,RUFT,2026-01-05,1059835,LEGACY_PRIMARY,QUARANTINED_LEGACY,ZERO,REGISTERED_IN_MANIFEST,B1_NO_UPDATE_OR_MOVE_API
1kK5ln6ZB3xM3dxst6Gg4mLGxw7BjB9abY_t8tEZ_KbE,Texts,gdoc,1YWHK1O0OK3b7Fl4JrIRAkWk-oFlU4jCd,03_PERSONAL_AND_EARLIER_RESEARCH/00_IMPORTED_TEXT_CORPUS/00_NATIVE_GOOGLE_DOCS,D3 Texts - HPC parameter-space sweeps and PINNs,RUFT,2026-01-05,396323,LEGACY_PRIMARY,QUARANTINED_LEGACY,ZERO,REGISTERED_IN_MANIFEST; PAIR_UNRECONCILED,B1_NO_UPDATE_OR_MOVE_API
1-LQTMjclybn3p3SLyRWk6EfJYkydgZvAXZnwXr9HL14,Texts,gdoc,1YWHK1O0OK3b7Fl4JrIRAkWk-oFlU4jCd,03_PERSONAL_AND_EARLIER_RESEARCH/00_IMPORTED_TEXT_CORPUS/00_NATIVE_GOOGLE_DOCS,D3 Texts - HPC parameter-space sweeps and PINNs,RUFT,2026-01-05,395657,LEGACY_PRIMARY,QUARANTINED_LEGACY,ZERO,REGISTERED_IN_MANIFEST; PAIR_UNRECONCILED,B1_NO_UPDATE_OR_MOVE_API
1Cdi88eYQmhcg9wZzLUPX63LGYf3Yai_UEdkIcqKaSM4,Did you verify all of those to the best of your ab...,gdoc,13tB9NlI8KO4bK-CfCV-P7DfCOqUPvObU,2026/07_JULY/02_CONTENT_AND_PROVENANCE_REVIEW,D4 RFT / CIID / helicity-barrier verification record,Reflexive Field Theory,2026-01-04,3078,LEGACY_PRIMARY,QUARANTINED_LEGACY,ZERO,REGISTERED_IN_MANIFEST; READ_BEFORE_D5,B1_NO_UPDATE_OR_MOVE_API
1Rcj6ANOhHE9RBAKAEUZ6XcMyIb6OEAT28304x1siqR4,Complexity Minimization in Fundamental Physics and...,gdoc,1S_FQvntrMxApF-_6DRaNE2ay1B_ZE13J,03_PERSONAL_AND_EARLIER_RESEARCH/01_FRAMEWORK_AND_METHOD_RESEARCH,D5 Complexity Minimization - Dec 2025 synthesis report,ECM / RH / HLV ancestor,2025-12-15,6416,LEGACY_PRIMARY,QUARANTINED_LEGACY,ZERO,REGISTERED_IN_MANIFEST; SUPERSEDED_ON_COEFFICIENT_BY_D4,B1_NO_UPDATE_OR_MOVE_API
