Snapshot ID,Category,Key,Value,Authority / scope,Source,Updated
CS-20260720-1755,Governance,Write policy,"Additive only. Do not edit, overwrite, rename, move, or delete another model's artifact.",OQ-folder operating rule,https://docs.google.com/document/d/1E_RDxvBcd-htroiRqNTjmbDrhKVI4MygrGSYYMjgFKA,2026-07-20 17:55 CDT
CS-20260720-1755,Governance,Canonical promotion,No new artifact changes theorem status unless Dylan explicitly approves and the governing ledger records it.,Program-wide safeguard,https://docs.google.com/document/d/1rwfvL3sJUmRVpwf3AHx2FnduUrtoIi-9pA8C9Rbku7o,2026-07-20 17:55 CDT
CS-20260720-1755,Authority,Consolidated spine,Q0_MASTER + Q0_LEDGER + q0_machine.json + q0_verify.py supersede-for-use the historical archive under the declared precedence.,Current consolidated program state,https://drive.google.com/file/d/19nO3CU8B_YqGV9vTOwmvVe2Vyfeo0Jbz,2026-07-20 17:55 CDT
CS-20260720-1755,Object model,q distinction,q_typed under P_MS and q_adj under P_ADJ are different objects; bare q is not acceptable as a machine root.,P1.1 proposed machine contract,https://docs.google.com/document/d/1MgR5KxhowLYpVibL7W9XCEAuCZn9JyRpUz8lTMc7njo,2026-07-20 17:55 CDT
CS-20260720-1755,Theorem status,Adjacency-to-one,No analytic proof of 1-a_r=O(r^3) is present in the searched master corpus. Leading-cubic weighted evidence is inconclusive.,Current P0.2 assessment,https://docs.google.com/document/d/1ajUL3s11XZVx6thleFrK5fX_w2Y_rBdoW5pciACx2aQ,2026-07-20 17:55 CDT
CS-20260720-1755,Numerics,Connectivity correction,4-connectivity contaminated prior short-bar measurements by misclassifying maxima; contaminated conclusions must not be pooled with exact critical-set data.,Current root-cause correction,https://docs.google.com/document/d/1Y1MyF82Xxn3vi7KaAdiZEode-qc0xhmFljYmRmGJ3TQ,2026-07-20 17:55 CDT
CS-20260720-1755,Numerics,Short-bar sample size,The six-field clean pilot is not decisive. Use 12–20 fields to calibrate design effect before freezing a serious test; provisional budget 100–150 usable fields.,"Planning guidance, not theorem evidence",https://docs.google.com/document/d/1lExp_zPs88w44pI-8WB8yHgfCE1fAGwJRGsEtD_i29g,2026-07-20 17:55 CDT
CS-20260720-1755,Quartic layer,Gauge nonuniqueness,Endpoint constraints and prescribed fourth derivatives leave a four-dimensional nullspace; Q4-on evidence is gauge-specific unless invariance is shown.,Current correction/audit,https://docs.google.com/document/d/1cSg3VrNhIs0JZZ8StGwnqscABhfDrIItb0xj-dGFq24,2026-07-20 17:55 CDT
CS-20260720-1755,Machine state,P1.1 successor,"Proposed snapshot, verifier, tests, and receipt exist, but active q0_machine.json and q0_verify.py remain unchanged and authoritative.",No promotion,https://docs.google.com/document/d/1MgR5KxhowLYpVibL7W9XCEAuCZn9JyRpUz8lTMc7njo,2026-07-20 17:55 CDT
CS-20260720-1755,Pilot scope,This register,"Manual snapshot of the active OQ folder plus high-activity related artifacts. It is an automation target, not a source of theorem authority.",GP-REG-032 pilot,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no,2026-07-20 17:55 CDT
CS-20260725-1017,Governance,Current governance,"OP-PROT-012 — Autonomous Evidence-Gated Governance. Human approval is not a normal gate; PASS implements, defect returns NO, incomplete/contradictory evidence returns HOLD.",Sole live approval and autonomous-decision routing rule; adoption alone changes no research claim.,https://docs.google.com/document/d/1hBQR7Pa10DpVeOxTCLv1qIozLT-bU_hgZKo6ksODCuo/edit,2026-07-25 10:17 CDT
CS-20260725-1017,Navigation,One-call front door,00_AI_DRIVE_BOOTSTRAP — READ FIRST — CURRENT is the Level-0 entry point. Broad Drive scans are exceptional.,Navigation only; protected registers and exact sources govern.,https://docs.google.com/document/d/180yfvocozAaFRxf7tY8CDrobnpi17Sv-UkQGBBWCiD8/edit,2026-07-25 10:17 CDT
CS-20260725-1017,Authority,Autonomous decision budget,Fifty substantive YES / NO / IMPLEMENTATION decisions are preauthorized. Tool calls and mechanical substeps do not consume separate units.,Tracked in Autonomy Control; no model may fabricate evidence or impersonate Dylan.,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit#gid=2026072501,2026-07-25 10:17 CDT
CS-20260725-1017,Safety,Irreversible actions,Permanent deletion is prohibited and replaced by reversible quarantine. External release is default HOLD until an executable autonomous release predicate exists and passes.,Removes human approval without removing evidence or zero-trust safeguards.,https://docs.google.com/document/d/1hBQR7Pa10DpVeOxTCLv1qIozLT-bU_hgZKo6ksODCuo/edit,2026-07-25 10:17 CDT
CS-20260725-1017,Availability,Active model scope,Operator-declared OpenAI/ChatGPT only for the current transition; Claude unavailable by usage limit; Gemini and Grok inactive.,Availability context only; Drive metadata cannot prove all external sessions are closed.,Dylan Roy authenticated instruction 2026-07-25,2026-07-25 10:17 CDT
