artifact_id,file_name,bytes,sha256,drive_id,provenance,status
GP-DER-118-v1.10,GP-DER-118-v1.10.md,30933,c1d6e559274d7e87a3fa92f44cb2534a5e277a3b5941fd40db380599ddba0564,1qc6ep2S4PIoPMEWDsdDQI1dr0LOwJiK9,authored_post_ratification,FROZEN_CONTROLLING
GP-DATA-237-v1.0,GP-DATA-237-v1.0.md,1329,73deda41e6e107de35455f54f3efc0e87764e38eaa5df1f9a8e17d2127c1d426,1bBnk_0Vk0iFR6vsXscRAqBxcrhQOWMQk,authored_post_ratification,LANDED
LS-CTL-003-v1.1,LS-CTL-003-v1.1.md,2982,0d0f3d29f2121f7d68a2e6bbaaea9fbdf3301963bcbc99cac6b3ac182d6a953d,16PsfzxKfq28RD6OlyubPbmgfUmGPHuTd,authored_post_ratification,N0_TRUE_HOLD
GP-REC-POSTRAT-20260802-01,GP-REC-POSTRAT-20260802-01.md,2276,68c13e575003dbb30c9be03446314fcaf0d102c4f1b5751e44d315b3c9b166de,195FQGBPQFtKF7rBJR9sHZwbo0n4ifYGN,authored_post_ratification,LANDED
VERIFY-GP-DER-118-v1.10,verify_gp_der_118_v1_10_freeze.py,1815,faca33370b6388a1d240d089e6f3f2ab20a4f25ea5c7e1db6341f7231f039697,1vmYXITebdBJ36A-iqQpOPC9iuX_sGisT,authored_fail_closed,PASS_NORMAL_AND_O
VERIFY-GP-DER-118-v1.10-OUT,verify_gp_der_118_v1_10_freeze.out.txt,1015,edfe800409d29ed48af97d39ca86e3a3ee01b187a214713a5ea42a18735256ea,1LErJc_InLlYii_zLjQh3gyXPcbZv730_,fresh_transcript,BYTE_IDENTICAL_NORMAL_AND_O
GP-OPR-STAGE-001-v1.0,GP-OPR-STAGE-001-v1.0.md,1237,aadc87904728f32d7a9fa380ae5ee15c53955cbeade792d006c08f8985fb4756,1UL__KRopWE4FjSqvLKACk5DAGHWgIKta,authored_staging_card,SIGNATURE_PENDING_NOT_BANKED
GP-OPR-STAGE-002-v1.0,GP-OPR-STAGE-002-v1.0.md,1362,a484f412e72d50a600c7eadc8c6fce61b7d73e4bfe4cd0c9050c11c519b7e69d,11JL3g69Xuk53Udws-VPJjejda245WlTM,authored_staging_card,SIGNATURE_PENDING_NOT_BANKED
GP-RSP-V34-001-v1.0,GP-RSP-V34-001-v1.0.md,2672,264e8a9d2302027d2f325231df94d66cbfc3ce54a5ec69e2cac734795aff7546,1fYwglGuRpeIfieWvv2MA3axDSzuizyY_,authored_response_index,AUDIT_RESPONSE_READY
GP-REC-V34-REPLAY-20260802-01,GP-REC-V34-REPLAY-20260802-01.md,1586,3948ff30bc9553c17c327500df4ec1c04abd6bc2f2941718fd1f2922c32ec650,1CpLy7of33pxokbw7lK9OS7H-si6RcbVG,authored_replay_receipt,REPLAY_PASS_SCOPE_LIMITED
V34-FULL-ARCHIVE,SIDE24_V3_4_AUDIT_REPLAY_FULL_ARCHIVE.zip,12465983,ba2a296b6a9c438eaf9f30aeaa40d4162195b256a9b2516259cd30a2468dd480,1TSH5V0f-7BwdlHlY6-VarfuDFEQT-TIf,recovered_exact_archive,AUDIT_PENDING
V34-RELAY,rp_c_rp_s_facewise_closure.md,35310,40faad08824e4e77520143078ed606c8681532cc77ae9c9d42551baa5277b400,1rF9YAVw19fEG_QlRvHIesXev4nsegA7w,recovered_relay,NOT_BYTE_IDENTITY_FOR_WITHDRAWN_6X
