Drive accessibility source map,Audit snapshot: 17 September 2026
Open the reading folders,https://drive.google.com/drive/folders/1j5vfg98shKLuNVEIUam9KD5TlfdW3kOH
Inventory,"4,456 Drive items: 3,714 files and 742 folders."
Archive members,"11,649 occurrences across 77 original archive carriers."
Unique payloads,"4,020 distinct source payloads, including recovered encoded content."
Accessible copies,"392 published copies: 276 text volumes, 41 Word reading copies, 45 exact files and 30 spreadsheets."
Find a file,"Filter Files by title or path, then open its first reading copy. For all copies, filter Reading Links by the same Source Drive ID."
Read an archive,Filter Archive Members by carrier title. Nested member paths retain their archive boundaries. Open the first copy; find the payload hash in Payloads for every reader key.
Locate a passage,"Reading volumes mark each source with its SHA-256, original link and source path. Search that hash within the document."
Mathematical equations,Eight Word copies need their equation companions for automated text reading. All 973 original equation structures are retained in six verified companion volumes. Notices link them directly.
Data checks,All three large opcode sheets match saved source rows. Other generated sheets passed full local-cell and native boundary checks. The four historical workbook conversions received structural checks only.
Exceptions,Exceptions distinguishes empty or damaged sources from expected format limits and compiled caches. Those entries remain visible; missing source contents were not invented.
Current research status,"Use Research Home for current scientific status. This map is a source-access snapshot; draft, historical, quarantine and review scopes remain attached to their sources."
Research Home,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit
Source preservation,"Original files, source identities, scientific claims and sharing permissions were preserved. Copies remain private to the owner."
Snapshot maintenance,New or changed sources require a scoped refresh. Check the original source ID and SHA-256 before reusing a reading copy. Long provenance fields remain available in the formula bar.
Folder navigation — updated 18 September,Open Folder Directory for 755 folder paths and their metadata basis; Path Changes maps 238 prior paths to current locations. Folder Rules contains the naming and template standard.
Original audit paths,"Files, Archive Members and the reading-copy audit retain their 17 September source snapshot. Use Folder Directory and Path Changes for subsequent folder moves; source IDs and hashes govern identity."
Current triage index,https://drive.google.com/file/d/14eIT8SEj20pwUqnJ8DSjrrQcY9g4Ytjt/view?usp=drivesdk
Naming and template standard,https://drive.google.com/file/d/1O_P3jbsHmKmA2U8OCks2_Hxf7W86Ae_Q/view?usp=drivesdk
