Type,Source or block,Original link,Readable copies,Details,SHA-256
EMPTY_NATIVE_BODY,LS-DATA-015-v1.0-R2 — Corrected Hex-Gzip TB-G2 Algebra Result Capsule,https://docs.google.com/document/d/1I2Rl8vBAfoHa5-hF5aDJQCbG_N2R_J-HrQiKrc6LmA4/edit?usp=drivesdk,,Fresh Google Docs structural read confirms only an empty paragraph. No content reconstructed.,
EMPTY_NATIVE_BODY,LS-DATA-015-v1.0-R1 — Corrected Byte-Exact TB-G2 Algebra Result Capsule,https://docs.google.com/document/d/1IWB1hw1VnxNlqSDs5_AnIr3QT2cQ_iXIKvQ7vz-7azs/edit?usp=drivesdk,,Fresh Google Docs structural read confirms only an empty paragraph. No content reconstructed.,
EMPTY_NATIVE_BODY,LS-DATA-015-v1.0-R1 — Corrected Byte-Exact TB-G2 Algebra Companion Capsule,https://docs.google.com/document/d/1C_ca_CE8kc2DyCsBtufIVgPmqvKKILJ68Qi0WOau3lo/edit?usp=drivesdk,,Fresh Google Docs structural read confirms only an empty paragraph. No content reconstructed.,
EMPTY_NATIVE_BODY,LS-DATA-013-v1.0 — Byte-Exact Gzip Capsule Package — q0 Verifier 1.2.1 Hardening,https://docs.google.com/document/d/1q7coeCo2lbh11MUu6dF4VJYVoQnIZix1tiY1kKY1rT4/edit?usp=drivesdk,,Fresh Google Docs structural read confirms only an empty paragraph. No content reconstructed.,
EMPTY_NATIVE_BODY,GP-FOR-192-ZIP-CARRIER-v1.0 — Byte-Recoverable Formal Source Package,https://docs.google.com/document/d/17jn42CVS8P3qWemAsRtbm6Hp9QwpI9ac_z5UEmZvIn4/edit?usp=drivesdk,,Fresh Google Docs structural read confirms only an empty paragraph. No content reconstructed.,
EMPTY_NATIVE_BODY,FAILED STAGING — GP-REQ-086-v1.0 Stall-Resolution Protocol (Empty Body; Do Not Use),https://docs.google.com/document/d/18R7zquLSlUtFG6w85VuUYEutH5O4gJ2I_pjkX4yntJ4/edit?usp=drivesdk,,Fresh Google Docs structural read confirms only an empty paragraph. No content reconstructed.,
EMPTY_NATIVE_BODY,GP-AUD-039-v1.0 — Independent re-execution of the exact finite-r six-pin midpoint nine-jet law,https://docs.google.com/document/d/1rAJLbnWw72SpgxBD_3i_dE1XorJ6Pmb-wBOl-vbkwcQ/edit?usp=drivesdk,,Fresh Google Docs structural read confirms only an empty paragraph. No content reconstructed.,
EMPTY_NATIVE_BODY,GP-AUD-231-v1.0 — Same-Line Merge and Structural Preflight of GP-DER-118-v1.6 / GP-DATA-228,https://docs.google.com/document/d/1M5leN4Yqy_teLTUxlNJAlSk-_t_ERnXPVcv-QcOdhLo/edit?usp=drivesdk,,Fresh Google Docs structural read confirms only an empty paragraph. No content reconstructed.,
READ_FAILED,SIDE24_AUDIT_EVIDENCE_2026-08-01.zip,https://drive.google.com/file/d/19GhKdHaQGdQin_HxMTUh-Z6qM9rUF9xV/view?usp=drivesdk,"https://docs.google.com/document/d/1bivh5BWHk_wvOd8IEGyQzAq2XtTiLai1D-r5viqnCtw/edit?usp=drivesdk
https://docs.google.com/document/d/1pYIdeCyVnxjZIpaBknSON6a-1c06iuTy8jXybgLBZb4/edit?usp=drivesdk
https://docs.google.com/document/d/1bavlks_8e0yRMUc20P1L_WbDWje9dR_RG4JhlpUcNX4/edit?usp=drivesdk
https://docs.google.com/document/d/1we611GFhAUX0pbieszkhm523YKf1Be_juPK4Zw158no/edit?usp=drivesdk
https://docs.google.com/document/d/17sBDGAEoBKltKpcH96zf_e3WafJVFmYoB2Wkop3f4kw/edit?usp=drivesdk
https://docs.google.com/document/d/1oQYF8ZEhEE6UppPsC9gojpxIvxSOtTPTeQcRLUp1pXY/edit?usp=drivesdk
https://docs.google.com/document/d/1hl4C9pPyittYbido24JeBvEfTCrf0oy6mNm1BSwSaVU/edit?usp=drivesdk
https://docs.google.com/document/d/1dsjOERBMD4NLpUV2rzO0pytyptK-W32gQ3GuorRNw7o/edit?usp=drivesdk
https://docs.google.com/document/d/1FZZIKB0Kggoas_kr_tUSn7qP56qqnBBKHvdm9pH1YYI/edit?usp=drivesdk
https://docs.google.com/document/d/1XjCiIYfdWW0GdroHK9sz5T2IOkNoiXNMlTeiEYNgTOk/edit?usp=drivesdk
https://docs.google.com/document/d/1E1JdWte8S29trQSxcdf15Qa3Zej9Q84cxmbMrwKkobQ/edit?usp=drivesdk
https://docs.google.com/document/d/170awt4ng_cfsjU5bNiB0kyZCKWbQ8eJ25ri8EaLu4Ic/edit?usp=drivesdk",Bad magic number for file header,
READ_FAILED,SIDE24_AUDIT_EVIDENCE_2026-08-01.zip,https://drive.google.com/file/d/19GhKdHaQGdQin_HxMTUh-Z6qM9rUF9xV/view?usp=drivesdk,"https://docs.google.com/document/d/1bivh5BWHk_wvOd8IEGyQzAq2XtTiLai1D-r5viqnCtw/edit?usp=drivesdk
https://docs.google.com/document/d/1pYIdeCyVnxjZIpaBknSON6a-1c06iuTy8jXybgLBZb4/edit?usp=drivesdk
https://docs.google.com/document/d/1bavlks_8e0yRMUc20P1L_WbDWje9dR_RG4JhlpUcNX4/edit?usp=drivesdk
https://docs.google.com/document/d/1we611GFhAUX0pbieszkhm523YKf1Be_juPK4Zw158no/edit?usp=drivesdk
https://docs.google.com/document/d/17sBDGAEoBKltKpcH96zf_e3WafJVFmYoB2Wkop3f4kw/edit?usp=drivesdk
https://docs.google.com/document/d/1oQYF8ZEhEE6UppPsC9gojpxIvxSOtTPTeQcRLUp1pXY/edit?usp=drivesdk
https://docs.google.com/document/d/1hl4C9pPyittYbido24JeBvEfTCrf0oy6mNm1BSwSaVU/edit?usp=drivesdk
https://docs.google.com/document/d/1dsjOERBMD4NLpUV2rzO0pytyptK-W32gQ3GuorRNw7o/edit?usp=drivesdk
https://docs.google.com/document/d/1FZZIKB0Kggoas_kr_tUSn7qP56qqnBBKHvdm9pH1YYI/edit?usp=drivesdk
https://docs.google.com/document/d/1XjCiIYfdWW0GdroHK9sz5T2IOkNoiXNMlTeiEYNgTOk/edit?usp=drivesdk
https://docs.google.com/document/d/1E1JdWte8S29trQSxcdf15Qa3Zej9Q84cxmbMrwKkobQ/edit?usp=drivesdk
https://docs.google.com/document/d/170awt4ng_cfsjU5bNiB0kyZCKWbQ8eJ25ri8EaLu4Ic/edit?usp=drivesdk",Bad magic number for file header,
