filename	scope	bytes	whole-file-sha256	status
 DQ-045.pdf	upload	221082	3077442b3d953b943b06bf7131fc48c2509b1b840bf3d9c051afccf7a78adcec	input
# THE GATE FRAMEWORK — MASTER….pdf	upload	77525	d933bcf41afab2cb6c0cf041d90b57fbb7b1890f63e3b9f09b85b63c121f747a	input
00 INVENTORY AND TRACE.md	upload	37800	3b65dc59bd626c275ef609bbaf6eb3f3fd26155706d487832b659e3a0e85c470	input
00_MASTER_INDEX_20_COLD_REVIEW_PACKETS.docx	upload	40447	0158ca2b05b529cf68a33c06b44886ee94f1f4c9ae5b9c75960656118ad92b51	input
00_READ_ME_FIRST(1).pdf	upload	208953	e29f0f0cfff415ff8c5f88d122d112c2fcf7d7351332026ef03bbac4cb3d3025	input
00_READ_ME_FIRST.md	upload	8160	0fe405b99ad56d4612b8bd8ec7cc51f7efc07ddc1b906ceae984a2883945f701	input
00_READ_ME_FIRST.pdf	upload	208953	e29f0f0cfff415ff8c5f88d122d112c2fcf7d7351332026ef03bbac4cb3d3025	input
01 PART I SETTING AND THEOREM.md	upload	17697	efc45f93da0dfe4e84e883bf20d61ce41f9acc7b9056fbfc83f12711fc6ffe70	input
01_CORE_PAIRING_THEOREM.md	upload	25861	ba7faf2cfbfa4525fbb92807306d0bd3067efbff45815af910214cc3444ac297	input
01_COVER_LETTER(1).txt	upload	2855	e6ad9516301fa1bb6f9bd5d09f119b9e257aff0ad706e75f87e0b4dc4f08797e	input
01_COVER_LETTER.txt	upload	2855	e6ad9516301fa1bb6f9bd5d09f119b9e257aff0ad706e75f87e0b4dc4f08797e	input
01_EC-005_Canonical_A2_Fold-Gap_Identity.docx	upload	45941	c53c3b6e2eabbef4b5b2edad6db0f6c7523285c0951bbfbfcd43448540034c3d	input
02_EC-006_Planar_Truncated-Normal_Second-Moment_Identity.docx	upload	46734	8900b21da2ec7651b1ada1fb1e51b91ecf0fde0b816097ef6aba22ea23fd1c97	input
02_GAUSSIAN_TRANSVERSALITY — WORKING-SOURCE — 19242B — SHA4a77f3b7 — ID19G4QeIu.md	upload	19242	4a77f3b7ed390c0ebff3c580baa4d8a107bf3cf2b892c5927e5ffe005ad1c1fe	input
02_GAUSSIAN_TRANSVERSALITY.md	upload	19242	4a77f3b7ed390c0ebff3c580baa4d8a107bf3cf2b892c5927e5ffe005ad1c1fe	input
02_PRE_REVIEW_DOSSIER(1).pdf	upload	374433	c3ac18eec81263b8e17c3d823d93cf0794a12f28dae919862f56b96001d5c7d8	input
