drive_id,title,mime_type,size_bytes,classification,dependency_impact,proposed_action,successor_or_reference,audit_state
1mZ81x-BVoKWv_pL0snySDhnzc2PQQ-M0JByY8dbleU8,"ZZ_SUPERSEDED — 00_HOLD_VS_CENSUS_DUMP_NAV — pre 1i5Zk1Lv A3 addendum",application/vnd.google-apps.document,2008,DUPLICATE_WITH_VERIFIED_SUCCESSOR,NONE,KEEP_VAULTED,"live nav 1XH5z-hwlE0QIx97vhFVIReHrCQfSeuHPBtLas4v_jWI",CONTENT_CHECKED
1i5Zk1LvQQVMkcen99xw586NHrJ-K-Y_6u_lBKnp3tRQ,"ZZ_SUPERSEDED — 00_HOLD_VS_CENSUS_DUMP_NAV — pre second MANIFEST addendum",application/vnd.google-apps.document,2256,DUPLICATE_WITH_VERIFIED_SUCCESSOR,NONE,KEEP_VAULTED,"live nav 1XH5z-hwlE0QIx97vhFVIReHrCQfSeuHPBtLas4v_jWI",CONTENT_CHECKED
1BBDI30k_Boferig4ZeN9cXPqF7KeeEdjM6M_tYUS0UE,"ZZ_SUPERSEDED — 00_HOLD_VS_CENSUS_DUMP_NAV — pre ZZ leftover vault",application/vnd.google-apps.document,2154,DUPLICATE_WITH_VERIFIED_SUCCESSOR,NONE,KEEP_VAULTED,"live nav 1XH5z-hwlE0QIx97vhFVIReHrCQfSeuHPBtLas4v_jWI",CONTENT_CHECKED
1KtpDWM11ax2ejWzMuR7AzGNA7y85B6JVC5ZAWValwXY,"ZZ_SUPERSEDED — 00_HOLD_VS_CENSUS_DUMP_NAV — pre vault relocate",application/vnd.google-apps.document,2114,DUPLICATE_WITH_VERIFIED_SUCCESSOR,NONE,KEEP_VAULTED,"live nav 1XH5z-hwlE0QIx97vhFVIReHrCQfSeuHPBtLas4v_jWI",CONTENT_CHECKED
18Af13XFBkDM_JnIlRM6PFp_YyTdj3hEi,"CENSUS_DUMP_NOT_HOLD — LANE_MATH_MAP.md",text/markdown,15985,IMPORTANT_EXTRACT_REQUIRED,HIGH,EXTRACT_FACTS_TO_GIT,"historical map of PR-TAL + OBL-D1/JETMOD",CONTENT_CHECKED
1QqkN_1YgZZYcs5OZlcUhvQCm3dHbStrJ,"CENSUS_DUMP_NOT_HOLD — LANE_ACTIVE_RESEARCH_TREE.md",text/markdown,24544,IMPORTANT_EXTRACT_REQUIRED,MEDIUM,EXTRACT_ROUTING_PROVENANCE,"historical active-research/FS2 map",CONTENT_CHECKED
1ab4Rj81xY1Ik8eyXn60UMBnwsDsBgKs9,"CENSUS_DUMP_NOT_HOLD — LANE_PRIZE_RESEARCH.md (12353B)",text/markdown,12353,NEEDS_REVIEW,ISOLATED_PRIZE,COMPARE_WITH_LIVE_PRIZE_CARRIERS,"prize lane historical snapshot",CONTENT_CHECKED
1dK4ZimCC8o9670K-9ZJS9Jtquid1CAA6,"CENSUS_DUMP_NOT_HOLD — LANE_RN_UNIF.md",text/markdown,11042,IMPORTANT_EXTRACT_REQUIRED,HIGH,COMPARE_AND_EXTRACT_UNIQUE_RN_FACTS,"RN-UNIF historical map",CONTENT_CHECKED
1RI3vqHqQ8Ie181AZ2L3ddVet1HI1ZKdQ,"CENSUS_DUMP_NOT_HOLD — DRIVE_DEEP_FAMILIARIZATION_2026-09-16.md",text/markdown,16340,PROVENANCE_KEEP,LOW,KEEP_VAULTED,"historical Drive familiarization",CONTENT_CHECKED
1_n2Mkih2ALeugHzVfEhS6TxmzoFTJp--,"CENSUS_DUMP_NOT_HOLD — LANE_PRIZE_RESEARCH.md (21269B)",text/markdown,21269,NEEDS_REVIEW,ISOLATED_PRIZE,COMPARE_WITH_12353B_AND_LIVE,"prize lane historical snapshot",CONTENT_CHECKED
144CvG3jC0Dg0NP6f_79KTtbN5tBg8FJO,"CENSUS_DUMP_NOT_HOLD — FULL_DOCS_PRIZE_READ.md",text/markdown,31429,PROVENANCE_KEEP,ISOLATED_PRIZE,KEEP_VAULTED_AFTER_CROSSCHECK,"historical prize full-doc read",CONTENT_CHECKED
12nId_WFjz10b_S0WlTSzQv2S0G8TjmSK,"CENSUS_DUMP_NOT_HOLD — FULL_DOCS_MATH_READ.md",text/markdown,16108,IMPORTANT_EXTRACT_REQUIRED,HIGH,COMPARE_AND_EXTRACT_UNIQUE_MATH_FACTS,"historical math full-doc read",CONTENT_CHECKED
13RrfStslTTy7XymeulGAELE1YML0RjL1,"CENSUS_DUMP_NOT_HOLD — FULL_CONTENT_FAMILIARIZATION_2026-09-16.md",text/markdown,4762,PROVENANCE_KEEP,LOW,KEEP_VAULTED,"historical familiarization",CONTENT_CHECKED
1lPOcxK0ScH11CUbLiiWssYqpj0PKnWBL,"CENSUS_DUMP_NOT_HOLD — FULL_DRIVE_TREE_PART_A.md",text/markdown,33053,PROVENANCE_KEEP,LOW,KEEP_VAULTED,"historical tree snapshot",CONTENT_CHECKED
1CR3pRBbndZwdAUKAR9mEbuKyg-1sO6yI,"CENSUS_DUMP_NOT_HOLD — FULL_ZIP_AND_CODE_CENSUS.md",text/markdown,21838,IMPORTANT_EXTRACT_REQUIRED,MEDIUM,COMPARE_WITH_GIT_CATALOG_AND_EXTRACT_GAPS,"historical ZIP/code census",CONTENT_CHECKED
1rR2Vv5C-JhGYgsEZ8Vh95aXNIimNoU9T,"CENSUS_DUMP_NOT_HOLD — FULL_DRIVE_CENSUS_2026-09-16.md",text/markdown,4038,PROVENANCE_KEEP,LOW,KEEP_VAULTED,"historical census",CONTENT_CHECKED
1_IUyqKnGW7LogNTo1GWIm-Bi8jEm3gxU,"CENSUS_DUMP_NOT_HOLD — FULL_DRIVE_CENSUS_FOLLOWON_2026-09-16.md",text/markdown,3930,PROVENANCE_KEEP,LOW,KEEP_VAULTED,"historical census follow-on",CONTENT_CHECKED
13OsbCpQfwX27Llr1KfYh840GGjaSwDXV,"CENSUS_DUMP_NOT_HOLD — FULL_MATH_CLAIM_INVENTORY.md",text/markdown,28002,IMPORTANT_EXTRACT_REQUIRED,CRITICAL,DIFF_AGAINST_CURRENT_CLAIM_GRAPH,"historical mathematical claim inventory",CONTENT_CHECKED
18tTdFRBCEVlO2nP8EOPCjTQ6aS8f681p,"CENSUS_DUMP_NOT_HOLD — FULL_CODE_CENSUS.md",text/markdown,6607,IMPORTANT_EXTRACT_REQUIRED,MEDIUM,DIFF_AGAINST_CURRENT_GIT_CODE_CATALOG,"historical code census",CONTENT_CHECKED
16BwvXnUnIbOTZ-zzLBBONsLY1pPKHTLE,"ZZ_SUPERSEDED — 00_HOLD_INDEX — prose_2026-09-16T1751Z.md",text/markdown,678,DUPLICATE_WITH_VERIFIED_SUCCESSOR,NONE,KEEP_VAULTED,"live HOLD index 12mB3YuAhZXfGaOha98Kf_Jm6RnxQIL7C",CONTENT_CHECKED
1l2xaXz2rGCUER6O0MSwkZhvrmSXzcFX3,"ZZ_SUPERSEDED — SIDE24_PRE_REVIEW_2026-07-31.zip.sha256 (orphan sidecar of vaulted twin) — USE PKG-05 sha 1OL1Ht3_As41rWfy-BsLHCaD1De-pyuuj",text/plain,99,DUPLICATE_WITH_VERIFIED_SUCCESSOR,MEDIUM,KEEP_VAULTED,"live PKG-05 sidecar 1OL1Ht3_As41rWfy-BsLHCaD1De-pyuuj; exact text digest line 14eaf7d403cd8c103576807719e8ee031cad1fc5bba58f1c37574a790849e44b",CONTENT_AND_SUCCESSOR_VERIFIED
1vREAsIJ7kMZdhZxm8N83wURbcXfEgM80gu_A4dgWezY,"ZZ_SUPERSEDED — STOP stub (mid) — ignore",application/vnd.google-apps.document,1024,DUPLICATE_WITH_VERIFIED_SUCCESSOR,NONE,KEEP_VAULTED,"live STOP 1QNpZVKnfkb8xeanZ_a8q4bV_WHdzEh5ahRCfdIYJjnA",CONTENT_CHECKED
