# CL-PIN-001-v1.0 — H5 PROMOTION-LANE CODE PINS (current bytes at snapshot 2026-09-15 13:11 archive-clock)
# AUTHOR: Claude (Anthropic) · STATUS: PROPOSED · AUTHORITY: none · CANONICAL IMPACT: NONE
# WHY: H5_RUNG2/H5_RUNG3 certificates pin their totals JSON and their own body only. The drivers that produced
#      the banks are not pinned anywhere at their current bytes, and on disk they were edited AFTER the totals
#      were written (h5_run_r0p025.py 11:51 vs h5_totals_r0.025_v2.json 11:43; r0p035355 12:19 vs 12:18).
# CAVEAT: these are the bytes present at snapshot time. They are NOT certified to be the bytes that generated
#      the rung-2/3 banks. The rung lane must re-pin at the next issuance; until then treat as custody-only.
# format: sha256  size_bytes  archive_mtime  file
b2e6014c2fd6eb9e72b2104cc828a764e280f76b8396a02edd37654b6ad83ad7     66310  2026-09-13 22:55  h5_kernel.py
19504b978c8793006f03624b18410f9dc79ee3181566f4ec4a0a550711cc7d6c     26420  2026-09-15 02:14  h5_run.py
f981576c1d4cd3a156ef3a24a9ed9c09174cf685d4c49cb03adebc108d2165f7     28688  2026-09-15 11:51  h5_run_r0p025.py
f3ce9052c93f8fc00697101925b4820e98fd8c8d734881d9ef341e9b7fcd9fe2     28713  2026-09-15 12:19  h5_run_r0p035355.py
19a7fc46b48293190f6ee6fd64673fd08398b269946c5f4389f4c6959472241e     28707  2026-09-15 12:24  h5_run_r0p0177.py
7db37586e00290622ab95b9283775496bafb753010bcd22f3829fc671c86a3f6     28694  2026-09-15 12:40  h5_run_r0p0125.py
f14eba68577de55a61760b05ca2daf00c094f500eb729cb9b6a018643d370e0a     13506  2026-09-15 08:05  h5_merge.py
b0da452e606983d9072ec7cdcea5aaccd83db21a583758d661f0cfb9999e19e8     10178  2026-09-15 02:36  h5_promote.py
6bed931a9a4d514e06c9968b32f6bb08002888eb2c405bec7c9f7acc3d521ae3      4675  2026-09-15 08:01  promote_run.py
30eb3c3db1714346839bda79d007936fb09627dc5a75ab8a486902e7c55326e6      2328  2026-09-15 09:17  promote_stitchfix.py
29df21b5143ccecbb63ef1fed8e4a8bffc6d4e8cb76e7fdbdc58b8cb509e8a5e      2529  2026-09-14 18:19  promote_probes.py
69d53be9ae390197e58151228a99c86ef03665f60bc9db21566fa158a831a1fa      1339  2026-09-15 12:56  keeper_promote.sh
5bc9dbccb384fc49366a32c9c19d431a68dea1ccae74233d1fbc458e5bfeee0c      3262  2026-09-13 22:55  falsify.py
bd764d5c6fb7fca5eb72b123161e9f56ac5951b97aedaa6b07ff10f717670a39       887  2026-09-14 14:35  falsify_promote.sh
f7697bcfa0fe32b5c87c8ef8adef5d4384ab1bda7cd4a7c4782fef8c99103fcb      2385  2026-09-15 11:43  h5_totals_r0.025_v2.json
808d6901e3254a73181aa696904ed04567d401b6e58300454d489046c36f4f64      2399  2026-09-15 12:18  h5_totals_r0.035355_v2.json
8d7028e4d0d49d54d3a7c4589a898289ec29eee6c2de9c774e99df0da46596bb      2364  2026-09-14 18:15  h5_totals_v3.json
00e625dc4ec8d320d10f243763187bf2ac813bc8d4dddc77c6722b27e448d5e5      2065  2026-09-15 12:22  CODE_HASHES.txt
# banked jsonl line counts at snapshot (custody only, never evidence):
#   h5_results_r0.0177_s0p1_patches.jsonl            9 lines
#   h5_results_r0.0177_s0p1_rimprobes.jsonl          29 lines
#   h5_results_r0.0177_s0p1_stitch.jsonl             6 lines
#   h5_results_r0.0177_s0p2_cells.jsonl              89 lines
#   h5_results_r0.0177_s0p2_probes.jsonl             7 lines
#   h5_results_r0.0177_s1p2_cells.jsonl              36 lines
#   h5_results_r0.0177_s1p2_probes.jsonl             5 lines
#   h5_results_r0.0125_s0p1_patches.jsonl            9 lines
#   h5_results_r0.0125_s0p1_rimprobes.jsonl          29 lines
#   h5_results_r0.0125_s0p1_stitch.jsonl             2 lines
#   h5_results_r0.0125_s0p2_cells.jsonl              27 lines
#   h5_results_r0.0125_s0p2_probes.jsonl             7 lines
#   h5_results_r0.0125_s1p2_cells.jsonl              15 lines
#   h5_results_r0.0125_s1p2_probes.jsonl             5 lines
