filename_or_path	role	status	byte_count	sha256	drive_id	parent_folder_id	form	accessibility	readback
00_READ_FIRST.md	raw	PARTIAL / NONCONTROLLING	5504	a64b86f8e225cf064cd46fcf2ace4f10ff9071e8d83fb34aa9a97f951c23a66a	1626tPV8quxHcWmqrHW7LxZrHVyptJ8yR	1-txt44n94bS8EQdlo1MTOZpGlJz92DTW	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
CANONICAL_STATE.json	raw	PARTIAL / NONCONTROLLING	4729	c6b4a0ca59bb1d1dedc5bb8e28b738a9a5ba9fe121832f40fee711073898e407	1TbXFbq8gYkbLhOKk6_m0Ous_okufKlQ4	1ht_GjRajgspeTeWSLQyAJUbwwR5tnbwz	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
CORPUS_GAP_REQUESTS.txt	raw	PARTIAL / NONCONTROLLING	1646	6ab5218e8a0528cfe838deada1d4d8bf287229c3e452c6eee40b544e619d89ef	1_UsuzOc9V-JHn9E8CA6640H3FNnEu2sJ	1ht_GjRajgspeTeWSLQyAJUbwwR5tnbwz	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
DECISION_LEDGER.md	raw	PARTIAL / NONCONTROLLING	12232	4d36fb528c498970f882dbd28761f491b29b50aa3015d630155a816db06bd489	1NgDHWhZAE2stWTTwwZvBCfOdPo6hK74I	1ht_GjRajgspeTeWSLQyAJUbwwR5tnbwz	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
FAILED_APPROACHES.md	raw	PARTIAL / NONCONTROLLING	4887	8fa175b6f529cc3344ea1c1886208326368304951118064c6639a04a59169cb5	1K9Oh8nkOt7EhDOTv4-sFYuq3m-xRylYQ	1ht_GjRajgspeTeWSLQyAJUbwwR5tnbwz	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
FILE_LEDGER.tsv	raw	PARTIAL / NONCONTROLLING	72668	34416efde5fd2b0342460f10c22307b5b20d5d2c7760af3485df9527aca0a9c3	1ORQBsSF8BZlXWFTHA841AfzOMSYlDxOk	1ht_GjRajgspeTeWSLQyAJUbwwR5tnbwz	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
INPUT_MANIFEST.sha256	raw	PARTIAL / NONCONTROLLING	65718	981893e3cdb76d2705cc633d768e424e223bd517a3c2bb3f1d05eb7e48bd48d2	15nCdnZ2ZdbcsM3xab_CzRZ9cCJkFIQc4	1ht_GjRajgspeTeWSLQyAJUbwwR5tnbwz	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
K3-AUD-001_residue_audit.md	raw	PARTIAL / NONCONTROLLING	5544	0fb026bd5923ab06d90b63017c212fb722b417288d80638185b8378d7e658652	1u_p2dueQsNYQuhFxQNuXIY7tTQpwF7AZ	1ht_GjRajgspeTeWSLQyAJUbwwR5tnbwz	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
LEAD_SYMBOLIC_WP.md	raw	PARTIAL / NONCONTROLLING	5623	5275994cffed6f54fd758c0b116dcc9a2ecfd8db8dcc9ecd2a2daa0ff38a8cce	1RYEVN993i7xJGKypAgjQtbyEoDa_OaBM	1ht_GjRajgspeTeWSLQyAJUbwwR5tnbwz	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
LEAD_SYMBOLIC_WP_CORRECTION_ADDENDUM.md	raw	PARTIAL / NONCONTROLLING	2957	45ffe1e260a55bfb3dff032b158de8205956ccf58643b02b62d4331fe4d957c9	10pVccRyKKjcnr-PUY5Dc43Ee3d8VjM-t	1ht_GjRajgspeTeWSLQyAJUbwwR5tnbwz	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
MANIFEST.sha256	raw	PARTIAL / NONCONTROLLING	27736	a7619d9180126c741b5b836ad4326de3188fb9b91d2ca217b0b67199770680de	1LxPp-JZ8lGaO_mA4-4yzerJ3lYoWhRwT	1ht_GjRajgspeTeWSLQyAJUbwwR5tnbwz	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
MISSING_INPUTS.md	raw	PARTIAL / NONCONTROLLING	420	fe3bdbc3ba6ae9290f0035d7035b8c05fbb6d119cbbe954e030ba97f270133b2	11KVFJWoW5609LK0Ubefx99z4moMpjkjG	1ht_GjRajgspeTeWSLQyAJUbwwR5tnbwz	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
OPEN_OBLIGATIONS.md	raw	PARTIAL / NONCONTROLLING	4132	bb5f578b67b63d4a5a2ec1f17f240b4c239f29a5dac27aebe01db107c0b725f6	1EcSSd1Yyd_5sil44YcnJtkNuhZavpb_Q	1ht_GjRajgspeTeWSLQyAJUbwwR5tnbwz	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
REPRODUCTION.md	raw	PARTIAL / NONCONTROLLING	3194	1e4bed6f0a7011878b862a3d499f80029f834cd1b2cfa1f8c156ea7741c4f51e	10llhBAx9ClSp1yRDfx6_j2adsKmquMEk	1ht_GjRajgspeTeWSLQyAJUbwwR5tnbwz	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
SUCCESSOR_SHELL_NONCONTROLLING.md	raw	PARTIAL / NONCONTROLLING	5994	996b7fb8530c834172a262a1355c17313394cdf4a39e15d3376596c89e55864c	1bZcEesjY3dRvByWPflN7ry7Sccm_Vd9C	1ht_GjRajgspeTeWSLQyAJUbwwR5tnbwz	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
TASK_DAG.md	raw	PARTIAL / NONCONTROLLING	744	c927f65d2b36e4fb2f7bb2d40c11618968ec3f5a1640a8a1a58bc06a250907e1	1QySy1a3OPsWLZNQDZ32pu0eUbhOJ-vIS	1ht_GjRajgspeTeWSLQyAJUbwwR5tnbwz	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
WP_DISPOSITION.md	raw	PARTIAL / NONCONTROLLING	8638	08394745a03776d2937f60f65a5aa6031cabc2437be3d63469fc78c05d95b0f7	1Ea0ygkmGSpTDybVq7nw4Z14oYf0WKbRb	1ht_GjRajgspeTeWSLQyAJUbwwR5tnbwz	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W2_symbolic/W2_ADDENDUM.md	raw	FROZEN SYMBOLIC / NONCONTROLLING	1075	3e7a4b30bedc26120884b1339c84e0f4c5aaa042fe2a22b7d9e3ea7e0e6955fe	19x0tsnCf4ayniPTsYAYKd_wyf5EBxtTr	176vAKbP-XX9WcJTXGuLwPNCwfyEiupVL	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W2_symbolic/W2_DERIVATION.md	raw	FROZEN SYMBOLIC / NONCONTROLLING	34203	22df83a64fb6755cc4e9d19e6efc3346f31acf141f199e476e7852f501ec5a4e	1o06oNSGXHUCkH8-aKYr2WPr4VYg4mHmp	176vAKbP-XX9WcJTXGuLwPNCwfyEiupVL	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W2_symbolic/W2_FREEZE.json	raw	FROZEN SYMBOLIC / NONCONTROLLING	417	b64e99610d6ddf28799b8af576b5adff2bb933b67bd7f762766e20451e993d3b	17AfJ7w1lzUZU4yLkiHRkuX7nfSwheF7M	176vAKbP-XX9WcJTXGuLwPNCwfyEiupVL	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W2_symbolic/W2_sanity.py	raw	FROZEN SYMBOLIC / NONCONTROLLING	26110	ede20064b4f6242346ac02c0a4ac09b6c7b98f073c2f4e16ce6e5fadc9ff4b45	16BotNkwP4KSwMw4DL1sSVp-WxkXaZOZB	176vAKbP-XX9WcJTXGuLwPNCwfyEiupVL	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W2_symbolic/run1.log	raw	FROZEN SYMBOLIC / NONCONTROLLING	7878	2570958be883cd893dc790259c4d0e4aea69a10b282b849515c8613de207e693	1sVxM9WVs2vOCwJ0sPMGz96eSyO1oylr6	176vAKbP-XX9WcJTXGuLwPNCwfyEiupVL	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/W3_REPORT.md	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	4621	5fdc9a8c6d569760374dcf9662eb8984f77d0d63032f0635bdd2fa09b9375667	1pCtM28hpAulCcDgIdTnj7JJC4egNvo6r	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/land40.txt	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	969	d0a4bbb56cc09b12578b1d66e8de36a936a9b9ba516550f65ebfc59cf076816c	1wmslznCkEDsahKiyAymVWVXiHnpzN4La	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/lbox_A.txt	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	2612	43eaa00fdca440fbcea5d074bd2d7ecf7948660308c5db577958a794e8c0a0f4	1PCNxOI8cNKxPDfKmy8j0AnopNvaC4tI5	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/lbox_B.txt	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	3917	4ae538f5044e71d07e05407b03b1f81ca50a788f0d810002e9398070a8946836	1s8H8s-foXOUTtdhXsrkzMKHfAVbAbVms	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/lbox_one.txt	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	602	23bff6445de34f7d5516898a160b2bd25ae4a0c98faecf6cc43ff7b556f729b5	1wvkmGvVaWz7ISs5nyVjUwf_AcH-uRQBX	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/lbox_test.txt	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	3177	12b61fc245fb637daada6ada10903bc00f1e35acbd17a73ac5e0d56a7230e1a7	1krwscsYMJTvyhW1J3iNKbHeA9pDQouWA	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/pscan.txt	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	75713	94012def2e34432e00b141ed64b2b6ff5b35b6b0dea3dc9d86bfc438cadb8fc0	1xD5uKNcftyY8d1rE8uwf2J_ErjS5Y1C1	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/receipts/harness_O.exit	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	2	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	1tmM0aJ6_WOWbntYF2NN6iMHjA2U4c-pC	1pIQzbAHmO8Z2sPJ3H_aeJPkrylXWJ1JD	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/receipts/harness_O.out	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	289	dfc7ee41b93b366a334a1958574a40a5ed685e089f33ad3dad0db2ee29bc38f9	1yjO3uOjrmnziRW8NcZq4pL4gtWi7plCV	1pIQzbAHmO8Z2sPJ3H_aeJPkrylXWJ1JD	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/receipts/harness_O.out.sha256	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	65	38acb15d02d5ac0f2a2789602e9df950c380d2799b4bdb59394e4eeabdd3a662	1ziXc8N4BqZKiP8Ekwpg5qd1c523buPnG	1pIQzbAHmO8Z2sPJ3H_aeJPkrylXWJ1JD	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/receipts/harness_mut_sqrt.err	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	79	f594dcf6a47f8da6fb259a691ba4b695098da479836b1e88047e8258e913da96	1cewP36AqOYhd2IMTPJrv2-lb0703I8Jx	1pIQzbAHmO8Z2sPJ3H_aeJPkrylXWJ1JD	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/receipts/harness_mut_sqrt.exit	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	2	4355a46b19d348dc2f57c046f8ef63d4538ebb936000f3c9ee954a27460dd865	1bp2ayz50Yn6seo3pvmDwcBpU9aSZ9OEJ	1pIQzbAHmO8Z2sPJ3H_aeJPkrylXWJ1JD	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/receipts/harness_mut_sqrt.out	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	185	4117771a06cea0deb8b7209e28ab5a5aa98efda76980b412e0809c4191152e63	1ELMTvpbqcH0Ab4kS7UG6ZulFj4o0gMb-	1pIQzbAHmO8Z2sPJ3H_aeJPkrylXWJ1JD	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/receipts/harness_mut_sqrt.out.sha256	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	65	c7106f8bce54d853298116a145930fb2df362d8d8f29d3aeaa3b47d858febddf	17M7I9ljTkzKJyqllyoto6WY5x4_3RwYT	1pIQzbAHmO8Z2sPJ3H_aeJPkrylXWJ1JD	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/receipts/harness_normal.exit	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	2	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	1uXbXE4wjtvwaJSzsdmGMbLDKIZs4OblG	1pIQzbAHmO8Z2sPJ3H_aeJPkrylXWJ1JD	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/receipts/harness_normal.out	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	289	dfc7ee41b93b366a334a1958574a40a5ed685e089f33ad3dad0db2ee29bc38f9	1HZ07yJdTAlRyhXY8mJWQnE3RPEFjwspN	1pIQzbAHmO8Z2sPJ3H_aeJPkrylXWJ1JD	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
