Severity,Code,Exact object,Reference ID,Message
INFO,CONFIG_SCOPE_ID_MISMATCH_RESOLVED,PROGRAM,TR-CAI-001,"Fifteen configured fractal-tree leaf IDs did not match the folders actually created; Config was corrected to the live folder IDs. v1.1 runtime was not installed, so no automated manifest contamination occurred."
WARNING,APPS_SCRIPT_RUNTIME_NOT_INSTALLED,GP-AUTO-034-v1.2-CAI,TR-CAI-001,"Drive preparation is complete, but OAuth, Google-runtime T1–T32, manual refresh inspection, and hourly triggers remain browser-side deployment steps."
WARNING,OUTSIDE_LINEAGE_REVIEW_PENDING,GP-AUTO-034-v1.2-CAI,REV-CAI-SELF-001,The implementation has only an author self-audit with LOW independence. It cannot satisfy a high-independence referee-ready gate.
WARNING,BASELINE_TRANSITION_BACKFILL_REQUIRED,PROGRAM,TR-CAI-001,Existing trusted mathematical states are BASELINE-PENDING and cannot promote until object-specific transition records or no-change certificates are filed.
INFO,RAW_SOURCE_UPLOAD_PROXY_407,GP-AUTO-034-v1.2-CAI,EV-CAI-SOURCE,"Raw .gs upload to Drive failed with connector proxy 407. The exact downloadable source is controlled by SHA-256; the Drive document is an honest source manifest, not byte-exact executable code."
WARNING,P02_CANDIDATE_THEOREM_REVIEW_INCOMPLETE,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,TR-P02-001,"Component and instrument reviews exist, but no independent full-chain theorem reconstruction or active-machine alignment exists. Promotion remains blocked."
CRITICAL,Q_MACHINE_PROTOTYPE_REPAIR_REQUIRED,LAW_SPECIFIC_Q_SUCCESSOR_MACHINE,TR-QM-001,"AO48 hand trace found reversed typed-rate wiring, missing R0, and verifier gaps. GP-REG-021/GP-DATA-022 must not be promoted or installed."
WARNING,P12_EP2_SOURCE_SYNC_UNCERTAIN,CONTINUUM_SHORT_BAR_DIAGNOSTIC_P1.2,TR-P12-001,"CL-RSP-027 claims ep2.py was uploaded as CL-DATA-024, but the raw file was not returned by current Drive search. Exact-pairing exponent remains cannot-verify."
CRITICAL,AUTO_V11_SELF_ELIGIBILITY_CONFIRMED_V12_SOURCE_ABSENT,GP-AUTO-034,CL-AUD-034 / GP-RSP-017,CL re-executed the v1.1 eligibility path and confirmed source documents can self-assign REFEREE-READY. v1.1 is DO-NOT-INSTALL. The v1.2 byte-exact executable is absent from Drive and CANNOT-VERIFY. v1.3 exact-source qualification is required before any runtime gate.
WARNING,TRIGGER_ENABLED_BY_OPERATOR_WITH_OPEN_TECHNICAL_GATES,GP-AUTO-034,OD-ACT-20260721-001,"Dylan directly reports the trigger enabled and orders the project to proceed. Runtime activity is authorized, but Drive does not yet show a trigger ID, installed-source hash, successful live-run receipt, or closure of the v1.1/v1.2 qualification defects. Treat outputs as active-but-unqualified until inspected."
INFO,P12_EP2_SOURCE_LOCATED_SUPERSEDES_SYNC_ALARM,EXACT_PAIRING_PIPELINE_CL_DATA_024,TR-P12-002,"CL-DATA-024 exists at Drive ID 1WqP5VNumh0u-44lbh0mF8Qn82-gsMXjg and is byte-identified by SHA-256. This supersedes only the earlier source-sync uncertainty, not the cannot-verify numerical status."
CRITICAL,P12_EP2_EXACT_FLOW_OBJECT_MISMATCH,EXACT_PAIRING_PIPELINE_CL_DATA_024,GP-AUD-050-v1.0,The endpoint walker follows a separately truncated Fa gradient rather than the exact Fx field whose separatrices define the target. Current output cannot be labeled exact continuum pairing.
WARNING,P12_EP2_EXECUTION_NOT_REPRODUCED,EXACT_PAIRING_PIPELINE_CL_DATA_024,EV-P12-EP2-RUN,Two exact one-field runs bounded at 120 and 300 seconds produced no field receipt. Reported a_hat≈0.57 remains independently unreproduced.
INFO,Q_MACHINE_V11_REPAIR_CANDIDATE_LOCAL_PASS,LAW_SPECIFIC_Q_SUCCESSOR_MACHINE_V1_1,TR-QM-002,GP-REG-051/GP-DATA-052 repair the identified v1.0 defects and pass 16/16 local adversarial mutations while leaving all roots blocked and the active machine untouched.
WARNING,Q_MACHINE_V11_INDEPENDENT_EXECUTION_PENDING,LAW_SPECIFIC_Q_SUCCESSOR_MACHINE_V1_1,REV-QM11-GP-001,The corrected successor is author-built and locally executed. It must not be installed until an outside line independently executes the exact source and confirms theorem-graph reachability.
INFO,PAIRING_INSTRUMENT_SELF_TEST_13_OF_13_PASS,GP-DATA-054-v1.0,GP-AUD-055-v1.0,"Author self-test passed syntax and all 13 frozen controls. This is an internal instrument gate only; no production Bargmann–Fock execution, exponent evidence, theorem status, or machine promotion follows."
WARNING,PAIRING_SOURCE_PUBLICATION_FAILED,GP-DATA-054-v1.0,GP-DATA-054 / HB-010,The readable Drive source artifact is empty and no separate raw source was found. Independent reconstruction and review are blocked until byte-exact source matching SHA-256 7f061dd71032c76e785e259a115d3dad50e6adf5274dc8b3cf7104b9c2bd4c22 is published.
INFO,CL_V13_SPEC_ACCEPTED_NOT_BALLOT,GP-AUTO-034-v1.3 qualification specification,CL-RSP-035-v1.0,CL accepts Q1–Q10 as qualification gates but explicitly leaves the exact R0.2 and executable ballots pending. Vote count remains 2 of 4.
INFO,PAIRING_SOURCE_MIRROR_POPULATED_SUPERSEDES_EMPTY_WARNING,GP-DATA-054-v1.0,TR-P12-003,"The Drive review mirror now contains the complete source through the terminal main call. This supersedes the earlier empty-source condition; Google Docs normalization means the frozen 30,606-byte SHA-256 source remains the byte authority."
INFO,PAIRING_INSTRUMENT_SELF_TEST_13_OF_13_CONFIRMED,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054,GP-AUD-055-v1.0,"Syntax and all thirteen frozen controls pass, including analytic Morse, elder-rule, failure-blocking, source-hash, single-field, and adaptive exact-field endpoint controls."
WARNING,PAIRING_HARDENED_BF_PRODUCTION_NOT_RUN,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054,TR-P12-003,"No full Bargmann–Fock field has completed the hardened V1–V5 pipeline. No pairing distribution, a_hat value, or asymptotic evidence follows from the self-tests."
WARNING,PAIRING_HARDENED_INDEPENDENT_REVIEW_PENDING,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054,REV-P12-GP-003,"The repair is author-built and self-tested. An outside line must reconstruct or execute the frozen source and review the exact-field, census, gate, and inference logic before production evidence is accepted."
WARNING,PAIRING_BYTE_EXACT_SOURCE_NOT_NATIVE_DRIVE_FILE,GP-DATA-054-v1.0,EV-P12-HARDENED-SOURCE,The Google Docs mirror is reviewable but not byte-identical because Docs normalizes line endings and paragraph spacing. Installation or independent execution must use a source matching SHA-256 7f061dd71032c76e785e259a115d3dad50e6adf5274dc8b3cf7104b9c2bd4c22.
CRITICAL,PAIRING_ENDPOINT_ACCEPTED_WITHOUT_CERTIFIED_EVENT,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054,GP-AUD-056-v1.0,"endpoint_from_branch does not require solve_ivp success, status==1, or an actual endpoint event before Newton refinement. Max-arclength exhaustion or failed termination can be snapped to a census maximum and returned as resolved. Production qualification is blocked pending NC-F1 and solver-failure controls."
CRITICAL,PAIRING_CENSUS_REPLAY_COUNT_ONLY,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054,GP-AUD-056-v1.0,"V5 compares only maxima/minima/saddle counts. Distinct point identities, values, or incidence structures can pass with the same count signature. Production requires periodic one-to-one point/value/type/incidence matching and NC-F2."
WARNING,PAIRING_BRANCH_OFFSET_SENSITIVITY_UNTESTED,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054,GP-AUD-056-v1.0,"Primary and replay endpoint integrations reuse the same saddle, eigenvector, and branch offset; tolerance agreement does not test separatrix assignment sensitivity to offset or saddle localization."
WARNING,PAIRING_FINAL_NONDEGENERACY_NOT_EXPLICITLY_GATED,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054,GP-AUD-056-v1.0,newton_refine filters final candidates by gradient norm but does not separately require a finite determinant above the final nondegeneracy threshold. A degenerate analytic fixture is required.
INFO,PAIRING_BYTE_EXACT_SOURCE_CAPSULE_VERIFIED,GP_DATA_054_BYTE_EXACT_SOURCE_PUBLICATION,GP-AUD-057-v1.0,"A fresh Drive text export strictly Base64-decodes to 30,606 bytes and SHA-256 7f061dd71032c76e785e259a115d3dad50e6adf5274dc8b3cf7104b9c2bd4c22, byte-for-byte identical to the frozen GP-DATA-054 source."
INFO,PAIRING_NATIVE_RAW_FILE_WARNING_SUPERSEDED_BY_CAPSULE,GP_DATA_054_BYTE_EXACT_SOURCE_PUBLICATION,TR-P12-005,The reversible Drive capsule resolves the practical exact-source reconstruction blocker despite native raw-file upload limits. It does not constitute independent review or production qualification.
WARNING,PAIRING_CAPSULE_OUTSIDE_RECONSTRUCTION_PENDING,GP_DATA_054_BYTE_EXACT_SOURCE_PUBLICATION,GP-REQ-056-v1.0,The exact Drive reconstruction has only been completed by the source-author line. An outside reviewer must independently decode and verify the capsule before high-independence qualification.
INFO,PAIRING_INDEPENDENT_QUALIFICATION_REQUEST_ISSUED,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054,GP-REQ-056-v1.0,"A structured four-role request now covers blind source/object audit, independent decode and self-test, amended first-field production qualification, inference review, and planted negative controls."
WARNING,PAIRING_GP_AUD_056_AMENDMENTS_STILL_REQUIRED,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054,TR-P12-004 / GP-AUD-056,"Byte-exact source publication does not clear the active endpoint-event certification, count-only census replay, branch-offset sensitivity, or final-nondegeneracy blockers. The instrument remains quarantined."
INFO,PAIRING_SOURCE_CAPSULE_CURRENT_HASH_PASS,GP-DATA-054-v1.0 current capsule revision,GP-AUD-057-v1.0 / GP-AUD-059-v1.0,"Fresh current-state strict decode produces 30,606 bytes and SHA 7f061dd7…4c22. The earlier dbff alarm is retained as a stale/pre-repair export incident and is superseded for current source identity only."
CRITICAL,PAIRING_CURRENT_SOURCE_ADVERSARIAL_DEFECTS_CONFIRMED,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054,GP-DATA-060-v1.0,"On exact current source 7f061dd7…4c22, 13/13 frozen tests pass while NC-F1, NC-F2, and NC-F5 confirm fail-open endpoint acceptance, count-only census replay, and degenerate-point retention."
WARNING,DUPLICATE_ARTIFACT_ID_GP_AUD_057_RESOLVED,GP-AUD-057-v1.0 / GP-AUD-059-v1.0,GP-AUD-059 correction,Two Drive files briefly claimed GP-AUD-057. Drive IDs and contents were kept distinct; the source-reconstruction receipt retains GP-AUD-057 and the stale-export/adversarial correction was reidentified GP-AUD-059.
WARNING,OPERATOR_AUTHORIZATION_BALLOT_CONFLATION_CORRECTED,OP-CNS-001-R0.2 / GP-AUTO-034,Consensus Ballot; DEF-025,A row had labeled operator ratification as a unanimous passed ballot despite no fresh model votes. It is corrected to a separate operator authority record; exact R0.2 remains 2 of 4.
INFO,AUTO_CONFIG_V11_INSTALL_HAZARD_CORRECTED,GP-AUTO-034 Config / HOURLY_TRIGGER,CL-OPR-031 / OP-PROT-003,"The live Config note that named disqualified v1.1 as the installation source was replaced with a fail-closed exact-source, test, inspected-refresh, recovery, and post-test 3-of-4 requirement. No installation or trigger action occurred."
INFO,POST_TEST_BALLOT_SEMANTICS_CORRECTED,GP-AUTO-034 Config / POST_TEST_REBALLOT,OP-PROT-003,Config now separates direct operator authorization from model-ballot passage and requires three exact affirmative post-test votes from the eligible four-line roster.
CRITICAL,PAIRING_V11_SOURCE_CAPSULE_INCOMPLETE,GP-DATA-054-v1.1 amended source publication,Drive ID 1Hur9mCBvTtaMN4jHEP94cB5t_E2YcHtS9xKo7WZK1cQ,"Fresh download and full Docs read show an explicit FAILED STAGING object containing only the final Base64 fragment and END marker. No BEGIN marker or complete 51,213-byte payload exists, so SHA reconstruction and non-author 21-control execution are blocked."
INFO,PAIRING_AUDIT_AND_TRANSITION_ID_COLLISION_RESOLVED,GP-AUD-061 / TR-P12-007 versus amended GP-AUD-059 / TR-P12-006,Drive ID 1xQmawVY4d-lFSKaTxI5IR_J2zYRFm8VR77OVUwzAUQQ,The stale-export/current-source adversarial correction was reidentified as GP-AUD-061 and TR-P12-007 so the later amended author receipt and transition may retain GP-AUD-059/TR-P12-006. No evidence was merged or deleted.
INFO,PAIRING_V11_GP_AUD_056_AMENDMENTS_IMPLEMENTED,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054_V1_1,GP-COR-058-v1.0,"All five GP-AUD-056 finding families now map to explicit v1.1 source logic, V0–V7 gates, receipts, and negative controls."
INFO,PAIRING_V11_SELFTEST_21_OF_21,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054_V1_1,GP-AUD-059-v1.0,The amended source compiles and all 21 author-side controls pass in the recorded environment.
WARNING,PAIRING_V11_DRIVE_BYTE_SOURCE_UNVERIFIED,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054_V1_1,EV-P12-V11-SOURCE-IDENTITY,"The exact 51,213-byte source is hash-controlled locally, but a Drive-hosted byte-exact v1.1 executable has not yet been independently verified. Do not execute a reformatted mirror as authority."
WARNING,PAIRING_V11_OUTSIDE_EXECUTION_PENDING,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054_V1_1,GP-REQ-056-v1.0-AMENDED,"No outside line has independently reconstructed the amended source, audited the five repair families, or reproduced 21/21."
