Title,Open reading copy,Kind,Group,Reader key,Verification,Drive ID
READING COPY 00_MASTER_INDEX_20_COLD_REVIEW_PACKETS [0158ca2b05b5],https://docs.google.com/document/d/163qXkKOGH67onFazVod_Z-G_WfFMzsca4mST5C_Smy8/edit?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,0158ca2b05b529cf68a33c06b44886ee94f1f4c9ae5b9c75960656118ad92b51,NATIVE TEXT VERIFIED — original governs layout,163qXkKOGH67onFazVod_Z-G_WfFMzsca4mST5C_Smy8
029aa40af2ca_06_SUPPLEMENT_V4.pdf,https://drive.google.com/file/d/17Q--u9XWE9FNz-UwW7nEdiEL0VNlUKgA/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,029aa40af2cad4da7f2677e58480b767dc3425e6fde542703a76fb054ec28281-original,EXACT RAW BYTES VERIFIED — SHA-256 match,17Q--u9XWE9FNz-UwW7nEdiEL0VNlUKgA
0357bd28528c_02_PRE_REVIEW_DOSSIER_V2.pdf,https://drive.google.com/file/d/1cxcCUTt92re0cgZ480EkBZlR45KJRny4/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,0357bd28528c5690f6c1279b9c4f4f123b03120d3db7a7cd8bb32950cdda8f73-original,EXACT RAW BYTES VERIFIED — SHA-256 match,1cxcCUTt92re0cgZ480EkBZlR45KJRny4
HISTORICAL WORKBOOK REGISTRY_NAVIGATION_EXPORT [0538452c5e1e],https://docs.google.com/spreadsheets/d/1HV5dJ-cAaiLZ3qePMDJvn4Sov2re0PbH_m9Qne-Tz24/edit?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,0538452c5e1efc8114eae36981da830c72c0f5652bd4fddb2ff4179c1c224779,NATIVE WORKBOOK STRUCTURE READ — historical formulas not recalculated,1HV5dJ-cAaiLZ3qePMDJvn4Sov2re0PbH_m9Qne-Tz24
DATA READING COPY mixed_base_29.json [05fcf2803449],https://docs.google.com/spreadsheets/d/1YJK36LMMJaBzhnA4w-BQ8GBI-kfU86JNB1wRmVjdTek/edit?usp=drivesdk,sheet,RESEARCH_SOURCE_CHECK_STATUS,05fcf28034492ee840d23dc2feb3d25060edd342982feaea86648cd74a5c3969,LOCAL CELLS VERIFIED + NATIVE FIRST/LAST ROWS VERIFIED,1YJK36LMMJaBzhnA4w-BQ8GBI-kfU86JNB1wRmVjdTek
HISTORICAL WORKBOOK REGISTRY_BEFORE [06bf48f6b1c7],https://docs.google.com/spreadsheets/d/1S-7md9iVHk7JFjr1gvYZ6xAZ6V0KBeS4PLLAX10jckw/edit?usp=drivesdk,xlsx,QUARANTINE_OR_HISTORY,06bf48f6b1c7382dd8b3418611228e8e77b7a13de5ba95e9b2be75c18dd58ced,NATIVE WORKBOOK STRUCTURE READ — historical formulas not recalculated,1S-7md9iVHk7JFjr1gvYZ6xAZ6V0KBeS4PLLAX10jckw
DATA READING COPY CLOSE-20260917-b9c2_INVENTORY.csv [072d1bc53a4d],https://docs.google.com/spreadsheets/d/1hmcPndemVAspajgOoq6jxM0YMCnwmBso__oZvItc6B0/edit?usp=drivesdk,sheet,RESEARCH_SOURCE_CHECK_STATUS,072d1bc53a4dbc50abe771b8f1348593f5af68a7b63aa45180b660d6deeb6d7d,LOCAL CELLS VERIFIED + NATIVE FIRST/LAST ROWS VERIFIED,1hmcPndemVAspajgOoq6jxM0YMCnwmBso__oZvItc6B0
READING COPY 12_EC-017_Positive_Fixed-r_Typed_Finite-Q4_Palm_Mass [097065635531],https://docs.google.com/document/d/1WM452443QWaeZB8XGKUWqd30ka0-6RVRhWJYjLsG4zM/edit?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,09706563553166112889f474f8920ecc3642987675de607c5e1ff948c376d0a4,NATIVE TEXT VERIFIED — original governs layout,1WM452443QWaeZB8XGKUWqd30ka0-6RVRhWJYjLsG4zM
DATA READING COPY C099_NEAR_ENDPOINT_SCAN.json [0b98a88b6acd],https://docs.google.com/spreadsheets/d/1yuncD7rmS7XH0c6KgSNrJzoJ7bRl7LSzCV1RsTyBi-w/edit?usp=drivesdk,sheet,RESEARCH_SOURCE_CHECK_STATUS,0b98a88b6acd27ce36e604bb3480811b4f600a0ce5581f33889d530372dde00d,LOCAL CELLS VERIFIED + NATIVE FIRST/LAST ROWS VERIFIED,1yuncD7rmS7XH0c6KgSNrJzoJ7bRl7LSzCV1RsTyBi-w
READING COPY 04_EC-008_Planar_Collision-Gram_Covariance_Determinant [0e0dac642cd2],https://docs.google.com/document/d/1Ghgr94GKQW0FGHNYKDMoElo7n5Fj6mR4z69Yja8e2qg/edit?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,0e0dac642cd22f3f8f093eb09a788f430562d82db402b1097290c4846253b967,NATIVE TEXT VERIFIED — original governs layout,1Ghgr94GKQW0FGHNYKDMoElo7n5Fj6mR4z69Yja8e2qg
READING COPY 02_PRE_REVIEW_DOSSIER [0f470f892f18],https://docs.google.com/document/d/1hcHmJrWVqOs2zIsxEchM5UiAnBjwUukG0MosfvHtZHc/edit?usp=drivesdk,docx,RESEARCH_SOURCE_CHECK_STATUS,0f470f892f1820c9310b3ebaace7541fb609608bcf74dec66ea4006d79db4b1b,EQUATIONS NEED COMPANION — linked notice verified; original retained,1hcHmJrWVqOs2zIsxEchM5UiAnBjwUukG0MosfvHtZHc
10190eb68703_README_BUNDLEsept.pdf,https://drive.google.com/file/d/12uNBqC-pii-S3VhvJQfIPx4Cpz2ofIkd/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,10190eb687034b731c2d59d8a2884fd02d9f4471fd762e12907f0d31ff3225b4-original,EXACT RAW BYTES VERIFIED — SHA-256 match,12uNBqC-pii-S3VhvJQfIPx4Cpz2ofIkd
