# CL-MIRROR-001-v1.0 — byte-native mirror manifest (sha256 of exact bytes; original tree path; uploaded title)
# AUTHOR: Claude (Anthropic) · 2026-09-15 · frozen carriers from 09152026OKComputer_Project_Gap_Closure.zip (a2136bc0…)
# These are NOT new artifacts: they are byte-identical copies of frozen Kimi/K3 carriers that had not been mirrored to Drive.
# LANDING STATUS 2026-09-16: this manifest is landed first. The 46 native copies below are in the local bundle
# CL_ANTHROPIC_BUNDLE_2026-09-16_v3.zip (delivered in chat, folder 06_UNMIRRORED_FROZEN_CARRIERS_BYTE_NATIVES/);
# they are also present byte-for-byte inside the operator's own 09152026OKComputer_Project_Gap_Closure.zip at the
# original_path shown. Any copy landed here must re-hash to the value on its row before it is cited.
# format: sha256  size  original_path  ->  uploaded_title
ae4c9c82784aecfbd85056c316f792a331bccb774d952887fc5fe8ea7da615b4     15164  K3_SIDE24_LB/UPPER2D/B4LOC_damline/B4LOC_DAMLINE.md  ->  B4LOC_DAMLINE.md
5235f98a59e5119444b8fda2ea16d2dd3333e0d46f0b52af6362a2b2a0ecd163      1213  K3_SIDE24_LB/UPPER2D/B4LOC_damline/FREEZE.txt  ->  B4LOC_FREEZE.txt
bf3b022580a7eea1b4797658fe77a74a92850d59478212f39bca2bb231f20f02     26271  K3_SIDE24_LB/UPPER2D/B4LOC_damline/b4loc_driver.py  ->  b4loc_driver.py
d59ad79088dbf152b6e196bbd48ee0a79ef304d60611148eabaa575e7fd8b10f      3360  K3_SIDE24_LB/UPPER2D/B4LOC_damline/b4loc_falsifier.py  ->  b4loc_falsifier.py
11baaccc25da202be951731ea4bc91c76795b614a9925a3baf7c59f8b0112b53      2735  K3_SIDE24_LB/UPPER2D/B4LOC_damline/t_normal.txt  ->  B4LOC_t_normal.txt
f971b81a54dd2b78924c77e412e0c19b798e5356795057fcdadec3235e960745      8041  K3_SIDE24_LB/UPPER2D/D3_percolation/PERC_DECAY.md  ->  PERC_DECAY.md
6bbe6e27a91c777b7245294fc5740462af06e7f20b0f92ff4eae15cd2f05edef      3966  K3_SIDE24_LB/UPPER2D/D3_percolation/FREEZE_PERC_DECAY.txt  ->  FREEZE_PERC_DECAY.txt
ee68ac7510241947c64445cc6aa17f91ccc4f2e5f0dacc2b0de801ef72d8ab64     19063  K3_SIDE24_LB/UPPER2D/D3_percolation/d3_perc_decay.py  ->  d3_perc_decay.py
2527ab5a1b5ee208a30a672e2457de04708228f3c154185d95c236bd4f4f5e6f      5701  K3_SIDE24_LB/UPPER2D/D3_percolation/D3_REMOTE_AMENDMENT_v2.md  ->  D3_REMOTE_AMENDMENT_v2.md
7a40e2675232244bc63fcab2304b4b9cd3cd59a5c4965a3be5e65db7436fcfc2     11133  K3_SIDE24_LB/UPPER2D/H3_closure/H3_BAND_FLOOR.md  ->  H3_BAND_FLOOR.md
18e109bc2e7a186c307f689f940ad476d69fc543e828081e0e706de2c578800d      8311  K3_SIDE24_LB/UPPER2D/H3_closure/H3_BAND_CEIL.md  ->  H3_BAND_CEIL.md
a907eeedd767b0b97461df8e237cdca130a607b5dede50ad5ba4b05c957d22a5     37315  K3_SIDE24_LB/UPPER2D/H3_closure/h3_band_floor.py  ->  h3_band_floor.py
b97c5428a20e5dd33f3e53653d20447f1e27515dcc7dc7a7c2004ebe30029452     37950  K3_SIDE24_LB/UPPER2D/H3_closure/h3_band_ceil.py  ->  h3_band_ceil.py
092d886ceb279ba09d473f2308e3e0495593d70c4ca614fd0deed2ccde281e55      2741  K3_SIDE24_LB/UPPER2D/H3_closure/MANIFEST.sha256  ->  H3_MANIFEST.sha256
ee58ef8054109a24ea0dadd5f0147b883966374e539ff462f8500af932765264      6254  K3_SIDE24_LB/UPPER2D/H3_closure/RECEIPT_h3.json  ->  RECEIPT_h3.json
26d08534979083275fe14ce789d9cfc4f59ab9250a6cfc830e9acca80a14ae00      2698  K3_SIDE24_LB/UPPER2D/H3_closure/ceil_normal.txt  ->  H3_ceil_normal.txt
dcb3c8e6152876021c8b116903c9a7c1ac6be7417a9b4042b89c00b911fe565d      2835  K3_SIDE24_LB/UPPER2D/H3_closure/band_normal.txt  ->  H3_band_normal.txt
71aec64fd2f9da77512426fa18f713bfed72f9ee1d14138776cf1ef8cc16cc19     17083  K3_SIDE24_LB/LPW_CONSTANT/OPTIMIZATION_ANALYSIS.md  ->  LPW_OPTIMIZATION_ANALYSIS.md
76016d7bfe755a1b6c09be40393a46632e9b92711d744817a8f0a35fe9331b63      5780  K3_SIDE24_LB/LPW_CONSTANT/v3/LPW_CONSTANT_V3_REPORT.md  ->  LPW_CONSTANT_V3_REPORT.md
6a7e95be5e3a4abae26ce737c48662bec930d76dca818daba26aef4d6b76029c      3931  K3_SIDE24_LB/LPW_CONSTANT/v3/RECEIPTS_ERRATA_2026-09-15.md  ->  LPW_V3_RECEIPTS_ERRATA_2026-09-15.md
4a015174d369eabc16c60f2c6f2aade2feee113ed60c5d0b8d505624e9b02a8c     32750  K3_SIDE24_LB/LPW_CONSTANT/v3/lpw_constant_v3.py  ->  lpw_constant_v3.py
b06ee40c43f6e8aef266de2a7f4231fd8321676024f33c9132966b89b654b81c      4536  K3_SIDE24_LB/LPW_CONSTANT/v4/LPW_CONSTANT_V4_REPORT.md  ->  LPW_CONSTANT_V4_REPORT.md
a269a2bcb03e4eb6342fac938d0d303a947950034eb46e17ae598f59badcd71a      4160  K3_SIDE24_LB/LPW_CONSTANT/v4/CHANGED_INTERFACES_REVIEW.md  ->  LPW_V4_CHANGED_INTERFACES_REVIEW.md
d232d2a0d6b37d8fb465d3de8a9141b92f2d366460c38e928ab9f70d29ab689e      3915  K3_SIDE24_LB/LPW_CONSTANT/v4/RECEIPT.json  ->  LPW_V4_RECEIPT.json
4a63ada47c8bd6d189108358898c646af064c06755a6a855c4e7d3133acf4774      4529  K3_SIDE24_LB/LPW_CONSTANT/v4/MANIFEST.sha256  ->  LPW_V4_MANIFEST.sha256
12732d3222828d61c0449c562c5e00a1f5c36fb7646d8c4d030914e4c3f50c86     34538  K3_SIDE24_LB/LPW_CONSTANT/v4/lpw_constant_v4.py  ->  lpw_constant_v4.py
c1ac3bde91a86b8d78d02eee72f00ab04969bba2b39a1f5255b8692b04f67c1f     10442  K3_SIDE24_LB/RETURN_06/00_EXECUTIVE_STATE.md  ->  RETURN_06_00_EXECUTIVE_STATE.md
0ec315e527ec0a57553229ba98b7afc2151fe61c13cad1d0aa6a0d4ec3808905      7226  K3_SIDE24_LB/RETURN_06/THEOREM_TABLE.md  ->  RETURN_06_THEOREM_TABLE.md
cd248c950584678668076f4e9801c06f6c240b6d572af6707b9de823f56b78fe      9184  K3_SIDE24_LB/RETURN_06/OBLIGATION_LEDGER.md  ->  RETURN_06_OBLIGATION_LEDGER.md
ed8075644e5e43f2a8236f1315a2c71b19edfbc3bb4547bcd3f53b73639a7122      8268  K3_SIDE24_LB/RETURN_06/RUNNING_TASKS.md  ->  RETURN_06_RUNNING_TASKS.md
82ac0bf28bb7266ba93d8f395812519dadb0645f92d3c486406d35e8d6749644     14228  K3_SIDE24_LB/RETURN_06/ADVERSARIAL_REPORT.md  ->  RETURN_06_ADVERSARIAL_REPORT.md
345e71b048fde07597daf1b2aa33bf9dfb850314380959bd42a679d463f010d1      6890  K3_SIDE24_LB/RETURN_06/DEPENDENCY_DAG.md  ->  RETURN_06_DEPENDENCY_DAG.md
46d1eacf5ec83fa7eb91785d56ce86209533482c0c772a5a3bceea00bf1db9a5      7774  K3_SIDE24_LB/RETURN_06/PACKAGE_VERIFICATION.md  ->  RETURN_06_PACKAGE_VERIFICATION.md
1cb23846199cd82d0d6c64449af6dba08b6d0efc1ceecbf0f0975bf38ef05ec2      9400  K3_SIDE24_LB/RETURN_06/ADDENDUM_2026-09-15_H3_BAND_FLOOR.md  ->  RETURN_06_ADDENDUM_1_H3_BAND_FLOOR.md
8f8c0bc0905ab9c0c339a85ae04d7156c97ebb6540b55114263e86995f793f24     23695  K3_SIDE24_LB/RETURN_06/ADDENDUM_2026-09-15_B4LOC_PERC_DECAY.md  ->  RETURN_06_ADDENDUM_2_B4LOC_PERC_DECAY.md
5698f3fbdc70422438c2fd137f910cc973311d8c74d7cd579d7e8ae4d8789dc1     29557  K3_SIDE24_LB/RETURN_06/SOURCE_CAPSULE.sha256  ->  RETURN_06_SOURCE_CAPSULE.sha256
f3e9fa669dc4bdfef28f1de0b0e9a2d0994498cc65c7757fda758566c01dee43    129707  K3_SIDE24_LB/RETURN_06/TREE_MANIFEST.sha256  ->  RETURN_06_TREE_MANIFEST.sha256
5805e53d69541f00229e5e49e14d655afd1f471a2584a2117fedf0bb5298ddb0     11552  K3_SIDE24_LB/UPPER2D/D1_assembly/d1_falsify_v3.py  ->  d1_falsify_v3.py
58edc293a1127407d49040856ad9546d2577578381a4ff62c1c60a3c9911ac1d      7954  K3_SIDE24_LB/UPPER2D/D1_assembly/D1_V2_2_RECEIPTS.txt  ->  D1_V2_2_RECEIPTS.txt
125352325b09062fdc1f49402222402f388240f44b0f60b1e2636f19888c0615      7540  K3_SIDE24_LB/UPPER2D/H5_closure/H5_CLOSURE_TIGHTENING_2026-09-15.md  ->  H5_CLOSURE_TIGHTENING_2026-09-15.md
8821c8facc7e36635c4b84967ba55037ff5a33fff09359f817032eecaab24286      6069  K3_SIDE24_LB/UPPER2D/BRANCH_dir/BRANCH_DIR.md  ->  BRANCH_DIR.md
7547e76a813d1a0c582139e2d31d9ec6a6480e1eaf670d3eed05173bffead3df      6063  K3_SIDE24_LB/UPPER2D/BRANCH_dir/BRANCH_DIR_RECEIPTS_ERRATA_2026-09-15.md  ->  BRANCH_DIR_RECEIPTS_ERRATA_2026-09-15.md
70a3ba352f937384f79b0f9252afc0f1aa5ba1a24e318549c903838d7dfef059      9693  K3_SIDE24_LB/W3_numerics/W3_REPORT.md  ->  W3_REPORT.md
6cdb9dec403561cce2de17e4a48915afb3272880fb21edc53f6b99c11d236ea6     11956  K3_SIDE24_LB/[agent-tree]/19fcef2e-c1c2-8c6c-8000-0f5a243156d9/work/PHASE2_STATUS.md  ->  W8_PHASE2_STATUS.md
966c3d8f4934139017d8fadfd334ef473a8086ee4750a959831855b9f895428f      2332  K3_SIDE24_LB/[agent-tree]/19fcef2e-c1c2-8c6c-8000-0f5a243156d9/work/PHASE2_SCOPE.md  ->  W8_PHASE2_SCOPE.md
530c3038024964fd12ed2a6249f4f44d473181e0b49cb91f6cbdae0aff440d15     19043  K3_SIDE24_LB/W8_lambda/KIMI-DER-027c_NONCLOSURE.md  ->  KIMI-DER-027c_NONCLOSURE.md
