[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25,[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25,[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25,[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25,[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25,[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25,[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25,[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25,[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25,[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25,[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25,[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25,[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25,[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25,[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25,[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25,[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25,[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25,[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25,[merged] P0.2 EXACT-HASH REVIEW MANIFEST — 2026-07-25
Review objects,11,,9,,1,,NO,Dispatch packet,https://docs.google.com/document/d/15cXg4ypMCew35ioIAiwDut_RzZSt04A9n9QL64x2U8E/edit,,,,,,,,,,
[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008,[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008,[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008,[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008,[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008,[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008,[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008,[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008,[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008,[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008,[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008,[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008,[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008,[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008,[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008,[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008,[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008,[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008,[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008,[merged] TERMINAL DEPENDENCIES: P02-LM-001 · P02-LM-002 · P02-LM-005 · P02-LM-008
[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.,[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.,[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.,[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.,[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.,[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.,[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.,[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.,[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.,[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.,[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.,[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.,[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.,[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.,[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.,[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.,[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.,[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.,[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.,[merged] EXACT-HASH APPROVED: P02-LM-007. REMAINING REVIEW-PENDING GRAPH INTERFACES: P02-LM-003 · LM004 v1.1 · LM006 · LM009 · LM010 v1.1 · LM011 · LM012 · LM013. LM013 requires three exact review objects.
Order,Interface ID,Review Object ID,Artifact ID,Drive ID,Body Bytes,SHA-256,Exact Scope,Dependency Group,Interface State,Same-Family Audit,Same-Family Verdict,Independent Review Packet,Eligible Independent Reviewer,Exact-Hash Verdict,Terminal Eligible?,Downstream Role,Superseded / Warning,Source URL,Updated UTC
1,P02-LM-003,LM003-MAIN,LCR-DER-014-v1.0,1dnGjJWQOJgRBrF6aq4kIE31i2PBWD2nHs7VgToANx_s,6874,5173d26d6bfaae5ef65a8ae2d0ca9b829a291be3f7dacaba82bb38d2526bb83e,H1–H5 imply exact determinant-weighted boundary-layer probability O(r^3).,Gaussian–Palm / Boundary,MATHEMATICS REVIEWED / HASH PENDING,S2-AUD-004,PASS SAME-FAMILY; CL-AUD-241 DISTINCT-FAMILY MATHEMATICAL PASS; HASH CANNOT VERIFY,https://docs.google.com/document/d/13aLHEMKmN9n1v7PLSGbs_u_7dQ-Euvc91eWC4veIP0g/edit,Preferred: CL-AUD-241 reviewer with raw native export; otherwise full independent review,CANNOT VERIFY,NO,Abstract r^3 boundary integration,CL-AUD-241 mathematically passed the object but could not reproduce its frozen hash. Numerator-only proposition should be promoted to a citable statement.,https://docs.google.com/document/d/1dnGjJWQOJgRBrF6aq4kIE31i2PBWD2nHs7VgToANx_s/edit,2026-07-25T22:45:00Z
2,P02-LM-004 v1.1,LM004-MAIN,LCR-DER-016-v1.1,1tPt0KKJEKE6c-7xNwJW82dooRkDyANnToRErc3oWX84,10416,d43179f3abfd7e93f988725f3b89a5826cc71e0fa04840f65c7f93f3359d0f87,Adaptive C1 robustness and exact Taylor transfer preserve selected-branch capture.,Dynamics–Taylor,REVIEW-PENDING,S2-AUD-006,PASS WITH CLARIFICATIONS — ZERO INDEPENDENCE,https://docs.google.com/document/d/1LKbFbisGVoEwzm3W-23-rdnzEF6crjxYCK-3G3J5OrA/edit,Non-OpenAI dynamical-systems reviewer,PENDING,NO,Exact capture inclusion on REG∩G∩deep-threshold,v1.0 superseded; use explicit saddle-spectrum v1.1 only.,https://docs.google.com/document/d/1tPt0KKJEKE6c-7xNwJW82dooRkDyANnToRErc3oWX84/edit,2026-07-25T21:12:00Z
3,P02-LM-006,LM006-MAIN,LCR-DER-019-v1.0,1-czQmTN-M0EfLP1Smyd7iZJhIUuUfgXqo_aYI5Kqkw8,9147,239ed094f70aa4352021572ad8bdc0c6ac6404edab4e1d7e61addec0c6659150,"Exact full-field typed normalizer satisfies Z_r/r²→E[Q_L²1{Q_L<0}]∈(0,∞).",Gaussian–Palm / Normalizer,MATHEMATICS REVIEWED / HASH PENDING,S2-AUD-003,PASS SAME-FAMILY; CL-AUD-241 DISTINCT-FAMILY PASS WITH CLARIFICATION; HASH CANNOT VERIFY,https://docs.google.com/document/d/13aLHEMKmN9n1v7PLSGbs_u_7dQ-Euvc91eWC4veIP0g/edit,Preferred: CL-AUD-241 reviewer with raw native export; otherwise full independent review,CANNOT VERIFY,NO,Normalizer lower bound for every probability upper bound,"CL-AUD-241 supports the mathematics. Preserve explicit P02-LM-005 dependency, non-effective constants, denominator-direction wording repair, and frozen-body/addenda firewall.",https://docs.google.com/document/d/1-czQmTN-M0EfLP1Smyd7iZJhIUuUfgXqo_aYI5Kqkw8/edit,2026-07-25T22:45:00Z
4,P02-LM-007,LM007-MAIN,LCR-DER-021-v1.0,1-MwBVOSTcDG9NBrUx6WrOI-DVbWomc60uJkc47vIlU0,8541,5267dc4be0fd7eb986d30eb4f5aa3a415a0ba250acdf5b31afc2f984bbe310c9,Exact six-pin conditioned fifth-derivative supremum has a uniform sub-Gaussian tail.,Gaussian Process / High Tail,EXTERNAL EXACT-HASH APPROVED / TERMINAL-ELIGIBLE,S2-AUD-005,PASS SAME-FAMILY; CL-AUD-243 EXACT-HASH APPROVE,https://docs.google.com/document/d/1sgKUPTp50Wru2impXQVzYC-obdH01ApLx5qFpu00gnY/edit,COMPLETED — Anthropic CL lane under controlling LCR-REQ-023,APPROVE,YES,Conditioned H5 tail for G_r^c,One shared Anthropic mathematical reconstruction across CL-AUD-234/237/243; exact object approval is valid but creates no additional independence credit. No P0.2 promotion.,https://docs.google.com/document/d/1-MwBVOSTcDG9NBrUx6WrOI-DVbWomc60uJkc47vIlU0/edit,2026-07-25T22:45:00Z
5,P02-LM-009,LM009-MAIN,LCR-DER-027-v1.0,1OmNjEoWAQdW-LYRUakcYbnWqjIOq_GMJ1yXxCJPPCDM,3919,ccc07d959428519733c7fdf6c72f1bce63a40d0b0dc956ce0fe9f2ec459eb0b1,All fixed moments imply REG_r failure is O(r^N) for every requested N.,Moment Tail / REG,PRIMARY-VERIFIED / REVIEW-PENDING,S2-AUD-005; RS2-AUD-LM009-v1.0; RS2-DATA-LM009A/B; LCR-CAP-075,PASS WITH CLARIFICATIONS + 12/12 HOSTILE CONTROLS — ZERO ORGANIZATIONAL INDEPENDENCE,https://docs.google.com/document/d/17G4cRezBpLk9E1ds5rA615caPY9P19_JA80L57sF2ek/edit,Non-OpenAI probability reviewer,PENDING,NO,Regular-domain failure tail,No fixed exponential tail. Current review entry point: https://docs.google.com/document/d/1p47WqD1AsTXsHsCAPd5v7Y5cMVelVR42p3BKucak2Pc/edit,https://docs.google.com/document/d/1OmNjEoWAQdW-LYRUakcYbnWqjIOq_GMJ1yXxCJPPCDM/edit,2026-07-26T13:24:44Z
6,P02-LM-010 v1.1,LM010-MAIN,LCR-DER-030-v1.1,1Iqwm-8TcKNjrVQgeT71ip5Qg9C0qkkzr4rjageW9gZ0,9335,05e0f20f0feb938ab7fca43c49b1f70fd0b8a492138ae805a418a5d028177ef2,Exact good-boundary numerator uses subweight while denominator remains full exact normalizer.,Gaussian–Palm / Boundary Crosswalk,MATHEMATICS REVIEWED / HASH PENDING,S2-AUD-004,PASS SAME-FAMILY; CL-AUD-241 DISTINCT-FAMILY PASS WITH CLARIFICATION; HASH CANNOT VERIFY,https://docs.google.com/document/d/13aLHEMKmN9n1v7PLSGbs_u_7dQ-Euvc91eWC4veIP0g/edit,Preferred: CL-AUD-241 reviewer with raw native export; otherwise full independent review,CANNOT VERIFY,NO,Exact full-field good-boundary O(r^3) term,"CL-AUD-241 supports the mathematics. Add jet-law-a.e. qualifier, establish normalizer finiteness, and cite a labelled numerator-only proposition.",https://docs.google.com/document/d/1Iqwm-8TcKNjrVQgeT71ip5Qg9C0qkkzr4rjageW9gZ0/edit,2026-07-25T22:45:00Z
