Candidate ID,Track / Item,Exact closure target,Current status,Evidence grade,Remaining decisive work,Estimated closure cost,Ongoing resource leak,Proposed terminal label,Independent review needed,Human approval needed,Owner / next actor,Governing source,Queue state,Last reviewed
EC-005,A₂ fold gap identity,"Close the exact canonical-normal-form identity ℓ=r³/6, with coordinate-scope qualification retained.",TERMINAL — closed by GP-CLS-BATCH-017 after HA-006 conditional approval and CL-AUD-036 itemized 7/7 re-execution.,"Exact symbolic identity; CL derivation, GP independent audit, CL erratum preservation, additional hostile review.",NONE for the exact closed object. Reopen only on contradictory evidence tied to the recorded object card or scope.,VERY LOW — HUMAN TERMINAL DECISION ONLY,Repeated four-line algebra checks and confusion between canonical coefficient 1/6 and physical-field κ.,CLOSED — EXACT CANONICAL NORMAL-FORM IDENTITY,COMPLETED — AO48-AUD-021 §1 fresh recomputation; CL-DATA-032 C1 confirmation.,SATISFIED — HA-006 condition discharged by CL-AUD-036.,TERMINAL RECORD — no active owner,Individual: https://docs.google.com/document/d/10c4ryKQHDk6MROJfh8zeFPN5gjq576pKN2kUTp2_mDA/edit | Batch: https://docs.google.com/document/d/1_mFtoYRsORGtLSNeErCwPzdIuVmb2e2F1ayqyVJeARc/edit,TERMINAL — REMOVED FROM ACTIVE ATTENTION,2026-07-21 15:05 CDT
EC-006,Exact z₀(6/5) normalizer value,"Close the exact planar truncated-normal second-moment formula and decimal, while preserving the exact-torus coefficient distinction.",TERMINAL — closed by GP-CLS-BATCH-017 after HA-006 conditional approval and CL-AUD-036 itemized 7/7 re-execution.,Exact symbolic identity; CL re-execution; CW independent two-route verification; AO48 kill-ready census; fresh OpenAI derivation and scope audit.,NONE for the exact closed object. Reopen only on contradictory evidence tied to the recorded object card or scope.,VERY LOW — HUMAN TERMINAL DECISION ONLY,Repeated derivation and recurring conflation of the planar decimal with the exact side-24 torus coefficient.,CLOSED — EXACT PLANAR TRUNCATED-NORMAL SECOND-MOMENT IDENTITY,COMPLETED — AO48-AUD-021 §2 fresh derivation; CL-DATA-032 C2 confirmation.,SATISFIED — HA-006 condition discharged by CL-AUD-036.,TERMINAL RECORD — no active owner,Individual: https://docs.google.com/document/d/1N4bU2PNUk9_3fGU1B_mAj-C7b3AT4wvT7ApoZOZ0QlU/edit | Batch: https://docs.google.com/document/d/1_mFtoYRsORGtLSNeErCwPzdIuVmb2e2F1ayqyVJeARc/edit,TERMINAL — REMOVED FROM ACTIVE ATTENTION,2026-07-21 15:05 CDT
EC-007,Six-pin limiting conditional covariance,"Close the exact PLANAR_COALESCED law for P=(f,f_x,f_y,f_xx,f_xy,f_xxx)=(b,0,0,0,0,2) and J=(f_yy,f_xxy,f_xyy,f_yyy): E[J|P]=(-b,0,0,0), Cov(J|P)=diag(2,2,2,6).",TERMINAL — closed by GP-CLS-BATCH-017 after HA-006 conditional approval and CL-AUD-036 itemized 7/7 re-execution.,Exact symbolic identity; source battery; GP independent reexecution; CW acceptance; fresh first-principles OpenAI reconstruction.,NONE for the exact closed object. Reopen only on contradictory evidence tied to the recorded object card or scope.,VERY LOW — HUMAN TERMINAL DECISION ONLY,Repeated Schur-complement recomputation and conflation of planar coalesced with exact-torus finite-r laws.,CLOSED — EXACT PLANAR COALESCED SIX-PIN CONDITIONAL JET LAW,COMPLETED — AO48-AUD-021 §3 full covariance/Schur recomputation; CL-DATA-032 C3 confirmation.,SATISFIED — HA-006 condition discharged by CL-AUD-036.,TERMINAL RECORD — no active owner,Individual: https://docs.google.com/document/d/1kBBCBiYJ5eQ0pNduToaYTlJxA-7vQOmMSzCABt3ABtk/edit | Batch: https://docs.google.com/document/d/1_mFtoYRsORGtLSNeErCwPzdIuVmb2e2F1ayqyVJeARc/edit,TERMINAL — REMOVED FROM ACTIVE ATTENTION,2026-07-21 15:05 CDT
EC-008,Collision Gram determinant identity,"Close the exact PLANAR_COALESCED collision-map covariance matrix and det M=s⁸(c²+s²)(3c²+s²)/24 for the declared source jets, covariance, Y-map, and coordinate convention.",TERMINAL — closed by GP-CLS-BATCH-017 after HA-006 conditional approval and CL-AUD-036 itemized 7/7 re-execution.,Exact symbolic identity; source battery; GP independent reexecution; CW acceptance; planted perturbation control; fresh OpenAI derivation.,NONE for the exact closed object. Reopen only on contradictory evidence tied to the recorded object card or scope.,VERY LOW — HUMAN TERMINAL DECISION ONLY,Repeated symbolic determinant verification and convention drift across collision objects.,CLOSED — EXACT PLANAR COLLISION-GRAM COVARIANCE IDENTITY,COMPLETED — AO48-AUD-021 §4 matrix/determinant/negative-control recomputation; CL-DATA-032 C4 confirmation.,SATISFIED — HA-006 condition discharged by CL-AUD-036.,TERMINAL RECORD — no active owner,Individual: https://docs.google.com/document/d/1LCkRwiIOc0ThpM1EpC9_1oHSZrLIeYfT270KDWKVhIY/edit | Batch: https://docs.google.com/document/d/1_mFtoYRsORGtLSNeErCwPzdIuVmb2e2F1ayqyVJeARc/edit,TERMINAL — REMOVED FROM ACTIVE ATTENTION,2026-07-21 15:05 CDT
EC-010,Declared convex-combination identities,"Close the exact generic-chart and transverse-chart polynomial identities, with convex-combination and automatic-nonnegativity interpretation restricted to 0≤α≤1.",TERMINAL — closed by GP-CLS-BATCH-017 after HA-006 conditional approval and CL-AUD-036 itemized 7/7 re-execution.,Exact polynomial identities; AI edit 0003 source; AO48-REG-018 S4 census; second-line OpenAI reconstruction.,NONE for the exact closed object. Reopen only on contradictory evidence tied to the recorded object card or scope.,VERY LOW — HUMAN TERMINAL DECISION ONLY,"Repeated expansion checks and scope drift between exact equality, convexity, and broader fold conclusions.",CLOSED — EXACT DECLARED CONVEX-COMBINATION IDENTITIES,COMPLETED — OpenAI second-line expansion matched all coefficients; broader theorem implications excluded.,SATISFIED — HA-006 condition discharged by CL-AUD-036.,TERMINAL RECORD — no active owner,https://docs.google.com/document/d/1GNp80PpZ-ONaEKBllXVxDqbYyAGm35Xb-H1P2THmV6w/edit | AI edit 0003 Drive ID 1xMAeJYcjnqyFg16-sxnqjJi6MbB3cM-e | AO48-REG-018 S4,TERMINAL — REMOVED FROM ACTIVE ATTENTION,2026-07-21 15:05 CDT
EC-011,Adjoint-orbit conservation / section normalization,Close the exact conservation of w·∇f along the declared gradient/adjoint orbit and the zero consequence under the stated terminal transverse-section normalization.,TERMINAL — closed by GP-CLS-BATCH-017 after HA-006 conditional approval and CL-AUD-036 itemized 7/7 re-execution.,Exact differential identity; AI edit 0004 Note 2; AO48-REG-018 S5 census; strong dependent second-line OpenAI reconstruction.,NONE for the exact closed object. Reopen only on contradictory evidence tied to the recorded object card or scope.,VERY LOW — HUMAN TERMINAL DECISION ONLY,Repeated uncertainty around a deterministic normalization step and risk of laundering it into the unresolved global transversality theorem.,CLOSED — EXACT ADJOINT-ORBIT CONSERVATION / SECTION-NORMALIZATION IDENTITY,COMPLETED — OpenAI derived constancy and separately verified the normalization-dependent zero conclusion; global R0 gaps preserved.,SATISFIED — HA-006 condition discharged by CL-AUD-036.,TERMINAL RECORD — no active owner,https://docs.google.com/document/d/1HHQAwZCcxm_wDcMBFpzP-NLJD6xdGLxJ0ycrrck66yY/edit | AI edit 0004 Drive ID 1znQn1YWxcR3yPw-DtJSyWLThAGU_0JOc | AO48-REG-018 S5,TERMINAL — REMOVED FROM ACTIVE ATTENTION,2026-07-21 15:05 CDT
EC-012,Closed strip-threshold majorant,"Close the declared scalar objective C(μ)=β+μ+A/μ+B/μ² using μ̂=√A+(2B)^(1/3), the explicit C_closed bound, factor-two guarantee after subtracting β, exact A=0/B=0 endpoints, and the A=B=0 bypass.",TERMINAL — closed by GP-CLS-BATCH-017 after HA-006 conditional approval and CL-AUD-036 itemized 7/7 re-execution.,Exact one-variable inequalities and minimization; AO48-DER-011 §1–§2; GP-DER-037 source objective; OpenAI second-line derivation.,NONE for the exact closed object. Reopen only on contradictory evidence tied to the recorded object card or scope.,VERY LOW — HUMAN TERMINAL DECISION ONLY,"Repeated cubic-root optimization, omission of the A=B=0 bypass, and misuse of the factor-two statement without subtracting the base.",CLOSED — EXACT CLOSED STRIP-THRESHOLD MAJORANT,"COMPLETED — OpenAI rederived the upper bound, factor-two guarantee, endpoint exactness, and degenerate bypass.",SATISFIED — HA-006 condition discharged by CL-AUD-036.,TERMINAL RECORD — no active owner,https://docs.google.com/document/d/1DHOrg2nEpe2gSSyQTFuijdoOvh80For06TZ7aQAhu-o/edit | AO48-DER-011 1688uCkZmGCLjnOtq4ERpaS-kK0kGqzQM | GP-DER-037 15pI0fJJXeMkbwSxaMipc8lod3PeQ9jZc_Ju9mN6vUCQ,TERMINAL — REMOVED FROM ACTIVE ATTENTION,2026-07-21 15:05 CDT
EC-013,Elder-rule defect dichotomy,"Close the exact deterministic conditional inclusion {D(M)≠S}⊂Π_r∪Γ_r under the declared Morse, distinct-critical-value, and Morse–Smale hypotheses.",TERMINAL — closed by CL-CLS-055 after Dylan M. Roy’s direct approval.,Exact deterministic proof; 01_CORE_PAIRING_THEOREM Proposition 3.1; AO48-REG-018 S2 census; OpenAI second-line reconstruction; CL terminal package.,"NONE for the exact closed object. Reopen only by additive contradiction tied to the exact inclusion, hypotheses, or evidence package.",COMPLETE,"Routine re-derivation retired; broader probability, rate, transversality, adjacency, and P0.2 work remains active.",CLOSED — EXACT CONDITIONAL ELDER-RULE DEFECT DICHOTOMY,COMPLETED — strong dependent second-line verification; primary proposition visible; no probability estimate imported.,SATISFIED — Dylan M. Roy approved EC-013 in direct response to the sole pending human-ready closure.,TERMINAL RECORD — no active owner,Closure: https://docs.google.com/document/d/1ZC2H_xRZa9XgaMeDnzPXffiHoemPiOIDrdvqUSQtqjg/edit | Proposal: https://docs.google.com/document/d/1PwQHKs1owsjUklKUZ1krZs6mr61eO_gPThlfFRR0BUc/edit | Source: https://drive.google.com/file/d/1wXPF-YurmEvy_5U_nMkqGKI9_zeXGKd0/view,TERMINAL — REMOVED FROM ACTIVE ATTENTION,2026-07-21 16:05 CDT
EC-014,Corrected six-pin pair-frame Jacobian and contact-power identity,"Close only the declared T_r ordering, det T_r=-r^-5 or |det|=r^-5, p_X=r^-5p_Y, mutation witness, and (r^3/6)r^-5r^2=1/6.",TERMINAL — closed under HA-007 V2 with explicit line-independence qualification; exact narrow algebraic scope only.,PRIMARY SOURCE + GP RECONSTRUCTION + CL RECONSTRUCTIONS + FRESH C047R PRIMARY-SOURCE/SYMPY REVIEW / ALL TECHNICAL GATES COMPLETE,NONE for the exact closed object. Reopen only under the package-specific additive contradiction or operator revocation.,COMPLETE,NONE — terminal record only; broader excluded dependencies remain active separately.,CLOSED — EXACT CORRECTED SIX-PIN PAIR-FRAME JACOBIAN AND CONTACT-POWER IDENTITY,SATISFIED — C047R-AUD-001-v1.0 files APPROVE EXACT SCOPE and discharges frozen gate 5.,SATISFIED — HA-007 V2 explicit operator approval.,TERMINAL RECORD — no active owner,Package: https://docs.google.com/document/d/1bJCssk6aLIJGuzHaKan1BNEV5RPRzFVhNQ92monbZn8/edit | Review: https://docs.google.com/document/d/1z9VnetmhM00hA_K6ikgPT64hrf6swtVSWN58Al7I-Co/edit | Decision source: https://drive.google.com/file/d/15G8einf2JsuIrAV5UmXJ3Ss1i5qgBnxW/view | Closure: https://docs.google.com/document/d/1-WDQtU4LpHneNztZss6ctg__lKhsyGnXdYC4Y7wM6Fc/edit,TERMINAL — REMOVED FROM ACTIVE ATTENTION,2026-07-22
EC-015,Repaired witness-parameterized degree-four PRCP event,"Close only the exact existence/nonemptiness and local openness of the GP-DER-092 degree-four witness event at the declared r=1/20 fixture, and record CL-DER-058-v1.1 as superseded for degree-four execution only.",TERMINAL — closed under HA-007 V2; exact repaired degree-four witness existence/nonemptiness/local-openness scope only.,BYTE-EXACT GP SOURCE + STRICT FIXTURE + 5/5 CONTROLS + INDEPENDENT CL RECONSTRUCTION,"NONE for the exact closed object. Exact-field transfer, occupancy, probability, P0.2, and theorem work remain separate.",COMPLETE,NONE — terminal record only; broader excluded dependencies remain active separately.,CLOSED — EXACT NONEMPTY WITNESS-PARAMETERIZED DEGREE-FOUR PRCP EVENT; CL-DER-058-v1.1 SUPERSEDED FOR DEGREE-FOUR EXECUTION,SATISFIED — CL-AUD-060 independently agrees and reconstructs; AO48/CW remain optional corroboration for this narrow object and active for exact-field continuation.,SATISFIED — HA-007 V2 explicit operator approval.,TERMINAL RECORD — no active owner,Package: https://docs.google.com/document/d/1dzYVO2gQOvfs7vZQVSCw_-7PcCwMTYy4pFdQqrcvzkU/edit | Review: https://docs.google.com/document/d/1HeGQruljJftcx6ffInExXcyS8_IQOOH0TjTj80WOXrY/edit | Decision source: https://drive.google.com/file/d/15G8einf2JsuIrAV5UmXJ3Ss1i5qgBnxW/view | Closure: https://docs.google.com/document/d/1-WDQtU4LpHneNztZss6ctg__lKhsyGnXdYC4Y7wM6Fc/edit,TERMINAL — REMOVED FROM ACTIVE ATTENTION,2026-07-22
