artifact,kind,bytes,sha256,drive_id,parent_or_surface,status,notes
LS-CTL-003-v1.2.md,raw,4875,f09d5966e347aa444a138fd0337c8eaf29fdefc9d8259fa275e6a973d8814416,1Viah0Ly0IoNrpf7slJxXxzTv_Uv_bTC7,19Wop_DYTcU5X_gCaKKKAGoe436XsEf-T,FROZEN,N1/D0/I0 TRUE; APPLICATION TRUE; FOUNDATION E0 and E2 residual; P0.1 HOLD
LS-CTL-003-v1.2 Native Audit Mirror,native_doc,,,1SpK13rxdmWd-PJy-iQgfqyp-5Kmf6-bbZmzbifyf2nE,19Wop_DYTcU5X_gCaKKKAGoe436XsEf-T,MIRROR,raw f09d5966… controls
S2-LS-TBG1-M1-ETA-ADJACENCY-AMENDMENT-v1.0.md,raw,3861,e88536402a093ba7c08d3a5852b013023abd5b27717b44bf7574d5d4e31e11c1,1eWek6vpZfDBhmgJbrKyja88Fpj8zYRt8,19Wop_DYTcU5X_gCaKKKAGoe436XsEf-T,FROZEN,M1 Borel repair plus eta_r transfer annotation; no AO48-OPR-045 reopening
S2-LS-TBG1-M1-ETA Amendment Native Audit Mirror,native_doc,,,1CcKMpOTJYAys2NBrB5SkgLG7ZJ64qODMfhAh1opwJ9k,19Wop_DYTcU5X_gCaKKKAGoe436XsEf-T,MIRROR,raw e8853640… controls
KIMI_ROUND6_7_VERBATIM_CARRIER_AVAILABILITY_2026-08-02.md,raw,3126,d036710b66d1bc3b906ce44af0ac37772e5a04634b9e4b4ec50d856e8d359868,1ovQ3uivrWYbcPmWH-XsGTuw7Np6eryga,19Wop_DYTcU5X_gCaKKKAGoe436XsEf-T,NEGATIVE_PROVENANCE,006/006b landed; exact 012/013/014/DATA-015/016 bytes absent
Kimi Round 6+7 Verbatim Carrier Availability Native Mirror,native_doc,,,1zP8Efouk2EBtk_0ta_rpJpH5Kz5NXhMsBqRd5hMEaS4,19Wop_DYTcU5X_gCaKKKAGoe436XsEf-T,MIRROR,raw d036710b… controls
GP-DATA-214_SOURCE_native_text_export.txt,raw_export,39786,47a7730755f5bd8d75e1d17dbf68e96463a2145f5e3e0f792ea86a88ea315050,1um4cEhBOODbPrkObHtHev_3MO9zknmbb,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,full native text export
GP-DATA-214_RESULT_native_text_export.txt,raw_export,12440,e4fd486ba0b1a5d1827e918ce52e92110784a6922abf77dac7d0e955d434e883,17xyN3Vckj3C_GNxyZIRWftlTNHZeEreB,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,full native text export
GP-DER-197_native_text_export.txt,raw_export,25495,1974183747617041ab84d679fa632f8c22d9cf3dd09ed97ae27ad9f7b9573f71,1WWnTp9MGs16Dl4qYj79rV9q6uJDpKsuV,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,full native text export; exact frozen body is separate 13797-byte row
LCR-DER-057-v1.1_native_text_export.txt,raw_export,16318,4c8b67608d4e9f897df9907f97d9cc8451836cf0e9caa62fc66d8c58017e0ef3,1jPE-n6MmgRpKEQmtRC_soh7JXgZI7a3H,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,full native text export
LCR-DER-061-v1.1_native_text_export.txt,raw_export,13882,35173b2b7ab51845e4c4ab789c61412490d76b5429711416d0a8c611f5ba0340,1hrW3x-4qAgaEWRo-WewhcLdgFuwIcrBE,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,full native text export
LS-DER-026_native_text_export.txt,raw_export,15281,861de456e777255967a243e03a84d9c4496679a49fbd6d8e816eaa549bb24df5,1RDQYQFqR8NGL5Q0YTYxw_7QXdV7wo54V,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,full native text export
