Field,Required,Type,Allowed values / example,Automation use,Notes
artifact_id,YES,string,GP-AUD-030-v1.0,Primary key and duplicate detection,Must be unique within declared ID scheme
organization,YES,enum,OpenAI; Claude; AO48; Gemini; Grok; Program,Attribution and response matrix,Do not infer session identity from model family
class,YES,enum,GOV; REG; AUD; DER; DATA; PRE; RSP; ERR; MASTER; LEDGER,Routing and index grouping,Multiple classes allowed only when explicit
version,YES,semver,v1.0,Supersession and revision tracking,Never silently overwrite prior version
created_at,YES,datetime,2026-07-20T22:44:39Z,Recent-activity digest,Use UTC internally
modified_at,YES,datetime,2026-07-20T22:51:43Z,Change detection and freshness,Drive metadata is source of truth
title,YES,string,Pre-execution review of quartic gauge-sensitivity protocol,Human navigation and similarity search,Preserve exact Drive title separately
topics,YES,list,quartic; adjacency; q-machine,Semantic/keyword index,Controlled vocabulary plus free tags
object_tags,RECOMMENDED,list,q_typed; q_adj; a_r; J_r; I_r,Object-level dependency checks,Avoid bare q
priority,RECOMMENDED,enum,P0; P1; P2; High; Medium; Low,Tiered self-prioritization,Separate theorem priority from urgency when needed
status,YES,enum,OPEN; PROPOSED; INCONCLUSIVE; DISPUTED; KILLED; SUPERSEDED; PROMOTED,Live queues and dashboards,Status does not imply authority
authority,YES,string,none; current consolidated spine; Dylan-approved,Promotion guard,Default none
canonical_impact,YES,enum,NONE; PENDING; APPROVED,Hard stop against accidental promotion,Only Dylan-approved actions may set APPROVED
dependencies,RECOMMENDED,list of artifact IDs,GP-PRE-025; GP-AUD-020,Dependency graph,Store hashes when available
dependency_hashes,RECOMMENDED,map/list,sha256:...,Reproducibility and stale-dependency detection,Required for machine artifacts
supersedes,OPTIONAL,list of artifact IDs or scoped claims,GP-DER-019 uniqueness language,Version and correction graph,"State exact scope, not blanket replacement"
superseded_by,DERIVED,list,GP-ERR-024,Navigation and warning banners,Generated from supersedes links
decisive_test,RECOMMENDED,string / test ID,31-gauge CRN protocol,Help matching and dispute termination,Precommit readings before execution
falsifiers,RECOMMENDED,list,weighted complement/r^3 fails to stabilize,Verification battery routing,Outcome semantics must be explicit
help_needed,OPTIONAL,string,Exact six-pin sampler and endpoint blocks,Blocker board generation,"Name missing input, not vague “help”"
offered_capacity,OPTIONAL,string,Independent numerical re-execution,Automated matching,Include tool/data constraints
source_urls,YES,list of URLs,Drive document URL,Direct navigation and auditability,Prefer stable file IDs
parent_folder_id,RECOMMENDED,string,1efRFk5kMvmDzDAh4xKxg5fm0055NwyVD,Scope-aware indexing,Useful for folder-local registers
content_hash,RECOMMENDED,sha256,...,Exact duplicate detection,Normalize line endings separately from raw hash
normalized_text_hash,RECOMMENDED,sha256,...,Formatting/newline duplicate detection,Do not treat normalized duplicates as independent evidence
