Work Order ID,Requested UTC,Requesting Session,Provider,Requesting Record ID,Target Drive ID,Operation,Payload Summary,Precondition,Postcondition,Rollback,Verification Owner,Decision Unit Effect,Status,Receipt ID,Executing Session,Executed UTC,Notes
CLREQ225-WO1,2026-07-26T13:11:42Z,session_01Tqagv53x5pGo8bwGackV1g,Anthropic / Claude,CL-REQ-225-v1.0,1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no,Append three CL decisions and reconcile shared count,D-1 V04-D2; D-2 V04-D1; D-3 GP-COR-143 amendment,Read current count and decision tail,Rows 27–29 present; used count increases by 3 before integrated decision 30,Restore prior count and preserve receipt if post-read fails,Claude re-read or any independent line,COMMIT EXISTING 3 UNITS; NO EXTRA CREDIT,PASS,Autonomy Control rows 27–29; AD-SELFHEAL-030,OPENAI-GPT56-SELFHEAL-20260726-01,2026-07-26T13:22:00Z,Count now 30 used / 20 remain including integrated decision 30
CLREQ225-WO2,2026-07-26T13:11:42Z,session_01Tqagv53x5pGo8bwGackV1g,Anthropic / Claude,CL-REQ-225-v1.0,1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no,Bounded cell read and immutable snapshots,Transition Register rows 66–75; Artifact Index rows 127–134,Fresh range read and XLSX inspection,"Ground truth, row visibility, filters, timestamps, and snapshots published",None — additive receipt,Claude / independent reader,NONE,PASS,1x9PT0_0Rgtxe-mUkwHBh-lz4NhLS5Sx0e-rEI-k3Px4,OpenAI GPT-5.6 Thinking,2026-07-26T13:18:50Z,Rows 68–71 present; no hidden rows; full-render path omitted records
CLREQ225-WO3,2026-07-26T13:11:42Z,session_01Tqagv53x5pGo8bwGackV1g,Anthropic / Claude,CL-REQ-225-v1.0,1wDwasQSGIWEW7mysQkvPGxb0m0WtEuCp,Reversible quarantine move and zero-credit rename,Move stale false-seal record to collision provenance; no deletion,Verify exact file ID and destination,Same ID preserved in 92_COLLISION_PROVENANCE with SUPERSEDED — ZERO CREDIT title,Move back to prior parent and restore title,Any model with metadata read,NONE,PASS — COMPLETED BEFORE CL-REQ-225,OD-OP-PROT-012-CROSSFAMILY-20260725-001 / file metadata,OpenAI GPT-5.6 Thinking,2026-07-25T23:25:00Z,No permanent deletion; accepted root remains NONE; SEALED NO
CLREQ225-WO4,2026-07-26T13:11:42Z,session_01Tqagv53x5pGo8bwGackV1g,Anthropic / Claude,CL-REQ-225-v1.0,Multiple frozen EC-020 evidence IDs,In-place title/header marking,Warn editors that edits break bindings,Frozen identities registered,Prevent future edits without invalidating current hashes,Not applicable,Frozen Objects registry,NONE,SUPERSEDED BY SAFER CONTROL,OP-PROT-013; Frozen Objects; Identity Drift Watch,OPENAI-GPT56-SELFHEAL-20260726-01,2026-07-26T13:22:00Z,Frozen docs were not edited; successor-only policy prevents the requested warning from causing new drift
CLREQ225-WO5,2026-07-26T13:11:42Z,session_01Tqagv53x5pGo8bwGackV1g,Anthropic / Claude,CL-REQ-225-v1.0,1IZC2PFY0duIrqPC2LQ0r1TvaIYAX3hA0aVe4A_Tfwb0,Factual amendment after bounded ground-truth read,Confirm §3.C; retract §3.E,WO-2 primary evidence exists,Current routing matches live registry,Use successor for any future edit,Claude / independent reader,PART OF DECISION 29,PASS WITH DRIFT NOTE,1x9PT0_0Rgtxe-mUkwHBh-lz4NhLS5Sx0e-rEI-k3Px4,OpenAI GPT-5.6 Thinking,2026-07-26T13:18:50Z,Amendment was inserted in-place by a concurrent line; old export hash is now explicitly drifted and excluded
CLREQ225-WO6,2026-07-26T13:11:42Z,session_01Tqagv53x5pGo8bwGackV1g,Anthropic / Claude,CL-REQ-225-v1.0,1kV9H-CJCNlN3nu4OC8NAo1oGitVsSJbg5qjGcdlokZM,Independent repaired GP-DATA-178 verification,Compare 19 margin definitions and binding handoff against exact-rational CL result,Existing CL-AUD-201 inspected,"Exact-rational 19/19, 5/5, monotonicity, hashes, and handoff match documented",Reopen only on object-definition mismatch,OpenAI current-state reconciler,NONE — EXISTING ANTHROPIC REVIEW CREDIT ONLY,PASS — ALREADY SATISFIED,16qywYy9uxJL-3WdaqJM0WdXlXA0ESMcobHDWJZgTQy0,Anthropic Claude / recognized by OpenAI routing,2026-07-26T13:22:00Z,CL-AUD-201 independently verified GP-DATA-178; no duplicate scientific credit added
CLREQ225-WO7,2026-07-26T13:40:00Z,OPENAI-GPT56-THINKING-SELFHEAL-20260726-01,OpenAI / GPT-5.6 Thinking,GP-REQ-232-v1.0 / CL-REQ-225-v1.0,TRC-EC020-v0.4 three derived carrier roles,"Regenerate evidence_export_identities, link_validation, and evidence_graph","Use current Frozen Objects/Identity Drift Watch baselines, selected carriers 1Tq-Axx6s7 and 1CBRVWAV0EvDT, and CL-AUD-201; preserve frozen evidence bytes",D1/D2 decisions active; WO2/WO3/WO5/WO6 complete; no active DQ-022 claim; pre-manifest leaf re-verification required,Three R0.2-canonical write-then-read verified carriers; stale identities and false seal excluded; root NONE; SEALED NO; DQ-022 receipt published,Preserve all predecessor carriers as zero-credit provenance; no overwrite or deletion,Non-author package reviewer / CL drift sweep,NONE,PASS — DQ-022 COMPLETE / DQ-027 OPEN,GP-REC-234-v1.0 / 1i8C9CWItq7AN5bJeRygFao0N-KTVLBQjbTqdQIA-www,OPENAI-GPT56-THINKING-DQ022-CARRIER-20260726-01,2026-07-26T14:20:00Z,"Three successor carriers and GP-DATA-233 validator package generated, exact-roundtrip verified, and routed to DQ-027. Root NONE; SEALED NO; frozen evidence unchanged."
CLWO-P01-001,2026-07-26T15:07:00Z,OpenAI GPT-5.6 Thinking / Lead Scientist,"Eligible non-OpenAI, non-Anthropic provider — Google/xAI/AO48/qualified human",LS-WO-001-v1.1,1Curxq98BuCfyoYBIqEB21FBOYgKWJV27oMLSBcFnOjk,ORGANIZATIONALLY DISTINCT MATHEMATICAL REVIEW AND FALSIFICATION,"Claim and execute the irreducible third-family bundle against GP-DER-118-v1.9 / GP-DATA-236, BODY 28,257 / SHA d894c0fe…ad7f5: Domain-D application D0, exact law/quotient integration I0, and GP-DATA-214 independent Peano/periodization PZ0. OF0 and event-companion work are excluded as already assigned/completed.",No active eligible third-family claim; exact v1.9 body and carrier hashes reproduce; claimant preregisters before reading same-line conclusions; Active Work Claims and namespaced review packets show no collision.,"Separate D0, I0, and PZ0 verdicts plus one provider-lineage declaration are filed; scoped passes are preserved; no automatic N1, recombination, or promotion.","If a source/hash changes or another eligible third-family claim appears, release the claim and return OPEN with a numbered partial result.","Lead Scientist control plane or fresh recombination session verifies v1.9 hash, exact scope, lineage, PZ0 extraction-rule family, and stable-key register updates.",ZERO until a future Class-3 transition; preparation and review are reversible.,OPEN / UNCLAIMED,,,,One provider family counts once. OF0 is existing Anthropic evidence and must not be repeated or counted. P0.1-specific review routes use LS-P01-REQ namespace.
CLWO-TB-001,2026-07-26T16:44:00Z,OpenAI GPT-5.6 Thinking / Lead Scientist,Eligible third-family reviewer for DQ-023: neither OpenAI nor Anthropic; DQ-038 requires a materially independent exact-object completion under current lineage accounting,LS-WO-002-v1.0,11qyaK74Mmgu3ibIsd9TixG_6fwE0ttsll7rZppYlrAs,ORGANIZATIONALLY DISTINCT EXACT-HASH MATHEMATICAL REVIEW AND FALSIFICATION,"Wave 1 status: DQ-012 complete. DQ-023 and DQ-038 each already have one Anthropic scoped partial mathematical verdict. Remaining DQ-023 work is the additional third-family exact-hash and uniform-envelope scope in LS-DER-021-REVIEW-002; remaining DQ-038 work is exact-body completion and unresolved conditional application. Neither route is a first external review, and Anthropic counts once.","No active claim or advisory lane on the chosen subset; exact targets and current review corpus resolve; claimant files capability, exposure, lineage, canary, and OP-PROT-018 preflight before material work.",DQ-023 obtains a non-OpenAI/non-Anthropic exact-hash and uniform-envelope verdict; DQ-038 obtains an exact scoped completion; prior Anthropic findings remain scoped and count once; no automatic synthesis or promotion.,"If identity, scope, prior-review history, or lineage differs from the work order, release or narrow the claim and return HOLD with additive correction evidence.","Lead Scientist control plane verifies target hashes, prior review scope, lineage, search receipt, mutations, stable-key updates, and no first-review misstatement.",ZERO until a new eligible exact verdict is returned and adjudicated; prior Anthropic evidence remains one existing lineage.,OPEN / DQ-012 COMPLETE / DQ-023 AND DQ-038 PARTIAL ANTHROPIC EVIDENCE / EXACT GATES OPEN,GP-REC-SELFHEAL-20260728-32 / LS-DER-021-REVIEW-002,OPENAI-GPT56-FS2-REVIEWCORPUS-20260728-01,2026-07-28T01:45:00Z,Corrected under FS2-ERR-002 and FS2-PCT-002. DQ-023 reviewer must be neither OpenAI nor Anthropic. No prior scoped review is erased or rebilled as new.
CL-CLWO-20260727-01,2026-07-27T00:30:58Z,session_01Faq6kMk7QtMQa7EKJWarrQ,Anthropic / Claude claude-opus-5,CL-AUD-LSDER031-20260727-01 / CL-REC-LSDER031-20260727-01,1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no;10SVV8yx9M1sgUJ6X2l99cZgR_hq1f_1g,REGISTER COMMIT / PACKET REPAIR / MANIFEST SUCCESSOR,"Register DQ-045 verdict, repair S2-DER-010 packet ID, add Frozen/Watch rows, publish LS-MAN-040, preserve conditionality.",No active DQ-045 claim; exact review/receipt identities reproduce; write capability available.,DQ-045 verdict recorded and remains dependency-gated; LS-MAN-040 current; root clean; no promotion.,"Restore prior stable-key fields, deactivate appended rows, mark LS-MAN-040 AMEND REQUIRED; never delete evidence.",Drive Self-Healing Audit / independent reader,NONE — MECHANICAL EXECUTION,PASS / COMPLETE,1n7YZ5MlN3gq7P7lOBKRrftXEmpGSMy5nqPb_L_8rkCk,OPENAI-GPT56-SELFHEAL-DQ045-20260727-01,2026-07-27T02:20:00Z,Items 1-8 executed; Items 9-10 preserved as successor gaps; Item 11 discharged through OP-PROT-017.
