Evidence ID,Recorded UTC,Exact Object ID,Drive ID,Artifact ID,Evidence Role,Primary Evidence,Summary Only,Derives From,Code Fixture ID,Computational Fixture ID,Methodological Family,Review ID,Evidence Class,Source URL,Status
EV-CAI-GUIDANCE,2026-07-21T15:40:00Z,GP-AUTO-034-v1.2-CAI,1-9ePRpp28DN19YFbdsGqKVXfIAdnScyt8BpV0lEdY8A,OP-GDN-002,GOVERNANCE_PRIMARY,FALSE,FALSE,,,,Operator guidance,,GOVERNANCE DIRECTIVE,https://docs.google.com/document/d/1-9ePRpp28DN19YFbdsGqKVXfIAdnScyt8BpV0lEdY8A/edit,PASS
EV-CAI-SOURCE,2026-07-21T15:40:00Z,GP-AUTO-034-v1.2-CAI,1VgVzVTzUVyPPClpah9bTIZtbyq37pydlxu_u4MMPbv8,GP-AUTO-034-v1.2-CAI,PRIMARY_DERIVATION,TRUE,FALSE,GP-AUTO-034-v1.1,SHA256:1062a63c4a21caac4b7c9f6ae9674d9fbb1a9790c67dd73e8fff6393ec4509ee,Node V22 VM harness,OpenAI implementation lineage,REV-CAI-SELF-001,EXECUTABLE ARCHITECTURE SOURCE,https://docs.google.com/document/d/1VgVzVTzUVyPPClpah9bTIZtbyq37pydlxu_u4MMPbv8/edit,PASS
EV-CAI-CONTRACT,2026-07-21T15:40:00Z,GP-AUTO-034-v1.2-CAI,18-txtvK94bt2ImmuomKVM5fbUMlpccoQZajTV00xot0,GP-AUTO-034-v1.2-INSTALL,FORMAL_PROOF,TRUE,FALSE,OP-GDN-002; GP-AUTO-034-v1.1 contract,SHA256:b9240ccd5c96785a68cc233f140315a3f7263d6b073eeb191e51e25deb872813,,Formal architecture specification,REV-CAI-SELF-001,ARCHITECTURE CONTRACT,https://docs.google.com/document/d/18-txtvK94bt2ImmuomKVM5fbUMlpccoQZajTV00xot0/edit,PASS
EV-CAI-TEST,2026-07-21T15:40:00Z,GP-AUTO-034-v1.2-CAI,1VgVzVTzUVyPPClpah9bTIZtbyq37pydlxu_u4MMPbv8,GP-AUTO-034-v1.2-TEST-RECEIPT,EXECUTABLE_RECEIPT,TRUE,FALSE,EV-CAI-SOURCE,SHA256:1062a63c4a21caac4b7c9f6ae9674d9fbb1a9790c67dd73e8fff6393ec4509ee,T1–T32 Node VM harness,Independent execution path within same model session,REV-CAI-SELF-001,ADVERSARIAL TEST RECEIPT,https://docs.google.com/document/d/1VgVzVTzUVyPPClpah9bTIZtbyq37pydlxu_u4MMPbv8/edit,PASS
EV-EC009-PRIMARY,2026-07-21T15:55:00Z,PLANAR_COALESCED_BF_CONDITIONAL_NINE_JET,1AqelaMkARv-n_i_zOKZlm0f3kYb9xSNcTcaU-qnG61Y,GP-DER-019-v1.0,PRIMARY_DERIVATION,TRUE,FALSE,Primitive planar Bargmann–Fock derivative covariance rule,,,Moment-formula covariance assembly and Gaussian Schur complement,,EXACT DERIVATION,https://docs.google.com/document/d/1AqelaMkARv-n_i_zOKZlm0f3kYb9xSNcTcaU-qnG61Y/edit,PASS
EV-EC009-AO48,2026-07-21T15:55:00Z,PLANAR_COALESCED_BF_CONDITIONAL_NINE_JET,1TGGWvrBZ7hDqoYYL3mWWDnLgwbpvV7IJ,AO48-DER-007-v1.0,INDEPENDENT_RECONSTRUCTION,TRUE,FALSE,EV-EC009-PRIMARY,,,Entry-by-entry Schur-complement reconstruction,REV-EC009-AO48-001,STRONG DEPENDENT VERIFICATION,https://drive.google.com/file/d/1TGGWvrBZ7hDqoYYL3mWWDnLgwbpvV7IJ/view,PASS
EV-EC009-CW,2026-07-21T15:55:00Z,PLANAR_COALESCED_BF_CONDITIONAL_NINE_JET,1LSTsqJ2JLPso4BoFO1HbNSmVv4rV32L2,CW-CLS-023-v1.0,EXECUTABLE_RECEIPT,TRUE,FALSE,Primitive kernel object card; final comparison to GP-CLS-006,CW direct-kernel SymPy route,CW sensitivity-witness battery,Direct kernel differentiation and symbolic matrix computation,REV-EC009-CW-001,INDEPENDENT SYMBOLIC RECONSTRUCTION RECEIPT,https://drive.google.com/file/d/1LSTsqJ2JLPso4BoFO1HbNSmVv4rV32L2/view,PASS
EV-EC009-CLOSURE,2026-07-21T15:55:00Z,PLANAR_COALESCED_BF_CONDITIONAL_NINE_JET,1rnt44lHgDDF2wz7M6k1zcocGlcitjhNoGTN9VvJyVR4,GP-CLS-006-v1.0,CLOSURE_RECORD,FALSE,FALSE,EV-EC009-PRIMARY; EV-EC009-AO48; EV-EC009-CW,,,Operator-approved additive closure package,REV-EC009-AO48-001; REV-EC009-CW-001,TERMINAL CLOSURE RECORD,https://docs.google.com/document/d/1rnt44lHgDDF2wz7M6k1zcocGlcitjhNoGTN9VvJyVR4/edit,PASS
EV-P02-PRIMARY,2026-07-21T16:30:00Z,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,1jm1WxNmDd_rBLZA9FQsc2Nlzb9_PPCuEBV0fX3mCL1c,GP-DER-047-v1.0,PRIMARY_DERIVATION,TRUE,FALSE,GP-DER-037; GP-DER-043; both GP-DER-044 objects by full title/Drive ID; GP-DER-045; GP-DER-046,GP-DATA-048-v1.0,Exact finite-r nine-jet and trajectory fixtures,Deterministic capture majorant plus Gaussian-Palm integration and exact-field transfer,REV-P02-AO48-001; REV-P02-CW-001,CANDIDATE EXACT PROOF CHAIN,https://docs.google.com/document/d/1jm1WxNmDd_rBLZA9FQsc2Nlzb9_PPCuEBV0fX3mCL1c/edit,PASS-WITH-BLOCKERS
EV-P02-INSTRUMENT,2026-07-21T16:30:00Z,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,1w6WRUZIrKift4jp_hfs9Lgq3QU7MAO5fchY_NNjK4dk,GP-DATA-048-v1.0,INSTRUMENT_SOURCE,TRUE,FALSE,GP-DER-047 deterministic inequalities,GP-DATA-048-v1.0,Nine frozen positive/negative controls,Fail-closed certificate implementation,REV-P02-CL-001,INSTRUMENT — DECLARED DOMAIN ONLY,https://docs.google.com/document/d/1w6WRUZIrKift4jp_hfs9Lgq3QU7MAO5fchY_NNjK4dk/edit,CLOSED-INSTRUMENT
EV-P02-AO48,2026-07-21T16:30:00Z,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,18zeGKNIB_nngLLGrF70pO4WZXQl-9EMG,AO48-AUD-012-v1.0,INDEPENDENT_REVIEW,TRUE,FALSE,EV-P02-PRIMARY; GP-DER-043,None,None,Gaussian/Palm hand audit and object-identity crosswalk,REV-P02-AO48-001,PARTIAL THEOREM REVIEW,https://drive.google.com/file/d/18zeGKNIB_nngLLGrF70pO4WZXQl-9EMG/view,PASS-PARTIAL
EV-P02-CW,2026-07-21T16:30:00Z,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,1dpU3wqvXKxy5ICs0_IMqx75pygnD7QDq,CW-AUD-018-v1.0,INDEPENDENT_RECONSTRUCTION,TRUE,FALSE,GP-DER-045; GP-DER-047 interface,None,None,Constructive rederivation of exact-field transfer and exponent interface,REV-P02-CW-001,VERIFIED COMPONENT REVIEW,https://drive.google.com/file/d/1dpU3wqvXKxy5ICs0_IMqx75pygnD7QDq/view,PASS-COMPONENT
EV-P02-GLOBAL,2026-07-21T16:30:00Z,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,1EbmWWso96p8AcI5eX0BdAWSKr8j41z2R,AO48-AUD-023-v1.0,GLOBAL_OBJECT_AUDIT,TRUE,FALSE,Active P0.2 chain; AO48-AUD-008; operator guidance,None,None,Cross-model target-alignment and error-to-architecture audit,REV-P02-AO48-GLOBAL-001,GLOBAL OBJECT AUDIT,https://drive.google.com/file/d/1EbmWWso96p8AcI5eX0BdAWSKr8j41z2R/view,PASS-WITH-DRIFT-WARNING
EV-QM-SNAPSHOT,2026-07-21T16:30:00Z,LAW_SPECIFIC_Q_SUCCESSOR_MACHINE,1fBgwvNd9ba_9hbqgCt_9uXgysYBsIBhLdMxDtFPIpYM,GP-REG-021-v1.0,PRIMARY_ARCHITECTURE_PROPOSAL,TRUE,FALSE,CM-013 q-object correction; P1.1 read-first,GP-DATA-022-v1.0,Proposed JSON snapshot,Law-specific root schema,REV-QM-AO48-001,NONCANONICAL MACHINE PROTOTYPE,https://docs.google.com/document/d/1fBgwvNd9ba_9hbqgCt_9uXgysYBsIBhLdMxDtFPIpYM/edit,REPAIR-REQUIRED
