ordinal	relative_path	bytes	sha256	drive_file_id	drive_url	class	disposition
1	19fcef2e-c022-877e-8000-0f5a09d447b0/KIMI-DER-027a_farfield_envelope.md	13602	992f00d5bbcd897b7fbe21779bc0c212dafe75a4354d8c85105e58c6d3a8f448	19B_VLs-fM3ygw5sxCYCR9bAaR3v5-Zkr	https://drive.google.com/file/d/19B_VLs-fM3ygw5sxCYCR9bAaR3v5-Zkr/view?usp=drivesdk	COMPLETE PRIMARY	PARTIAL; DERIVED/F64PAD EVIDENCE
2	19fcef2e-c022-877e-8000-0f5a09d447b0/MANIFEST_KIMI-DER-027a.sha256	982	5049af71b6def67d06c6f65b9032c557a86d9e250869a8e23fc826ed6a8e277b	17vcMbeM3tXlYQyhy_Mhv4ShcMAmN45Zl	https://drive.google.com/file/d/17vcMbeM3tXlYQyhy_Mhv4ShcMAmN45Zl/view?usp=drivesdk	COMPLETE PRIMARY	PARTIAL; DERIVED/F64PAD EVIDENCE
3	19fcef2e-c022-877e-8000-0f5a09d447b0/verify_farfield_envelope_v1.O.out.txt	8900	266b0f442b323598b28bd08fa1f96e5201e186fa8e18429219d2484bc7087beb	1nI9tHB48C7OsnICg6hgZpiWuBjgworRG	https://drive.google.com/file/d/1nI9tHB48C7OsnICg6hgZpiWuBjgworRG/view?usp=drivesdk	DER-027A SUPPORT	PARTIAL / DERIVED-F64PAD SUPPORT
4	19fcef2e-c022-877e-8000-0f5a09d447b0/verify_farfield_envelope_v1.out.txt	8900	266b0f442b323598b28bd08fa1f96e5201e186fa8e18429219d2484bc7087beb	10CvCY_iMLOs5wW_0WctWIiGbni9p-rqL	https://drive.google.com/file/d/10CvCY_iMLOs5wW_0WctWIiGbni9p-rqL/view?usp=drivesdk	DER-027A SUPPORT	PARTIAL / DERIVED-F64PAD SUPPORT
5	19fcef2e-c022-877e-8000-0f5a09d447b0/verify_farfield_envelope_v1.py	31705	e898527dc10ad01e50d1e457c8e7166f7744e7f606d0f435deb5557a89539e6f	1etW40yqXsnuVRa_HofSSLWObhWThlHok	https://drive.google.com/file/d/1etW40yqXsnuVRa_HofSSLWObhWThlHok/view?usp=drivesdk	DER-027A SUPPORT	PARTIAL / DERIVED-F64PAD SUPPORT
6	19fcef2e-c1c2-8c6c-8000-0f5a243156d9/KIMI-DER-027b.md	6905	8089e581787ab6f978f883923ad43e1dcbbda83d68f6fe55e18b0f8969102f86	1iqCHNeaBwobk0-foY00PscduQf7-qJw1	https://drive.google.com/file/d/1iqCHNeaBwobk0-foY00PscduQf7-qJw1/view?usp=drivesdk	INCOMPLETE DRAFT	INCOMPLETE; PENDING VERDICT
7	19fcef2e-c1c2-8c6c-8000-0f5a243156d9/work/c026_series.py	6553	4058cad4cc7c69201cb6f7ea392c1fae1099d087a7489a34e01ece064282519a	1ijBjqwJ0JCvDci28C3VlnwI0CevtUEqj	https://drive.google.com/file/d/1ijBjqwJ0JCvDci28C3VlnwI0CevtUEqj/view?usp=drivesdk	INCOMPLETE SUPPORT	DER-027B WORKING FILE; NONCONTROLLING
8	19fcef2e-c1c2-8c6c-8000-0f5a243156d9/work/c027_station.py	5399	d2f2632e117b768a813c65c9b403e34749e5e82fed4c6b03c9de7625a418a7da	1BsZi9nT79_qy4947urg8aoEayjB2dpSg	https://drive.google.com/file/d/1BsZi9nT79_qy4947urg8aoEayjB2dpSg/view?usp=drivesdk	INCOMPLETE SUPPORT	DER-027B WORKING FILE; NONCONTROLLING
9	19fcef2e-c1c2-8c6c-8000-0f5a243156d9/work/cert_part.py	13107	0a9a72fbdc4624957a9cce321bb990fbe87210b8fed43243cec316662af5e104	1zl4m0CzJRgCepgHjKgVneLa6_Cg872Dx	https://drive.google.com/file/d/1zl4m0CzJRgCepgHjKgVneLa6_Cg872Dx/view?usp=drivesdk	INCOMPLETE SUPPORT	DER-027B WORKING FILE; NONCONTROLLING
10	19fcef2e-c1c2-8c6c-8000-0f5a243156d9/work/dag.py	21314	5a901cc706da3aeeb7a47e44689a20efebdbd843689aae4fa227ebd7dde0cfc2	1b4wqMGzg1oZHmETPTnUkybKOz62FM4_9	https://drive.google.com/file/d/1b4wqMGzg1oZHmETPTnUkybKOz62FM4_9/view?usp=drivesdk	INCOMPLETE SUPPORT	DER-027B WORKING FILE; NONCONTROLLING
