Review key,Domain,Exact object,Technical status,Next action,Packet or source,Prior review / exposure,Independence status,Request time UTC,Date basis,Last substantive review UTC,Age days,Aging action,Author / provider,Body SHA-256,Body bytes,Reviewer / claim,Verdict artifact,Scope / dependencies
RV-LM003-MAIN,MATH,LCR-DER-014-v1.0,NEEDS_RECONCILIATION,Verify and register the existing exact technical verdict; perform new mathematics only for missing or changed criteria,https://docs.google.com/document/d/13aLHEMKmN9n1v7PLSGbs_u_7dQ-Euvc91eWC4veIP0g/edit,CURRENT EXACT BODY REPRODUCED / SAME-LINE MATHEMATICS PASS / ORGANIZATIONALLY DISTINCT EXACT-HASH THEOREM VERDICT OPEN / NONTERMINAL,EXTERNAL_REVIEW_OPEN,2026-07-25T22:45:00Z,Legacy review-routing record; request onset not independently reconstructed,,55,ESCALATE,OpenAI; exact author session to be disclosed,5173d26d6bfaae5ef65a8ae2d0ca9b829a291be3f7dacaba82bb38d2526bb83e,6874,UNASSIGNED,,"H1–H5 imply exact determinant-weighted boundary-layer probability O(r^3). | One organizationally distinct reviewer must bind an affirmative or corrective theorem verdict to the exact 6,874-byte body, checking support inclusion, empty intervals, the r^5 numerator, and normalizer direction."
RV-LM004-MAIN,MATH,LCR-DER-016-v1.1,PASS_TECHNICAL,Obtain one qualifying organizationally distinct LCR-REQ-039 exact-object verdict; do not repeat OpenAI technical work absent a new defect or hash change,https://docs.google.com/document/d/1LKbFbisGVoEwzm3W-23-rdnzEF6crjxYCK-3G3J5OrA/edit,CURRENT v1.1 EXACT BODY REPRODUCED / S2 SAME-FAMILY PASS RECONCILED / ANTHROPIC IMPORT RECONSTRUCTION SUPPORTS C1 TRANSFER BUT DID NOT ISSUE THE ISOLATED ACCEPTED EXACT-HASH VERDICT / NONTERMINAL,EXTERNAL_REVIEW_OPEN,2026-07-25T21:12:00Z,Legacy review-routing record; request onset not independently reconstructed,2026-09-17T16:55:40.169Z,55,EXTERNAL ONLY,OpenAI; exact author session to be disclosed,d43179f3abfd7e93f988725f3b89a5826cc71e0fa04840f65c7f93f3359d0f87,10416,Prior OpenAI technical reconciliation; ROUND5 author-line erratum; zero org credit,https://drive.google.com/file/d/1QKujzzkp_nzCWFLky9ZayTzP_fbStxry/view,"Exact 10,416-byte body unchanged; duplicate-term finding withdrawn. Existing technical disposition retained. Qualifying organizationally distinct LCR-REQ-039 exact-hash verdict remains open."
RV-LM006-MAIN,MATH,LCR-DER-019-v1.0,NEEDS_RECONCILIATION,Verify and register the existing exact technical verdict; perform new mathematics only for missing or changed criteria,https://docs.google.com/document/d/13aLHEMKmN9n1v7PLSGbs_u_7dQ-Euvc91eWC4veIP0g/edit,EXTERNAL BYTE/HASH REPRODUCTION PASS / SAME-LINE THEOREM PASS / FULL ORGANIZATIONALLY DISTINCT THEOREM VERDICT OPEN / NONTERMINAL,EXTERNAL_REVIEW_OPEN,2026-07-25T22:45:00Z,Legacy review-routing record; request onset not independently reconstructed,,55,ESCALATE,OpenAI; exact author session to be disclosed,239ed094f70aa4352021572ad8bdc0c6ac6404edab4e1d7e61addec0c6659150,9147,UNASSIGNED,,"Exact full-field typed normalizer satisfies Z_r/r²→E[Q_L²1{Q_L<0}]∈(0,∞). | Obtain a full organizationally distinct theorem verdict on the exact body: exact-torus Q_L limit, type boundary, uniform integrability, positivity, and two-sided r^2 bounds. Do not repeat transport-only work."
RV-LM009-MAIN,MATH,LCR-DER-027-v1.0,PASS_TECHNICAL,Finish external exact-object predicate; do not repeat Markov proof,https://docs.google.com/document/d/17G4cRezBpLk9E1ds5rA615caPY9P19_JA80L57sF2ek/edit,CURRENT v1.0 EXACT BODY REPRODUCED / SAME-LINE MATHEMATICS PASS / ORGANIZATIONALLY DISTINCT EXACT-HASH REVIEW OPEN / NONTERMINAL,EXTERNAL_REVIEW_OPEN,2026-07-26T13:24:44Z,Legacy review-routing record; request onset not independently reconstructed,2026-09-17T16:25:48.473074Z,54,EXTERNAL ONLY,OpenAI; exact author session to be disclosed,ccc07d959428519733c7fdf6c72f1bce63a40d0b0dc956ce0fe9f2ec459eb0b1,3919,OPS4 nonauthor / exposed / OpenAI,https://drive.google.com/file/d/1cDFrsYx8l6jfGzQzYi0RemAw8Tv4d2qk/view,"All fixed moments imply REG_r failure is O(r^N) for every requested N. | One organizationally distinct reviewer must bind an affirmative or corrective verdict to the exact 3,919-byte body under LCR-REQ-029-v1.0 or the current LCR-REQ-052-v1.1 tail bundle, checking exponent selection, radius direction, exact U crosswalk, conditioned-to-Palm exponent doubling, and the no-fixed-exponential-tail firewall."
RV-LM010-MAIN,MATH,LCR-DER-030-v1.1,NEEDS_RECONCILIATION,Verify and register the existing exact technical verdict; perform new mathematics only for missing or changed criteria,https://docs.google.com/document/d/13aLHEMKmN9n1v7PLSGbs_u_7dQ-Euvc91eWC4veIP0g/edit,CURRENT REPAIRED v1.1 BODY REPRODUCED / SAME-LINE MATHEMATICS PASS / ORGANIZATIONALLY DISTINCT EXACT-HASH THEOREM VERDICT OPEN / NONTERMINAL,EXTERNAL_REVIEW_OPEN,2026-07-25T22:45:00Z,Legacy review-routing record; request onset not independently reconstructed,,55,ESCALATE,OpenAI; exact author session to be disclosed,05e0f20f0feb938ab7fca43c49b1f70fd0b8a492138ae805a418a5d028177ef2,9335,UNASSIGNED,,"Exact good-boundary numerator uses subweight while denominator remains full exact normalizer. | One organizationally distinct reviewer must bind a verdict to the exact v1.1 body, including the full-denominator firewall and support-respecting regular-conditional-version clarification."
RV-LM011-MAIN,MATH,LCR-DER-033-v1.0,NEEDS_RECONCILIATION,Verify and register the existing exact technical verdict; perform new mathematics only for missing or changed criteria,https://docs.google.com/document/d/1Tlkrs-WtWJg-OkrUvMIbwei_qi9BCa0-9xfHv4BSuEk/edit,CURRENT v1.0 EXACT BODY REPRODUCED / SAME-LINE CONDITIONAL SYNTHESIS PASS / CURRENT DEPENDENCY GRAPH / OWN EXTERNAL VERDICT AND OPEN COMPONENT PREDICATES REQUIRED,EXTERNAL_REVIEW_OPEN,2026-07-25T21:12:00Z,Legacy review-routing record; request onset not independently reconstructed,,55,ESCALATE,OpenAI; exact author session to be disclosed,17c37fa1da7aa246f3018bd4ecc69b6e7beef5d8a1bda616d250146b3629efa9,9721,UNASSIGNED,,"Current exact interfaces compose to imply 1-a_r=O(r^3). | First obtain the open exact component verdicts for LM003, LM004-v1.1, LM006, LM009, LM010-v1.1, LM012-v1.1, and LM013 Carrier-B-v1.1 plus joint stack. Then issue the organizationally distinct final synthesis verdict on the exact 9,721-byte body under current LCR-REQ-053-v1.2, using LCR-REQ-037-v1.0 as the object-level checklist."
RV-LM012-MAIN,MATH,LCR-DER-043-v1.1,NEEDS_RECONCILIATION,Verify and register the existing exact technical verdict; perform new mathematics only for missing or changed criteria,https://docs.google.com/document/d/1X-46gXEIqZr8JMc458ikHGKtLsQpRIrEgwUknhUd5ig/edit,CONTROLLING DEEP-THRESHOLD SUCCESSOR v1.1 / EXACT BODY VERIFIED SAME-LINE / ORGANIZATIONALLY DISTINCT EXACT-HASH REVIEW OPEN / NONTERMINAL,EXTERNAL_REVIEW_OPEN,2026-07-26T13:36:00Z,Legacy review-routing record; request onset not independently reconstructed,,54,ESCALATE,OpenAI; exact author session to be disclosed,68df32086da07fac8b042789de7a1c280aa2df56885532618c2fcabdb04b9ad4,11543,UNASSIGNED,,"Coordinate-typed chart lift, one positive common small-r domain, and deep-threshold sample-event firewall for deterministic capture. | One organizationally distinct reviewer must execute LCR-REQ-045-v1.1 against the v1.1 hash and verify chart identity, deep-saddle threshold placement, common domain, and scaling."
RV-LM013-BOREL-GLOBALIZATION,MATH,LCR-DER-061-v1.1,NEEDS_RECONCILIATION,Verify and register the existing exact technical verdict; perform new mathematics only for missing or changed criteria,https://docs.google.com/document/d/1c_-wbmoEiwKl4lzpKQFCY5BpdKDP0iYCqPhfEUSFkdk/edit,PARENT EXACT-OBJECT REVIEW SATISFIED / CARRIER A EXACT-HASH APPROVE / CARRIER B v1.1 SAME-LINE PASS / EXTERNAL v1.1 CONVERSION AND JOINT STACK VERDICT OPEN / NONTERMINAL,EXTERNAL_REVIEW_OPEN,2026-07-26T15:18:00Z,Legacy review-routing record; request onset not independently reconstructed,,54,ESCALATE,OpenAI; exact author session to be disclosed,8ec4386fc1214523c98a5ae84acf4f5f64a6601aa2c63728f4382701b82dc3b7,8928,UNASSIGNED,,"Countable Borel globalization, selector independence, Borel convergence event, certificate inclusion, and conditional exact Palm admissibility whenever 0<Z<infinity. | Obtain the narrow organizationally distinct Carrier B v1.1 conversion under LS-P01-REQ-002, then issue the repaired joint three-object interface verdict. Do not repeat the satisfied parent or Carrier A reviews."
RV-DQ-005,MATH,GP-DER/DATA-212 full-matrix exact finite-dimensional base-mass successor,NEEDS_RECONCILIATION,Resolve current exact target/hash and existing verdicts; then perform a bounded nonauthor technical review,Proof https://docs.google.com/document/d/1XPukFF2usb9WyA2bRVvxwKebOxtHakZGJlfRSf7ewds/edit | source https://docs.google.com/document/d/1yaQ8R1OW1t-WJT7JGp3rVco3FQkIYXELshVI6Wt6vUY/edit | result https://docs.google.com/document/d/1mmIwF4m7yoXw2DOnjmdfqiZg36xyYNZX_PuAhMsoT3E/edit | request https://docs.google.com/document/d/1X9nr7tRhGrudpTdS-4QVsGxGoEAjt0OxLI7SEt592kg/edit,OPEN / SUCCESSOR ELIGIBLE / GP-DATA-204 AMEND REQUIRED | OpenAI may reconcile only; organizationally distinct successor-hash review required,LEGACY_PREDICATE_RETAINED,2026-07-25T16:15:00Z,Dispatch Created UTC; not proof of zero intervening review,,55,ESCALATE,Disclose exact-object authorship; provider alone is insufficient,UNRESOLVED — bind before review,,UNASSIGNED,,"Reconstruct and rerun GP-DATA-212; audit the full 9×9 spectral witnesses, direct-sum cross-check, exact nine-coordinate box geometry, derived distance rational, transformed torus reserve, perturbation chain, density lower bound, r_GR=r_D, p_B=10^-48, hashes, and controls; issue PASS / AMEND / FAIL. | Exact source/result roundtrip; execution or independent reconstruction; all 18 full-matrix Sylvester minors; explicit box intervals and distance derivation; periodization and density directions; hostile mutations; no theorem promotion."
RV-DQ-017,COMPUTE,LS-DATA-013 q0 verifier 1.2.1 hardening successor,NEEDS_RECONCILIATION,Resolve current exact target/hash and existing verdicts; then perform a bounded nonauthor technical review,request https://docs.google.com/document/d/1zB58oOT1tmzzF5TAAlHqA8A1wxznjk2qTYMZ4BzV6Jw/edit | package https://docs.google.com/document/d/1B8_l-jXd5jo5ETMmoF-tMx8PcuwwshAq51KiagHDMp0/edit | audit https://docs.google.com/document/d/1B7YRIniaDmiXdKVSGLHy-S_y_hwQ7Yt5MNIx3zameCo/edit,OPEN / EXTERNAL-FAMILY ELIGIBLE / NONCANONICAL ONLY | Non-OpenAI verifier/security reviewer or qualified human may earn successor-review credit; OpenAI logistics only,LEGACY_PREDICATE_RETAINED,2026-07-26T00:02:00Z,Dispatch Created UTC; not proof of zero intervening review,,54,ESCALATE,Disclose exact-object authorship; provider alone is insufficient,UNRESOLVED — bind before review,,UNASSIGNED,,"Execute LS-REQ-014 against source SHA 5202c5fa33b1f08d502220943443573cc8c8e3a31682e6f3079443647fe0f6b9. Verify duplicate-key rejection at byte boundary, empty-route rejection, structural cycle invalidity, predecessor compatibility, 12 original tests, nine CL mutations, root-report equality, exact report/receipt identities, and active-file immutability. | Source and output capsule hashes reproduced; machine SHA 65af5209...2219; report SHA 5442f314...4b01; 12/12 + 9/9 pass; all cycles invalid; zero roots promotable unchanged; explicit APPROVE / AMEND / FAIL; no installation."
