Artifact ID,Title,Org,Class,Priority,Topics / object tags,Status,Authority / canonical impact,Dependencies or supersession,Modified UTC,Source,Notes
Q0_MASTER,Q0_MASTER.md,Program,MASTER,P0,q0; theorem state; short-bar; pairing; q-machine,CURRENT CONSOLIDATED SPINE,Supersedes-for-use 488-file archive under stated precedence,Q0_LEDGER; q0_machine; q0_verify,46223.77431,https://drive.google.com/file/d/19nO3CU8B_YqGV9vTOwmvVe2Vyfeo0Jbz,Read live theorem state first
Q0_DRIVE_INDEX,_Q0 DRIVE INDEX — READ FIRST,Program,INDEX,P0,navigation; authority; consolidation,CURRENT ENTRY POINT,Navigation only; no theorem authority,Q0_MASTER and companions,46223.80069,https://docs.google.com/document/d/19hGsG8gK3KI0oYnxQdjHNdBjJhCYpK96ViQccufxHg8,Folder is flat; companions supply structure
CL-GOV-014,_RULES_OF_ENGAGEMENT,Claude,GOV,High,reexecution; decisive tests; response protocol,PROPOSED / OPERATIVE IN OQ FOLDER,None; additive rule,OQ register,46223.89236,https://docs.google.com/document/d/1E_RDxvBcd-htroiRqNTjmbDrhKVI4MygrGSYYMjgFKA,Never edit another model's file
CL-GOV-015,_OQ_REGISTER,Claude,GOV-REGISTER,High,open questions; governance; math blockers,OPEN FOR RESPONSE,None; asserts nothing on own authority,Rules of engagement,46223.89306,https://docs.google.com/document/d/1gVpeEEKHXVFmnLQEP0vvNnsHh1HY6pVjrzEZY-rkSTI,Source register for OQ-001–010
CM-LEDGER,Cross-Model Review Ledger v1.0,Cross-model,LEDGER,High,coordination; review; corrections,ACTIVE / APPEND-ONLY,No canonical impact without Dylan approval,Multiple GP/CL/AO48 artifacts,46223.95347,https://docs.google.com/document/d/1rwfvL3sJUmRVpwf3AHx2FnduUrtoIi-9pA8C9Rbku7o,Primary collaboration record
P0.2,00_READ_FIRST — P0.2 Adjacency-to-One Cubic Rate,Program,PRIORITY-BRIEF,P0,adjacency; a_r; typed Palm; cubic rate,OPEN,No canonical impact until promotion,GP-AUD-005; GP-RSP-016; quartic diagnostics,46223.95139,https://docs.google.com/document/d/1_hJQkq7Y8BFGZvGmCtvJR1UheV_YHmqXuimtYsYUDeA,Load-bearing theorem target
GP-RSP-016,OQ-005_RESPONSE_GP,OpenAI,RSP,P0,P0.2; cubic ODE; determinant weighting,CANNOT-VERIFY / INCONCLUSIVE,None,GP-PRE-015; GP-AUD-005,46223.92986,https://docs.google.com/document/d/1ajUL3s11XZVx6thleFrK5fX_w2Y_rBdoW5pciACx2aQ,No analytic 1-a_r=O(r^3) found
GP-AUD-020,Independent Audit of Quartic Compensation Nonuniqueness,OpenAI,AUD,P0,quartic compensation; gauge; nullspace,CORRECTION ACCEPTED AS AUDIT EVIDENCE,None,Corrects scope of GP-DER-019 and GP-DATA-020,46223.95208,https://docs.google.com/document/d/1cSg3VrNhIs0JZZ8StGwnqscABhfDrIItb0xj-dGFq24,Four-dimensional nullspace
GP-PRE-025,Common-random-number quartic gauge-sensitivity test,OpenAI,PRE,P0,quartic gauge; CRN; adjacency,PREREGISTERED / REQUIRES AMENDMENT,None,Audited by GP-AUD-030,46223.94931,https://docs.google.com/document/d/1HUK-zqIT9Vs31InxzPLZk863PWdcsZvMIo9InsqT3So,31 gauges
GP-AUD-030,Pre-execution review of quartic gauge-sensitivity protocol,OpenAI,AUD,P0,quartic gauge; estimands; uncertainty,AMEND BEFORE RUN,None,Audits GP-PRE-025,46223.95208,https://docs.google.com/document/d/1LI8VdhmpVDzmgcGjrOFYzRPvBfzvEKXC9ZfrHjpCWNk,Separates gauge law change from flow change
P1.1,00_READ_FIRST — P1.1 Law-Specific q Machine Roots and Verifier,Program,PRIORITY-BRIEF,P1,q_typed; q_adj; machine roots; verifier,NONCANONICAL q0-law-specific/1.2 FAIL-CLOSED PASS / 12-OF-12 NEGATIVE TESTS / INDEPENDENT REVIEW OPEN,No canonical impact; active q0_machine.json and q0_verify.py remain authoritative and untouched.,GP-REG-188; GP-DATA-188; GP-AUD-188; GP-AUD-187; active-machine migration comparison pending,2026-07-24T21:45:00Z,https://docs.google.com/document/d/1P9acBlckVQ_C-e_Uq9f-P3o3bm-AgMRU07fgy--0Svc/edit,Exact raw machine/verifier/report published and round-trip reproduced. Zero roots promotable. Distinct-family review and Dylan promotion required.
GP-REG-021,Proposed law-specific q successor machine snapshot,OpenAI,REG,P1,machine state; law-qualified q,PROPOSED,No canonical impact,P1.1 contract,46223.94028,https://docs.google.com/document/d/1fBgwvNd9ba_9hbqgCt_9uXgysYBsIBhLdMxDtFPIpYM,Awaiting independent audit and approval
GP-DATA-022,Law-specific q verifier source and negative tests,OpenAI,DATA,P1,verifier; negative tests; fail-closed,PROPOSED,No canonical impact,GP-REG-021,46223.94028,https://docs.google.com/document/d/1JNLSSdqM8wr34-cP1wxYGJQ0n-gloRiDIydr5JVob-c,Active verifier not overwritten
GP-AUD-023,Validation receipt for proposed q successor,OpenAI,AUD,P1,verifier receipt; schema validation,PROPOSED RECEIPT,No canonical impact,GP-REG-021; GP-DATA-022,46223.94097,https://docs.google.com/document/d/15tq5jzd19qiVP_sh3N43W_kT2CI8F3y2VLkZKcJGs9A,Independent promotion audit still needed
P1.2,00_READ_FIRST — Q0-C109 Continuum Short-Bar Diagnostic,Program,PRIORITY-BRIEF,P1,short bars; continuum; refinement,CANDIDATE / \`PROVEN-HERE\` RETRACTED / EXACT JACOBIAN PROVED,Diagnostic and current-status routing only; historical C103/C104 roots do not supply missing mathematical proof.,GP-AUD-187; Q0_C104; C103_E_LEDGER; C101; near-diagonal source; exact elder-rule data pipeline,2026-07-24T21:25:00Z,https://docs.google.com/document/d/1GCxx8Th9C5J8SrddCjwNa30O2LuYiwEB4pEYLxXK5pg/edit,"Exact ell=kappa r^3/6 Jacobian survives. Conditional compact-mark B0 is proved under A1–A5. Contact intensity, uniform selection, full-kappa tails, multiplicity, and off-fold lower-order theorem remain open."
CL-ERR-025,4-connectivity root-cause erratum,Claude,ERR+DER,P1,short bars; maxima; connectivity; exponent,PROPOSED ROOT-CAUSE CORRECTION,None,Rebases CL pixel computations,46223.95,https://docs.google.com/document/d/1Y1MyF82Xxn3vi7KaAdiZEode-qc0xhmFljYmRmGJ3TQ,About 22% maxima misclassified
GP-ERR-027,OQ-008 rebase after root-cause correction,OpenAI,ERR,P1,short bars; scope correction,WITHDRAWS PRIOR CONTINUUM INTERPRETATION,None,Supersedes interpretation of GP-RSP-013 / CM-023,46223.94653,https://docs.google.com/document/d/13WHX1LxtG2ViJAAwAQWzjWpyX40HJpu5bw4175oD_XA,Execution record preserved
GP-DER-029,Sample-size planning for clean short-bar test,OpenAI,DER,P1,power; field clustering; exponent,PLANNING BOUND,None,Uses clean exact-pair pilot from CL-ERR-025,46223.94931,https://docs.google.com/document/d/1lExp_zPs88w44pI-8WB8yHgfCE1fAGwJRGsEtD_i29g,12–20 planning fields; 100–150 usable serious budget
GP-REG-032,Live Research Registers (Pilot),OpenAI,REG,High,index; OQ; help board; activity; metadata,PILOT,No canonical impact,Built from current Drive sources,46223.95486,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no,Automation target; manual snapshot
GP-REG-033,Live Navigation Companion (Pilot),OpenAI,REG,High,navigation; context snapshot; coordination,PILOT,No canonical impact,GP-REG-032; OQ register; current Drive sources,2026-07-20 23:06,https://docs.google.com/document/d/1YHLCAMUkYPdZnw0l9Q2JrFeXBTKLzv6N91xb6ILjack,Human-readable generated navigation surface
GP-AUTO-034,Automation Installation & Source Handoff,OpenAI,AUTO,High,automation; Apps Script; safety; refresh,SOURCE PREPARED / NOT INSTALLED,No canonical impact,GP-REG-032; GP-REG-033; explicit Config IDs,2026-07-20 23:08,https://docs.google.com/document/d/1r9zPu4lbwe0CEWCWIQYGbzOOBzlAxIbTxZGJ-mFrAyE,Exact .gs source delivered separately; browser authorization required
GP-CLS-003-v1.0,CLS,OQ-001 preservation and newline variant,OpenAI GPT-5.6 Thinking,2026-07-21,CLOSED-FOR-MODELS,NONE,OQ-001; CM-009; OP-PROT-003,https://docs.google.com/document/d/1UHZLVZYEDMPEhEjUc4I7MmGs0x7agJcgsDjODOKERo8/edit,Preserves all five copies; supersedes deletion instructions.,terminal closure,2026-07-21 02:59 CDT
