Metric,Numerator,Denominator,Value,Status,Source
active_uncertainties_retired,4,4,1,PRE-DEPLOYMENT,TR-CAI-001
error_classes_converted_to_tests,8,8,1,PRE-DEPLOYMENT,T17–T32
high_independence_reconstructions,0,1,0,OPEN,Review Independence
promotions_blocked_for_object_mismatch,0,0,,NO-DATA,Transition Alarms
architecture_changes_with_failure_mode,1,1,1,PASS,Transition Register
mathematical_advances_to_architecture_changes,0,1,0,PRE-DEPLOYMENT,Transition Register
active_claims_with_complete_cards_and_dependencies,0,0,,NO-DATA,Artifact Index
critical_alarm_count,0,5,0,PASS,Transition Alarms
architecture_overgrowth_alarm,0,1,0,PASS,Derived pre-deployment baseline
High-priority frontier transitions backfilled,3,3,1.0,PASS,TR-P02-001; TR-QM-001; TR-P12-001
Material object/status mismatches blocked from promotion,3,3,1.0,PASS,P0.2 candidate; q-machine repair-required; P1.2 replacement cannot-verify
Independent full-chain theorem reconstructions completed,0,2,0.0,WARNING,P0.2 and P1.2 exact replacement require full independent execution/reconstruction
Architectural prototypes quarantined after adversarial audit,1,1,1.0,PASS,TR-QM-001 / AO48-AUD-008
q_machine_v1_1_adversarial_tests,16,16,1.0,PASS-LOCAL,GP-DATA-052-v1.0
ep2_source_identity_verified,1,1,1.0,PASS,CL-DATA-024 / GP-AUD-050
exact_pairing_outputs_independently_reproduced,0,1,0.0,WARNING,TR-P12-002
repaired_architecture_candidates_independently_qualified,0,1,0.0,OPEN,TR-QM-002
new_status_inflation_paths_blocked,2,2,1.0,PASS,Exact-pairing label blocked; repaired machine not treated as installed
hardened_pairing_self_tests,13,13,1.0,PASS-SELFTEST,GP-AUD-055-v1.0
exact_field_endpoint_control,1,1,1.0,PASS-ANALYTIC-CONTROL,ST13 / GP-AUD-055
hardened_pairing_production_fields_completed,0,1,0.0,OPEN,TR-P12-003
hardened_pairing_independent_source_reviews,0,1,0.0,OPEN,REV-P12-GP-003
numerical_failure_classes_converted_to_controls,8,8,1.0,PASS-DESIGN,Exact-field identity; Euler; bar count; endpoint completion; replay; census replay; provenance; clustered inference
byte_exact_source_publication_routes,1,1,1.0,PASS,GP-DATA-054 Base64 capsule
fresh_drive_capsule_reconstruction,1,1,1.0,PASS,GP-AUD-057-v1.0
outside_capsule_reconstructions,0,1,0.0,OPEN,GP-REQ-056 Reviewer B
outside_source_qualifications,0,1,0.0,OPEN,GP-REQ-056 Reviewers A-D
source_publication_blockers_resolved,1,1,1.0,PASS-SOURCE-IDENTITY,TR-P12-005; amended instrument defects remain active
gp_aud_056_findings_converted_to_controls,5,5,1.0,PASS-AUTHOR-IMPLEMENTATION,GP-COR-058-v1.0
amended_pairing_self_tests,21,21,1.0,PASS-AUTHOR-SIDE,GP-AUD-059-v1.0
outside_v11_source_reconstructions,0,1,0.0,OPEN,GP-REQ-056 Reviewer B
outside_v11_control_runs,0,1,0.0,OPEN,GP-REQ-056 Reviewer B
amended_v11_production_fields,0,1,0.0,OPEN,TR-P12-006
p02_cl_adversarial_configurations_passed,864,864,1,PASS-CORROBORATION,CL-AUD-044-v1.0
p02_interval_continuous_box_configurations_passed,864,864,1,PASS-LOCAL,GP-AUD-067-v1.0
p02_external_identity_edges_closed,0,2,0,OPEN,CL-AUD-045 E1/E2
p02_derivation_blind_reconstructions_completed,0,1,0,OPEN,HB-048 / AO48
p02_exact_law_replays_completed,0,1,0,OPEN,HB-049 / CW-CL
p02_derivation_blind_reconstructions_completed_v2,1,1,1,PASS-WITH-LINEAGE-CAVEAT,CL-AUD-049 / CM-058
p02_external_identity_edges_advanced_v2,1,2,0.5,PARTIAL,E1 displayed-precision pass; E1 exact-torus and E2 outside review open
help_board_primary_key_collisions_resolved,6,6,1,PASS,GP-COR-190 / HB-046–HB-051
p02_lm012_identity_collisions_resolved,3,3,1,PASS,GP-COR-192
