Setting,Value,Status,Scope / effect,Source,Updated UTC,,,,,,,
CONTROL_PLANE_VERSION,AI-DRIVE-AUTONOMY-R17,"ACTIVE / compact entry, review queue, quarantine and cooperative event coordination",R17 supersedes R16 operational entry/budget/provider locks. Scientific predicates and exact frozen identities remain.,OP-PROT-019-v1.1 | 1hBph5Fpxd5dVrolNkvzU8nb7xpxUiUdc,2026-09-17T16:28:44.968Z,,,,,,,
CURRENT_WRITE_LEASE,OPEN,RELEASED — R17 overhaul verified,Scoped operations and LM009 technical review complete; next work through Review Queue,https://drive.google.com/file/d/1XRecEnh5HxbJtZHmBYYfw1DeqVjG6SYs/view SHA256 852a96f030787e1347595f9e5a6a98276ce87edb64734669ab1d4e7ce5d00a4c,2026-09-17T16:38:39.757Z,,,,,,,
INITIAL_LEASE_BASELINE_LAST_MODIFIED,2026-07-25T13:45:45.636Z,HISTORICAL SNAPSHOT,Baseline used only for the first autonomy-transition lease; never proof of current quiet state,GP-REG-032 initial recent-documents scan,2026-07-25T15:17:10Z,,,,,,,
INITIAL_LEASE_QUIET_INTERVAL_MINUTES,91.4,HISTORICAL SNAPSHOT,Observed interval for the first lease only; every future structural lease requires a fresh scan,Initial recent-documents metadata,2026-07-25T15:17:10Z,,,,,,,
KNOWN_ACTIVE_MODEL_SCOPE_AT_LAST_EXCLUSIVITY_CHECK,OpenAI / ChatGPT only,HISTORICAL OPERATOR-DECLARED SNAPSHOT,"Not a current global fact; future sessions must inspect live claims, lease state, and fresh modifications",Dylan Roy instruction at initial transition,2026-07-25T15:17:10Z,,,,,,,
AUTONOMOUS_DECISION_BUDGET,RETIRED — R17 evidence predicates,HISTORICAL BUDGET,Current owner-authorized operations have no 50-decision counter gate,Dylan Roy direct R17 overhaul instruction,2026-09-17T16:28:44.968Z,,,,,,,
AUTONOMOUS_DECISIONS_USED,38 historical decisions,HISTORICAL COUNT,Retained as history; not a current capacity limit,R17 supersession,2026-09-17T16:28:44.968Z,,,,,,,
HUMAN_APPROVAL_REQUIRED,FALSE,ACTIVE,Eligible actions execute from deterministic evidence predicates; incomplete evidence returns HOLD / NO,Dylan Roy authenticated instruction,2026-07-25T15:17:10Z,,,,,,,
PERMANENT_DELETE,FALSE,PROHIBITED,"Use reversible quarantine, retention, and provenance preservation instead",Zero-trust autonomy safeguard,2026-07-25T15:17:10Z,,,,,,,
EXTERNAL_RELEASE,EVIDENCE-GATED / DEFAULT DISABLED,HOLD,No human approval dependency; release requires a future executable release predicate,Zero-trust autonomy safeguard,2026-07-25T15:17:10Z,,,,,,,
CURRENT_CONTROL_ARCHITECT_SESSION_RESEARCH_PARTICIPATION,FALSE,HISTORICAL SESSION SCOPE,Old observer-only architecture restriction does not apply to current or future R17 sessions,R17 user-authorized workflow,2026-09-17T16:28:44.968Z,,,,,,,
P01_V110_CLASS3_ELIGIBILITY,LS-CTL-003-v1.3,ACTIVE / FOUNDATION TRUE / APPLICATION TRUE / HOLD / NOT YET ELIGIBLE,"Controlling GP-DER-118-v1.10 remains frozen at 29,293 bytes / SHA 9b7901e1…f014. New TRUE delta: E0,E2; FOUNDATION=TRUE. APPLICATION remains TRUE. INDEPENDENCE and INTEGRITY remain FALSE. B0 evidence is satisfied but the Boolean is unchanged/fold-ready; C2 is routed with typed generic crosswalk pending. P0.1 remains HOLD.",control raw 1W0Ta8KGdUmvNfzbm0S-8gzXON_cVawuQ | native 1tHmjlvpQbHJ0Xy5eBLxJ-vZWlKBAF8NSlSiA6HM-Ow8 | AO48-AUD-056 1BBif8dKeih_wFQxe2nl-8bcdDkvwTSV5 | AO48-AUD-057 1oqJKAypxT2a9foJoamIYDJJVZUrbu6qJ | B0 assessment 1VYvgwgUBVJT4oSD1rdV2dyVPN5QkQjZm | C2 advisory 1zp3_oArSUcn7T8_-3MR7p4rzDNSH0YjI | theorem 1qc6ep2S4PIoPMEWDsdDQI1dr0LOwJiK9,2026-08-03T23:18:34Z,,,,,,,
Decision No.,Decision ID,Timestamp UTC,Object / target,Decision type,Eligibility predicate,Verdict,Implementation state,Reversible,Rollback / reopening,Evidence / source,Executor,Notes
1,AD-CTRL-001,2026-07-25T15:20:08Z,OP-PROT-012 and protected governance routing,GOVERNANCE ADOPTION,Authenticated directive; reversible record changes; missing-evidence safeguards preserved; no research claim altered,YES,IMPLEMENTED,TRUE,Revert Config pointers and supersession banners; preserve protocol as provenance,Dylan instruction; OP-PROT-012; Operator Decisions; Config,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,Human approval retired; evidence-gated PASS/NO/HOLD installed
