Setting,Value,Enabled,Purpose,Safety rule,Notes
REGISTRY_SPREADSHEET_ID,1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no,TRUE,Automation output target,May write only to this spreadsheet,Do not substitute an authority file
PRIMARY_OQ_FOLDER_ID,1efRFk5kMvmDzDAh4xKxg5fm0055NwyVD,TRUE,Open-question and response source,Read-only source folder,Direct children only in pilot
PILOT_OUTPUT_FOLDER_ID,1z-SmhXwz6RKdN94txwO_UttoPu2CF1Dm,TRUE,Stores additive coordination artifacts,Never move source artifacts here,Pilot folder
RECENT_WINDOW_MINUTES,90,TRUE,Recent Activity time window,Read-only scan,Change to 60 or 120 as needed
RECURSIVE_SCAN,FALSE,TRUE,Prevent accidental whole-Drive traversal,Keep FALSE until project folders are explicitly listed,Performance and privacy safeguard
WRITE_SOURCE_FILES,FALSE,TRUE,Hard safety switch,Must remain FALSE,Script should throw if changed
DELETE_OR_TRASH,FALSE,TRUE,Hard safety switch,Must remain FALSE,No automated deletion
AUTO_PROMOTE,FALSE,TRUE,Blanket automatic-promotion switch,"Remain FALSE; promotion may occur only through OP-PROT-012 object-specific evidence predicates and transition receipts, never through an unrestricted switch",Human approval is not required; evidence eligibility is required
NORMALIZE_LINE_ENDINGS,TRUE,TRUE,Duplicate detection,Preserve raw hash separately,CRLF/LF variants remain traceable
HOURLY_TRIGGER,FALSE,FALSE,Operator-authorized cadence request; technical trigger and installed source remain unverified,"Fail closed until exact reconstructable source, installed-source hash match, acceptance suite, recovery test, inspected manual run, and required independent review",2026-07-24 adversarial correction. This Config change does not prove or remove any browser-side Apps Script trigger whose project/trigger ID is not visible in Drive.
OQ_REGISTER_FILE_ID,1gVpeEEKHXVFmnLQEP0vvNnsHh1HY6pVjrzEZY-rkSTI,TRUE,Open-question parsing source,Read-only source file,Required by automation
NAVIGATION_DOC_ID,1YHLCAMUkYPdZnw0l9Q2JrFeXBTKLzv6N91xb6ILjack,TRUE,Generated navigation target,May replace only this pilot document's generated body,Noncanonical output
AUTOMATION_HANDOFF_DOC_ID,1r9zPu4lbwe0CEWCWIQYGbzOOBzlAxIbTxZGJ-mFrAyE,TRUE,Installation manifest and review contract,Documentation only,Not an executable Apps Script project
HISTORICAL_CONSENSUS_PROTOCOL_ID,1ShOD5DkpCliOfqqPOGTxwHE8iHgDbSzpagGA8reEl64,FALSE,Superseded governance provenance only,"Do not use for current decisions, status, review credit, or automation gates",Superseded by OP-PROT-011
HISTORICAL_CONSENSUS_PACKAGE_ID,1FwkOa06pccL_RmK63oI0oXBgGtFFRcN-MY63arzEeAA,FALSE,Superseded package/ballot-era provenance only,Must not compete with OP-RES-001 or OP-PROT-011,Retained for reconstructable history
HISTORICAL_CONSENSUS_FOLDER_ID,1p9OViotUY9BCJXQoi7NLE_LMJ8zd04fv,FALSE,Historical response and ballot material,"No roster, denominator, quorum, or silence rule is current","ChatGPT, Claude, Grok, and Gemini are active contributors under OP-PROT-011"
HISTORICAL_REQUIRE_UNANIMOUS_APPROVAL,FALSE,FALSE,Superseded unanimity field,Never use as a current gate,OP-PROT-011 is operator-directed and no-vote
AUTOMATION_AUTHORIZED,FALSE,TRUE,Fail-closed executable authorization switch; separate from standing operator approval,"Keep FALSE until an exact accepted source is frozen, independently reviewed, Apps Script acceptance/recovery tests pass, installed-source equality is verified, and an inspected manual run succeeds","Standing authorization exists, but authorization is not source identity, runtime qualification, installation, or activation"
STALE_THRESHOLD_MINUTES,120,TRUE,Fail-closed freshness checkpoint at two times the approved hourly cadence,A missed 120-minute window must log FAILED and display a visible STALE warning,Binding R0.2 value
POST_TEST_REVIEW_GATE,INDEPENDENT_EYES_PLUS_TECHNICAL_ACCEPTANCE,TRUE,Post-test source/runtime integrity gate,"No ballot, quorum, majority, or silence inference; require exact-source identity, independent review, runtime evidence, recovery proof, and operator-controlled activation",OP-PROT-011; technical evidence remains necessary even when standing authorization exists
HISTORICAL_REQUIRE_UNANIMOUS_APPROVAL_DUPLICATE,FALSE,FALSE,Superseded duplicate field retained for provenance,Never read as a current control,OP-PROT-011 controls
HISTORICAL_REQUIRE_MAJORITY_APPROVAL,FALSE,FALSE,Superseded majority field,Never read as a current control,No vote under OP-PROT-011
HISTORICAL_MAJORITY_THRESHOLD,3,FALSE,Historical ballot threshold,No current denominator or pass threshold,Preserved only to reconstruct prior workflow
GEMINI_ROLE,ACTIVE_CONTRIBUTOR,TRUE,"Google-family research, review, computation, and critique contributor",Provider identity is provenance; contributor count is not proof,OP-PROT-011
GROK_ROLE,ACTIVE_CONTRIBUTOR,TRUE,"xAI-family research, review, computation, and critique contributor",Provider identity is provenance; contributor count is not proof,OP-PROT-011
HISTORICAL_MAJORITY_AMENDMENT_ID,1pVAG4d0h7kPv0dA0BM_yuWL3gDrrIAjpI1uhTQoAHP0,FALSE,Superseded majority-amendment provenance,Must not govern current decisions or automation,OP-PROT-011 supersedes
OPERATOR_PRIORITY_PROTOCOL_ID,1-GTThTpCcRG1FYjueqFiIgGZ1SnorcAMS4q0b9eTvO0,TRUE,Easy-closure-first operating philosophy,Does not weaken proof or technical gates,OP-PROT-004
PRIORITIZATION_MODE,EASY_CLOSURE_FIRST,TRUE,Retire closure-ready items before opening additional hard fronts,Difficulty never substitutes for epistemic readiness,Operator directive
CLOSURE_QUEUE_SHEET,Easy Closure Queue,TRUE,"Tracks low-cost proof, kill, correction, and supersession candidates","Candidates are never closed automatically; exact evidence, scope, lineage, and controlling operator adjudication govern",OP-PROT-011; Closure Log remains authoritative
REMOVE_TERMINAL_ITEMS_FROM_ACTIVE_QUEUES,TRUE,TRUE,Stop settled items consuming recurring attention,Preserve all provenance and terminal records,"Removal means inactive, never deleted"
EASY_CLOSURE_PROTOCOL_ID,1-GTThTpCcRG1FYjueqFiIgGZ1SnorcAMS4q0b9eTvO0,TRUE,Easy-closure-first operating discipline,Never upgrade incomplete mathematics,OP-PROT-004
