filename,role,authority,terminal_status
Q0_C093_RELEASE_INDEX.md,release-entry,canonical,RELEASE-CLOSED
C093_LOOSE_ENDS_DISPOSITION.md,governance,canonical,RELEASE-CLOSED
C093_RELEASE_AND_AMENDMENT_POLICY.md,governance,canonical,RELEASE-CLOSED
C093_SUCCESSOR_PROJECTS.json,successor-registry,canonical,RELEASE-CLOSED
C093_DEPRECATION_MAP.json,deprecation-registry,canonical,RELEASE-CLOSED
C093_ENVIRONMENT.json,environment,canonical,RELEASE-CLOSED
requirements-c093.txt,environment,canonical,RELEASE-CLOSED
C093_RELEASE_INVENTORY.csv,inventory,canonical,RELEASE-CLOSED
q0_c093_release_contract.json,release-contract,canonical,RELEASE-CLOSED
audit_q0_c093_release.py,release-auditor,canonical,RELEASE-CLOSED
Q0_C093_AUDIT_REPORT.json,audit-report,generated,RELEASE-CLOSED
Q0_C092_FINAL_MASTER.md,mathematical-master,canonical,CORE-CLOSED
C092_FINAL_CORRECTION_LEDGER.md,correction-ledger,canonical,CORE-CLOSED
C092_PUBLICATION_CLAIM_LANGUAGE.md,claim-language,canonical,CORE-CLOSED
C092_REPRODUCTION_README.md,predecessor-readme,canonical-with-c093-notice,SUPERSEDED-BY-C093-INDEX
q0_c092_final_contract.json,theorem-contract,canonical,CORE-CLOSED
q0_c092_contract_checker.py,theorem-checker,canonical,CORE-CLOSED
q0_c092_contract_check_report.json,theorem-check-report,generated,CORE-CLOSED
q0_llm_verifier_v3.py,verifier-dependency,canonical-dependency,CORE-CLOSED
q0_llm_verifier_v4.py,semantic-verifier,canonical,CORE-CLOSED
validate_q0_llm_verifier_v4.py,verifier-validation,canonical,CORE-CLOSED
q0_llm_verifier_v4_validation.json,verifier-validation-report,generated,CORE-CLOSED
periodized_bf_contract.py,model-certificate,canonical,CORE-CLOSED
periodized_bf_contract_report.json,model-certificate-report,generated,CORE-CLOSED
periodized_bf_matrix_transfer.py,matrix-transfer,canonical,CORE-CLOSED
periodized_bf_matrix_transfer_report.json,matrix-transfer-report,generated,CORE-CLOSED
R0_SOURCE_PRECEDENCE_DECISION_C090.md,precedence-decision,provenance-governing,CORE-CLOSED
Q0_C091_PROOF_GATE_REDUCTION.md,research-audit,provenance,SUPERSEDED-IN-PART
C091_CORRECTION_LEDGER.md,correction-ledger,provenance,SUPERSEDED-IN-PART
gaussian_corridor_certificate.py,killed-mechanism-audit,provenance,EXTENSION-NOT-CORE
gaussian_corridor_certificate_report.json,killed-mechanism-report,provenance,EXTENSION-NOT-CORE
palm_weighted_gaussian_chernoff.py,replacement-theorem,provenance,DISPOSITIONED-Q0-SHARP
palm_weighted_gaussian_chernoff_report.json,replacement-report,provenance,DISPOSITIONED-Q0-SHARP
bf_two_critical_value_gap.py,mark-law-analysis,provenance,DISPOSITIONED-Q0-REFEREE
bf_two_critical_value_gap_report.json,mark-law-report,provenance,DISPOSITIONED-Q0-REFEREE
q0_c092_core_dependency_graph.png,diagram,canonical,CORE-CLOSED
q0_c092_completion_boundary.png,diagram,canonical,RELEASE-CLOSED
build_q0_c093_release.py,release-builder,canonical,RELEASE-CLOSED
verify_q0_c093_release.py,release-verifier,canonical,RELEASE-CLOSED
