Title,Original path,Original link,First reading copy,File type,Context,Source SHA-256,Access status,Bytes,Drive ID,Reading copy count
GP-REG-032-v1.2 — Coupled Research Registers,01_ACTIVE_RESEARCH_PACKAGES/14_COORDINATION_AUTOMATION_SPINE/04.1_LIVE_REGISTERS/GP-REG-032-v1.2 — Coupled Research Registers,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit?usp=drivesdk,,application/vnd.google-apps.spreadsheet,RESEARCH_SOURCE_CHECK_STATUS,,DIRECT_NATIVE,1345511,1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no,0
SUPERSEDED_A1_ERRATUM_AUTO-RV-LM004-20260917165201.md,90_QUARANTINE_AND_TRIAGE — NONAUTHORITATIVE/02_DEFECTIVE_SCOPE_AND_REPLAY_HOLDS/SUPERSEDED_A1_ERRATUM_AUTO-RV-LM004-20260917165201.md,https://drive.google.com/file/d/1CHErajW7G2y8y7Mr0bKYMy2lJbA2HIAt/view?usp=drivesdk,https://docs.google.com/document/d/1RaTFvjw_IcIESI7tEe5_lRiiP16fMTeytcTO9IP0Kbg/edit?usp=drivesdk,text/markdown,QUARANTINE_OR_HISTORY,c0571b7affc23c0d44e3479cb7ebafafbcfd49001a43097d43f00553f1d75f81,TEXT_READING_COPY,5093,1CHErajW7G2y8y7Mr0bKYMy2lJbA2HIAt,1
LM004_REVIEW_ERRATUM_v1.1.md,01_ACTIVE_RESEARCH_PACKAGES/2026-09-17_RN5_MOMENT_REPAIR_AND_REVIEW_ERRATUM/LM004_REVIEW_ERRATUM_v1.1.md,https://drive.google.com/file/d/1QKujzzkp_nzCWFLky9ZayTzP_fbStxry/view?usp=drivesdk,https://docs.google.com/document/d/1Bz0K4pzBwjarp3khuh7KJk99wm7DXREXdNtPZXu8hiQ/edit?usp=drivesdk,text/markdown,RESEARCH_SOURCE_CHECK_STATUS,84189b73e414952d086877fda5b59b1bfb3d6c40c389bcb19daa43bf8866efc9,TEXT_READING_COPY,3664,1QKujzzkp_nzCWFLky9ZayTzP_fbStxry,1
RN5_NEAR_MOMENT_REPAIR.md,01_ACTIVE_RESEARCH_PACKAGES/2026-09-17_RN5_MOMENT_REPAIR_AND_REVIEW_ERRATUM/RN5_NEAR_MOMENT_REPAIR.md,https://drive.google.com/file/d/1LtnvNd0vAW-y3pzbyHLjgtF7Uw5sTph5/view?usp=drivesdk,https://docs.google.com/document/d/1VBSJVHOWXR1DittaCqpq86vSfpZxy5TyOnedjJ2zsbo/edit?usp=drivesdk,text/markdown,RESEARCH_SOURCE_CHECK_STATUS,ac89f60b8206bfe011e6c2bc653e7acb39bc83a55c2a2c8fd1e17fd70c6c0383,TEXT_READING_COPY,13725,1LtnvNd0vAW-y3pzbyHLjgtF7Uw5sTph5,1
2026-09-17_RN5_MOMENT_REPAIR_AND_REVIEW_ERRATUM,01_ACTIVE_RESEARCH_PACKAGES/2026-09-17_RN5_MOMENT_REPAIR_AND_REVIEW_ERRATUM,https://drive.google.com/drive/folders/16CQ-3XkwPyhItBH70JJpho-eA5pYWRm9,,application/vnd.google-apps.folder,RESEARCH_SOURCE_CHECK_STATUS,,FOLDER,,16CQ-3XkwPyhItBH70JJpho-eA5pYWRm9,0
R17_IMPLEMENTATION_REPORT.md,04_ACTIVE_GOVERNANCE_AND_DIRECTIVES/04_PROTOCOL_STANDARDS_AND_REFERENCE_IMPLEMENTATIONS/AI-DRIVE-R17 — NAVIGATION_QUARANTINE_REVIEW_2026-09-17/R17_IMPLEMENTATION_REPORT.md,https://drive.google.com/file/d/19SrKwqCEh9v4HoDRFmAUrWCrCs12-SlM/view?usp=drivesdk,https://docs.google.com/document/d/1mHVDqSkvFTB93Kk0IH4oHeX94sTMHed0QD6pGBaaBs4/edit?usp=drivesdk,text/markdown,QUARANTINE_OR_HISTORY,7b2f6cc16c510529c5659fe8315d6642bf97b1c4792f670afc479590480c779f,TEXT_READING_COPY,5761,19SrKwqCEh9v4HoDRFmAUrWCrCs12-SlM,1
HISTORICAL OP-PROT-011 — INDEPENDENCE GUIDANCE; TECHNICAL REVIEW NOW R17,01_ACTIVE_RESEARCH_PACKAGES/10_AXIOMATIC_CORE_SPINE/00.1_GOVERNANCE_CANON/HISTORICAL OP-PROT-011 — INDEPENDENCE GUIDANCE; TECHNICAL REVIEW NOW R17,https://docs.google.com/document/d/1HK9hoO4vD2lhE3wDXLPxPXhNBbJZJnNdA01Oh1FDeqA/edit?usp=drivesdk,,application/vnd.google-apps.document,RESEARCH_SOURCE_CHECK_STATUS,,DIRECT_NATIVE,2410,1HK9hoO4vD2lhE3wDXLPxPXhNBbJZJnNdA01Oh1FDeqA,0
HISTORICAL OP-PROT-012 — APPROVAL ROUTING SUPERSEDED BY R17,04_ACTIVE_GOVERNANCE_AND_DIRECTIVES/00_DIRECTIVES_AND_FILE_MANAGEMENT/00_AUTONOMY_AND_AGENT_CONTROL/HISTORICAL OP-PROT-012 — APPROVAL ROUTING SUPERSEDED BY R17,https://docs.google.com/document/d/1hBQR7Pa10DpVeOxTCLv1qIozLT-bU_hgZKo6ksODCuo/edit?usp=drivesdk,,application/vnd.google-apps.document,QUARANTINE_OR_HISTORY,,DIRECT_NATIVE,6554,1hBQR7Pa10DpVeOxTCLv1qIozLT-bU_hgZKo6ksODCuo,0
00_H5_SCOPE_HOLD_R17.md,90_QUARANTINE_AND_TRIAGE — NONAUTHORITATIVE/02_DEFECTIVE_SCOPE_AND_REPLAY_HOLDS/00_H5_SCOPE_HOLD_R17.md,https://drive.google.com/file/d/1jvUHuHwgWqkw5klqthsfqfnsX5R5SSpG/view?usp=drivesdk,https://docs.google.com/document/d/1fID5G4CfFipA0iDVTqp2I38RLc_gKUJIPJf86VHZJjQ/edit?usp=drivesdk,text/markdown,QUARANTINE_OR_HISTORY,988c324da55255909634ab818e6d743c3817871c6b414969cbb247011741e13f,TEXT_READING_COPY,1100,1jvUHuHwgWqkw5klqthsfqfnsX5R5SSpG,1
00_QUARANTINE_README_R17.md,90_QUARANTINE_AND_TRIAGE — NONAUTHORITATIVE/00_QUARANTINE_README_R17.md,https://drive.google.com/file/d/1EPaxMOccu0c7x8TFFL9OtStN7JiBEerC/view?usp=drivesdk,https://docs.google.com/document/d/1jFSvZfN5Vjchgy8uq_uABOz3p6CqaZ4zEa7DrPAcFPg/edit?usp=drivesdk,text/markdown,QUARANTINE_OR_HISTORY,e63238b9f68416305952852e032b2d45e11b4cdb06237ace9b42a333c85510b6,TEXT_READING_COPY,1659,1EPaxMOccu0c7x8TFFL9OtStN7JiBEerC,1
