id,finding,category,evidence,severity,failure_mode_if_unaddressed,state,remediation
C-01,"Drive fullText search returns token-OR / fuzzy matches, not phrase matches",SEARCH_LAYER,"fullText contains 'Roy Unified Field Theory' returned 77 hits including Q0_MASTER.md, q0_machine.json and dozens of active LS-DER/GP-DER files that contain no RUFT content",CRITICAL,Any agent that builds a quarantine set from raw lexical hits will quarantine the entire active q0 corpus,RESOLVED_BY_METHOD,"Legacy set determined by createdTime<2026-07-01 boundary + 01_LEGACY_CLUSTER_DECODER cross-validation (17/17 exact match), NOT by lexical hits. Lexical hits recorded as UNRELIABLE and excluded from the manifest."
C-02,Three of six legacy documents are titled Text2 / Text3 / Texts,NAMING,Titles identify nothing; a retrieval agent cannot tell from the title that Text3 is a 1.84 MB RUFL equation vault,HIGH,"Model opens an untitled 1.84MB doc, finds confident equations, treats them as fact",MITIGATED,"Manifest binds every ID to its document group, branch and status; sidecar notices name the contents at folder level"
C-03,"Text3 (RUFL Vault) self-asserts '100% understanding', 'fully grasped', '100% tested'",CONFIDENCE_MARKER,"Per 01_LEGACY_CLUSTER_DECODER: generative-era artifact with self-issued confidence markers, not a verification record",CRITICAL,Highest-risk single object in the Drive: a model retrieving it sees settled parameter values with explicit verification language,REGISTERED,Charter Rule 4 + manifest flag; every numerical value in D2 is UNVERIFIED
C-04,"D5 (Complexity Minimization, 2025-12-15) states the helicity-barrier / Stelle-gravity coefficient with confidence",STALE_CONFIDENCE,D4 (2026-01-04) independently recorded the same coefficient as [CONTRADICTED] and [UNVERIFIED] three weeks later,HIGH,Reading D5 without D4 imports a coefficient its own successor retracted,REGISTERED,Charter Rule 5: D4 supersedes D5 on this coefficient. Read order D4-before-D5 is mandatory.
C-05,9 redundant copies across 8 documents; two exact-size pairs never hash-confirmed,DUPLICATE,"19,855 B Lambda-Dialectic pair; 40,915 B Request Refined pair; Text3/Texts gdoc pairs differ by ~12 KB and ~666 B",MEDIUM,A model may treat a partial conversion as the whole document,OPEN,Requires SHA-256 of all 17. download_file_content available but hashing NOT performed this session - NOT CLAIMED.
C-06,"'02_LEGACY_Q0_ARCHIVE' (343 items) is named LEGACY but is superseded q0, not pre-current-method research",SEMANTIC_COLLISION,Zero of the 17 legacy-primary files live there; it holds earlier-generation q0 work governed by q0's own versioning,HIGH,"A keyword-driven agent would quarantine 343 active-method q0 artifacts, or conversely treat the RUFT stratum as merely 'superseded q0'",RESOLVED,"Charter Rule 3 separates LEGACY-PRE-METHOD (17 files) from SUPERSEDED-Q0 (02_LEGACY_Q0_ARCHIVE). Different ontologies, different rules."
C-07,'FIM' requires semantic classification per FS2 Section V,ACRONYM,"Only 1 title-level FIM hit in the whole Drive (D7, FIM Genesis commentary). No file was quarantined for using FIM to mean Fisher information matrix.",LOW,Over-quarantine of standard statistical usage,RESOLVED,"Section V honoured: FIM classified semantically; 1 file registered, 0 false positives quarantined."
C-08,In-place first-position warning banners could not be written,EXECUTION_BLOCKER,"Google Drive connector in this session exposes search/read/download/metadata/permissions/create/copy only - no update, move, rename, setDescription, delete or shortcut",BLOCKING,"FS2 Sections VI/VIII requirement that every affected file carry a warning at its first visible content position is NOT met",OPEN_BLOCKER,"Every safe alternative applied: manifest, charter, allowlist, retrieval policy, folder-level sidecar notices. Requires a write-enabled agent or a human."
C-09,Legacy files could not be moved into a quarantine hierarchy,EXECUTION_BLOCKER,No move operation. copy_file exists but was deliberately NOT used.,BLOCKING,FS2 Section V Phase 5 physical quarantine not executed,OPEN_BLOCKER,"Refused to substitute copy_file: duplicating legacy material into a quarantine folder creates second authoritative-looking copies, which Section III forbids and which increases contamination. Mitigating fact: all 17 already sit outside the active research tree."
C-10,Inventory window 2026-07-23 onward was not enumerated,COVERAGE_GAP,Sweep agent terminated by an API weekly-limit error at page 12,LOW,Total-file-count completeness only,ACCEPTED,"No impact on the legacy census: every file created on/after 2026-07-23 postdates the 2026-07-01 boundary and cannot belong to the pre-method stratum. Declared rather than concealed per Section XVII."
